Model,Cluster,Expanded,TP,FP,FN,Precision,Recall,F1_score
skills_skillner,CS,False,22,10,414,0.6875,0.05045871559633028,0.09401709401709402
skills_skillner,CS,True,56,13,380,0.8115942028985508,0.12844036697247707,0.22178217821782178
skills_skillner_keybert,CS,False,2,1,434,0.6666666666666666,0.0045871559633027525,0.009111617312072894
skills_skillner_keybert,CS,True,10,1,426,0.9090909090909091,0.022935779816513763,0.044742729306487705
skills_ner_bert,CS,False,17,9,419,0.6538461538461539,0.0389908256880734,0.07359307359307359
skills_ner_bert,CS,True,38,14,398,0.7307692307692307,0.0871559633027523,0.1557377049180328
skills_ner_bert_keybert,CS,False,17,8,419,0.68,0.0389908256880734,0.0737527114967462
skills_ner_bert_keybert,CS,True,35,11,401,0.7608695652173914,0.08027522935779817,0.14522821576763487
skills_skillner_qe,CS,False,102,58,334,0.6375,0.23394495412844038,0.3422818791946309
skills_skillner_qe,CS,True,239,79,197,0.7515723270440252,0.5481651376146789,0.6339522546419099
skills_skillner_qe_keybert,CS,False,1,1,435,0.5,0.0022935779816513763,0.0045662100456621
skills_skillner_qe_keybert,CS,True,5,1,431,0.8333333333333334,0.011467889908256881,0.022624434389140274
skills_skillner_yake,CS,False,14,3,422,0.8235294117647058,0.03211009174311927,0.06181015452538632
skills_ner_bert_rake,CS,False,40,16,396,0.7142857142857143,0.09174311926605505,0.16260162601626016
skills_ner_bert_yake,CS,False,171,117,265,0.59375,0.3922018348623853,0.4723756906077348
