job_source,keyword,job_title,company,job_description,job_id
Jobstreet,Computer Science,Programmer,PT Microvac Indonesia,"Programmer
Job Summary:
To develop web applications and services on Microsoft .NET platform.
Job Responsibility:
• Code, test and debug on back-end and front-end.
• Active involvement in all phases of software development life cycle including analysis, design, development, testing and support.
• Take ownership of the quality and timeliness of deliveries.
• Maintain accurate and up to date documentation of code and its changes.
• Provide assistance to junior developers.
Primary skills (Must have):
• Good understanding of Object Oriented Programming and design patterns.
• C#, .NET platform, Typescript, Javascript and HTML.
• Good knowledge of RESTful design and services.
• Good knowledge of database design, SQL, and Entity Framework Core.
• Strong analytical and problem solving skills.
• Ability to understand business requirements and translate them into technical requirements.
Secondary skills (Nice to have):
• Angular Framework (Major plus)
• CSS, LESS, SCSS
• Continuous Integration / Continuous Delivery (CI/CD)
• Microservice knowledge, docker, and kubernetes.
Job Type: Full-time",0
Jobstreet,Computer Science,IT Support Intern,PT Panin Dai-ichi Life,"Currently pursuing Bachelor degree with major in Information Technology / Computer Science
Excellent organizational skills
Strong interpersonal skills
Highly adaptable and able to work independently
Excited by new challenges and learning opportunities
Detailed and data oriented
6 months of hands-on work experience starting from the first day of your internship
Training in systems and procedures by experienced members of our team",1
Jobstreet,Computer Science,IS (Information System) Manager,PT Toray Industries Indonesia,"Developing and implementing IT strategies, planning for budget and infrastructure needs.
Managing IT projects, from planning to execution, ensuring they are completed on time and within budget.
Collaborate with other departments and stakeholders to understand business needs and propose IT solutions.
Leading and motivating IT team members, providing guidance and support, and ensuring effective performance.
Managing and maintaining the company's IT infrastructure, including servers, networks, security and communication systems.
Implementing and maintaining security measures, ensuring compliance with IT regulations and industry standards.
A degree in Information Technology, Computer Science, or a related field.
Strong project management, analytical thinking and problem-solving skills with the ability to analyze business needs and propose IT solutions.
Excellent leadership, communication (verbal/written) and interpersonal skills for cross-team collaboration.
Have knowledge or experience in implementing and maintaining system application (sales, production and accounting business knowledge are a plus). Preferably proficient in using Microsoft .NET, Microsoft SQL Server and Oracle.
Have knowledge or experience in managing and maintaining the company's IT infrastructure, including servers, networks, security and communication systems.",2
Jobstreet,Computer Science,IT PROGRAMMER,PT Indo Taichen Textile Industry,"Handle Full Stack develop to department request
Develop, maintain and support web application existing & new project
Create a web application that is controlled by the database
Bachelor's Degree in Computer Science/Information Technology or equivalent.
At least 1-2 Year of working experience in the related field is required for this position (will be advantage)
Fresh Graduate welcome to apply
Required Skill(s): Pemograman PHP, Framework Laravel/CI4, Flutter, android studio;  database mySQL, DB2/SQL
Required language(s): English
Placement in Tangerang",3
Jobstreet,Computer Science,Junior .NET Developer,PT Perangkat Lunak Indonesia,"Candidate must possess at least one of the following: SMK, Diploma, or Bachelor's Degree in Computer Science/Information Technology or equivalent fields.
Required language(s): Bahasa Indonesia, English
1 year working experience in the related field for this position (fresh graduates are welcomed).
Good communication skill.
Open to learn new software development technologies and platforms.
Write clean and readable code based on business requirements and coding standard.
Participating in technical discussion and meetings.
Ensuring the technological watch in your area of knowledge.
Experienced in web development using ASP.NET MVC (C#) or .NET Core (C#)
Experienced in Database Operations (SQL Queries, Stored Procedures, Views, etc.)
Experienced in front-end web technologies (HTML, CSS, JavaScript)",4
Jobstreet,Computer Science,IT Progammer,PT Allure Alluminio,"Responsible in supporting the full software development of new and existing applications.
Optimise application for maximise speed and scalability.
Maintaining the system, new feature, bug fixing, code refactoring and performance optimisation.
Possess the ability to translate ideas into functioning features
Deliver high quality application and system support
Any other ad-hoc duties as required or assigned
Bachelor degree in Computer Science
Fresh Graduate are welcome
Strong hands-on programming skills
Able to work independently
Good to have knowledge of Pyhthon, Json, SQL, Java
Willing to be placed at Kelapa Gading",5
Jobstreet,Computer Science,IT Quality Assurance,PT. LAKES KONSTELASI DATA,"Design, develop, and implement comprehensive test scenarios and scripts to ensure overall product quality.
Execute both manual and automated testing to identify bugs, system defects, and inconsistencies.
Analyze test outcomes and compile detailed bug reports with actionable recommendations for improvements.
Perform thorough regression testing following system fixes or updates to ensure functionality and stability.
Collaborate closely with development teams to understand technical specifications and business requirements.
Contribute to the design of aesthetically pleasing, responsive, and user-friendly user interfaces (UI).
Conduct usability testing and refine designs based on test results and user feedback.
Candidates must hold a minimum of a Diploma or Bachelor's Degree in Computer Science, Information Technology, or a related field.
Previous experience in quality assurance or software/application testing is highly preferred.
A strong understanding of both manual and automated testing methodologies is advantageous.
Experience with QA tools such as Selenium, Appium, and Postman is a plus.
Demonstrates strong critical thinking, analytical, and problem-solving abilities.
Familiarity with UI/UX design principles and usability testing is a plus.
Fluency in both Indonesian and English is required.
A proactive and responsible individual with a strong sense of ownership.
Must possess a personal vehicle and a valid driver's license.
Applicants should be no older than 30 years of age.",6
Jobstreet,Computer Science,Bootcamp IT Consultant / Programmer (Fresh Graduate),PT Indocyber Global Teknologi,"Minimum S1 in Computer Science/Information Technology/ Mathematics/Physics/Telecommunication
Fresh graduates / Entry level applicants are encouraged to apply
Minimum 3.00 GPA
Age maximum 25 years old
Required skill(s): basic programming, algorithm, logic
Understand relational databases Microsoft SQL Server and its query language
Have a high interest in software engineering as Developer
Fast learner and highly logical thinker
Good communication and eagerness to learn
Training will be held at Grogol / Daan Mogot area (West Jakarta)
30 Full-Time position(s) available",7
Jobstreet,Computer Science,IT Infrastructure Project Manager,PT Netmarks Indonesia,"We are looking for an IT Project Manager to join our Technical Team. You will be responsible for managing, coordinating, and completing the project on time within scope. You will also be responsible for setting deadlines, assigning responsibilities, and monitoring and summarizing the progress of the project. And prepare reports for the Technical Manager regarding the status of the project.
 Responsibilities:
1. Directs and manages end to end process of the project and the team
2. Facilitates communication between the project team and project owner daily
3. Scheduling project milestones, management, and delegation of the project task
4. Monitors project progress by tracking activity
5. Ensures project issues are identified, tracked, reported and resolved
6. Compile periodic project reports to be given to the project owner
7. Create and maintain comprehensive project documentation (functional requirements documents, business requirement documents, use case documents, and minutes of meeting documents)
 Specific Requirements:
1. Bachelor's degree in Informatics Engineering, Computer Science, or similar studies.
2. Fresh Graduates are welcome with a GPA minimum of 3.00 from a reputable university
3. Experience as a Project Manager in IT Projects is preferable.
4. Be meticulous and have attention to detail in performing the work.
5. Good communication and presentation skills
6. Good leadership skill
7. Strong analytical thinking, negotiation, and problem-solving skills
8. Have excellent interpersonal skills
9. Have excellent written and verbal communication skills (in English and Bahasa Indonesia)
10. Solid organizational skills including attention to detail and multitasking skills
 Additional factors We Appreciate:
1. Able to work fast and under pressure
2. Certification of Project Management Professional (PMP) is an advantage
3. Willing to work overtime and on tight deadlines",8
Jobstreet,Computer Science,System Administrator Engineer,PT Sinergi Wahana Gemilang,"S1 graduates from IT majors or Computer Science.
Having experience in the field of system administrator, network administrator, or other relevant positions.
Understand operating systems such as Windows, Linux, or MacOS
Understanding the language programming especially for scripting or automation is an additional value
Understanding Network Security, Intrusion Detection Systems, and Other Security Technology
Understand network protocols, topologies, and other security concepts
Experience for cloud platforms such as Microsoft Azure or AWS is an additional value",9
Jobstreet,Computer Science,Fresh Graduate Functional Consultant,PT Amber Solusi Internasional,"Actively involved in business requirement analysis/user stories
Meet with business users throughout the organization to understand their business objectives, technical challenges and data needs, and prepare functional design document
Leading review sessions with business users to review functional design
Develop and maintain system level artifacts, such as flow diagrams, process diagram, and current and proposed state diagrams
Intensive discussion with development team to ensure the development as per functional design
Doing application testing and SIT
Leading User Acceptance Testing
Leading End User Training
Write and maintain related project documentation
Manage postproduction support activities
Detail person and strong logic
Willingness to take ownership of highly challenging tasks and problems
Thorough and analytical problem-solving skills
Effective communication and interpersonal skills
Have sense of leadership
Bachelor's degree in Information Systems, Computer Science, or related major with GPA > 3.00
Fresh Graduates are welcome to apply
Having internship experience as Business Analyst, System Analyst, or Functional Consultant is a plus
Having knowledge in software development methodology
Dynamic and result oriented team player
Have decent English",10
Jobstreet,Computer Science,AI Specialist â€“ Machine Learning Model Developer,PT Allure Alluminio,"Research and integrate cutting-edge AI techniques into the company’s operations and processes.
Collaborate with cross-functional teams to identify business challenges and design AI-driven solutions.
Implement robust data preprocessing, feature engineering, and model optimization techniques.
Ensure the scalability, accuracy, and efficiency of the developed models.
Develop frameworks for testing, validating, and maintaining models.
Education: Bachelor’s degree in Computer Science, Artificial Intelligence, Data Science, or a related field.
Fresh Graduated are welcome.
Strong expertise in data analysis, algorithm development, and feature engineering.
Familiarity with Zapier and Make.com
Excellent communication and collaboration skills.
Willing to be placed at Kelapa Gading",11
