Model,Cluster,TP,FP,FN,Precision,Recall,F1_score
skills_skillner_tfidf,CS,47,13,389,0.7833333333333333,0.10779816513761468,0.1895161290322581
skills_skillner_keybert_tfidf,CS,12,7,424,0.631578947368421,0.027522935779816515,0.05274725274725274
skills_ner_bert_tfidf,CS,2,2,434,0.5,0.0045871559633027525,0.009090909090909092
skills_ner_bert_keybert_tfidf,CS,2,4,434,0.3333333333333333,0.0045871559633027525,0.009049773755656108
skills_skillner_qe_tfidf,CS,17,8,419,0.68,0.0389908256880734,0.0737527114967462
skills_skillner_qe_keybert_tfidf,CS,3,5,433,0.375,0.006880733944954129,0.013513513513513514
skills_skillner_rake,CS,92,37,344,0.7131782945736435,0.21100917431192662,0.32566371681415934
skills_skillner_yake,CS,164,65,272,0.7161572052401747,0.3761467889908257,0.4932330827067669
skills_ner_bert_rake,CS,162,107,274,0.6022304832713755,0.37155963302752293,0.4595744680851064
skills_ner_bert_yake,CS,169,112,267,0.6014234875444839,0.3876146788990826,0.47140864714086467
