matched_skills
Business intelligence 4
Continuity management 4
Data engineering 3
Data engineering 4
Data engineering 6
Data management 4
Data management 5
Data management 6
Data modelling and design 3
Data modelling and design 5
Data science 3
Database design 4
Database design 5
Network design 2
Network support 1
Penetration testing 4
Programming/software development 4
Quality management 7
Release management 2
Software design 3
System software administration 2
Systems and software lifecycle engineering 6
Systems design 6
Systems development management 7
Systems integration and build 4
