matched_skills
Artificial intelligence (AI) and data ethics 3
Artificial intelligence (AI) and data ethics 5
Artificial intelligence (AI) and data ethics 6
Bid/proposal management 3
Bid/proposal management 4
Brand management 5
Business situation analysis 5
Business situation analysis 6
Consultancy 5
Customer engagement and loyalty 4
Cybercrime investigation 4
Data analytics 2
Demand management 4
Demand management 5
Employee experience 4
Employee experience 5
Financial analysis 2
Financial analysis 5
Financial analysis 6
Formal research 2
Formal research 3
Functional testing 4
Graphic design 5
Hardware design 4
Information security 2
Innovation management 5
Innovation management 6
Marketing management 5
Measurement 3
Organisational capability development 6
Organisational change management 2
"Portfolio, programme and project support 3"
Problem management 4
Process testing 4
Radio frequency engineering 2
Radio frequency engineering 3
Radio frequency engineering 4
Real-time/embedded systems development 2
Real-time/embedded systems development 3
Real-time/embedded systems development 4
Release management 5
Safety engineering 2
Safety engineering 3
Sales support 4
Software design 5
Sourcing 5
Strategic planning 7
Supplier management 2
System software administration 3
Systems and software lifecycle engineering 4
Systems design 5
Teaching 4
Teaching 5
Teaching 7
User acceptance testing 4
Vulnerability research 4
