job_source,keyword,job_title,company,job_description,job_id,job_description_cleaned
Jobstreet,Computer Science,Programmer,PT Microvac Indonesia,"Programmer
Job Summary:
To develop web applications and services on Microsoft .NET platform.
Job Responsibility:
• Code, test and debug on back-end and front-end.
• Active involvement in all phases of software development life cycle including analysis, design, development, testing and support.
• Take ownership of the quality and timeliness of deliveries.
• Maintain accurate and up to date documentation of code and its changes.
• Provide assistance to junior developers.
Primary skills (Must have):
• Good understanding of Object Oriented Programming and design patterns.
• C#, .NET platform, Typescript, Javascript and HTML.
• Good knowledge of RESTful design and services.
• Good knowledge of database design, SQL, and Entity Framework Core.
• Strong analytical and problem solving skills.
• Ability to understand business requirements and translate them into technical requirements.
Secondary skills (Nice to have):
• Angular Framework (Major plus)
• CSS, LESS, SCSS
• Continuous Integration / Continuous Delivery (CI/CD)
• Microservice knowledge, docker, and kubernetes.
Job Type: Full-time",0,programmer job summary develop web applications services microsoft net platform job responsibility code test debug backend frontend active involvement phases software development life cycle including analysis design development testing support take ownership quality timeliness deliveries maintain accurate date documentation code changes provide assistance junior developers primary skills must good understanding object oriented programming design patterns c net platform typescript javascript html good knowledge restful design services good knowledge database design sql entity framework core strong analytical problem solving skills ability understand business requirements translate technical requirements secondary skills nice angular framework major plus css less scss continuous integration continuous delivery cicd microservice knowledge docker kubernetes job type fulltime
Jobstreet,Computer Science,IT Support Intern,PT Panin Dai-ichi Life,"Currently pursuing Bachelor degree with major in Information Technology / Computer Science
Excellent organizational skills
Strong interpersonal skills
Highly adaptable and able to work independently
Excited by new challenges and learning opportunities
Detailed and data oriented
6 months of hands-on work experience starting from the first day of your internship
Training in systems and procedures by experienced members of our team",1,currently pursuing bachelor degree major information technology computer science excellent organizational skills strong interpersonal skills highly adaptable able work independently excited new challenges learning opportunities detailed data oriented months handson work experience starting first day internship training systems procedures experienced members team
Jobstreet,Computer Science,IS (Information System) Manager,PT Toray Industries Indonesia,"Developing and implementing IT strategies, planning for budget and infrastructure needs.
Managing IT projects, from planning to execution, ensuring they are completed on time and within budget.
Collaborate with other departments and stakeholders to understand business needs and propose IT solutions.
Leading and motivating IT team members, providing guidance and support, and ensuring effective performance.
Managing and maintaining the company's IT infrastructure, including servers, networks, security and communication systems.
Implementing and maintaining security measures, ensuring compliance with IT regulations and industry standards.
A degree in Information Technology, Computer Science, or a related field.
Strong project management, analytical thinking and problem-solving skills with the ability to analyze business needs and propose IT solutions.
Excellent leadership, communication (verbal/written) and interpersonal skills for cross-team collaboration.
Have knowledge or experience in implementing and maintaining system application (sales, production and accounting business knowledge are a plus). Preferably proficient in using Microsoft .NET, Microsoft SQL Server and Oracle.
Have knowledge or experience in managing and maintaining the company's IT infrastructure, including servers, networks, security and communication systems.",2,developing implementing strategies planning budget infrastructure needs managing projects planning execution ensuring completed time within budget collaborate departments stakeholders understand business needs propose solutions leading motivating team members providing guidance support ensuring effective performance managing maintaining companys infrastructure including servers networks security communication systems implementing maintaining security measures ensuring compliance regulations industry standards degree information technology computer science related field strong project management analytical thinking problemsolving skills ability analyze business needs propose solutions excellent leadership communication verbalwritten interpersonal skills crossteam collaboration knowledge experience implementing maintaining system application sales production accounting business knowledge plus preferably proficient using microsoft net microsoft sql server oracle knowledge experience managing maintaining companys infrastructure including servers networks security communication systems
Jobstreet,Computer Science,IT PROGRAMMER,PT Indo Taichen Textile Industry,"Handle Full Stack develop to department request
Develop, maintain and support web application existing & new project
Create a web application that is controlled by the database
Bachelor's Degree in Computer Science/Information Technology or equivalent.
At least 1-2 Year of working experience in the related field is required for this position (will be advantage)
Fresh Graduate welcome to apply
Required Skill(s): Pemograman PHP, Framework Laravel/CI4, Flutter, android studio;  database mySQL, DB2/SQL
Required language(s): English
Placement in Tangerang",3,handle full stack develop department request develop maintain support web application existing new project create web application controlled database bachelors degree computer scienceinformation technology equivalent least year working experience related field required position advantage fresh graduate welcome apply required skills pemograman php framework laravelci flutter android studio database mysql dbsql required languages english placement tangerang
Jobstreet,Computer Science,Junior .NET Developer,PT Perangkat Lunak Indonesia,"Candidate must possess at least one of the following: SMK, Diploma, or Bachelor's Degree in Computer Science/Information Technology or equivalent fields.
Required language(s): Bahasa Indonesia, English
1 year working experience in the related field for this position (fresh graduates are welcomed).
Good communication skill.
Open to learn new software development technologies and platforms.
Write clean and readable code based on business requirements and coding standard.
Participating in technical discussion and meetings.
Ensuring the technological watch in your area of knowledge.
Experienced in web development using ASP.NET MVC (C#) or .NET Core (C#)
Experienced in Database Operations (SQL Queries, Stored Procedures, Views, etc.)
Experienced in front-end web technologies (HTML, CSS, JavaScript)",4,candidate must possess least one following smk diploma bachelors degree computer scienceinformation technology equivalent fields required languages bahasa indonesia english year working experience related field position fresh graduates welcomed good communication skill open learn new software development technologies platforms write clean readable code based business requirements coding standard participating technical discussion meetings ensuring technological watch area knowledge experienced web development using aspnet mvc c net core c experienced database operations sql queries stored procedures views etc experienced frontend web technologies html css javascript
Jobstreet,Computer Science,IT Progammer,PT Allure Alluminio,"Responsible in supporting the full software development of new and existing applications.
Optimise application for maximise speed and scalability.
Maintaining the system, new feature, bug fixing, code refactoring and performance optimisation.
Possess the ability to translate ideas into functioning features
Deliver high quality application and system support
Any other ad-hoc duties as required or assigned
Bachelor degree in Computer Science
Fresh Graduate are welcome
Strong hands-on programming skills
Able to work independently
Good to have knowledge of Pyhthon, Json, SQL, Java
Willing to be placed at Kelapa Gading",5,responsible supporting full software development new existing applications optimise application maximise speed scalability maintaining system new feature bug fixing code refactoring performance optimisation possess ability translate ideas functioning features deliver high quality application system support adhoc duties required assigned bachelor degree computer science fresh graduate welcome strong handson programming skills able work independently good knowledge pyhthon json sql java willing placed kelapa gading
Jobstreet,Computer Science,IT Quality Assurance,PT. LAKES KONSTELASI DATA,"Design, develop, and implement comprehensive test scenarios and scripts to ensure overall product quality.
Execute both manual and automated testing to identify bugs, system defects, and inconsistencies.
Analyze test outcomes and compile detailed bug reports with actionable recommendations for improvements.
Perform thorough regression testing following system fixes or updates to ensure functionality and stability.
Collaborate closely with development teams to understand technical specifications and business requirements.
Contribute to the design of aesthetically pleasing, responsive, and user-friendly user interfaces (UI).
Conduct usability testing and refine designs based on test results and user feedback.
Candidates must hold a minimum of a Diploma or Bachelor's Degree in Computer Science, Information Technology, or a related field.
Previous experience in quality assurance or software/application testing is highly preferred.
A strong understanding of both manual and automated testing methodologies is advantageous.
Experience with QA tools such as Selenium, Appium, and Postman is a plus.
Demonstrates strong critical thinking, analytical, and problem-solving abilities.
Familiarity with UI/UX design principles and usability testing is a plus.
Fluency in both Indonesian and English is required.
A proactive and responsible individual with a strong sense of ownership.
Must possess a personal vehicle and a valid driver's license.
Applicants should be no older than 30 years of age.",6,design develop implement comprehensive test scenarios scripts ensure overall product quality execute manual automated testing identify bugs system defects inconsistencies analyze test outcomes compile detailed bug reports actionable recommendations improvements perform thorough regression testing following system fixes updates ensure functionality stability collaborate closely development teams understand technical specifications business requirements contribute design aesthetically pleasing responsive userfriendly user interfaces ui conduct usability testing refine designs based test results user feedback candidates must hold minimum diploma bachelors degree computer science information technology related field previous experience quality assurance softwareapplication testing highly preferred strong understanding manual automated testing methodologies advantageous experience qa tools selenium appium postman plus demonstrates strong critical thinking analytical problemsolving abilities familiarity uiux design principles usability testing plus fluency indonesian english required proactive responsible individual strong sense ownership must possess personal vehicle valid drivers license applicants older years age
Jobstreet,Computer Science,Bootcamp IT Consultant / Programmer (Fresh Graduate),PT Indocyber Global Teknologi,"Minimum S1 in Computer Science/Information Technology/ Mathematics/Physics/Telecommunication
Fresh graduates / Entry level applicants are encouraged to apply
Minimum 3.00 GPA
Age maximum 25 years old
Required skill(s): basic programming, algorithm, logic
Understand relational databases Microsoft SQL Server and its query language
Have a high interest in software engineering as Developer
Fast learner and highly logical thinker
Good communication and eagerness to learn
Training will be held at Grogol / Daan Mogot area (West Jakarta)
30 Full-Time position(s) available",7,minimum computer scienceinformation technology mathematicsphysicstelecommunication fresh graduates entry level applicants encouraged apply minimum gpa age maximum years old required skills basic programming algorithm logic understand relational databases microsoft sql server query language high interest software engineering developer fast learner highly logical thinker good communication eagerness learn training held grogol daan mogot area west jakarta fulltime positions available
Jobstreet,Computer Science,IT Infrastructure Project Manager,PT Netmarks Indonesia,"We are looking for an IT Project Manager to join our Technical Team. You will be responsible for managing, coordinating, and completing the project on time within scope. You will also be responsible for setting deadlines, assigning responsibilities, and monitoring and summarizing the progress of the project. And prepare reports for the Technical Manager regarding the status of the project.
 Responsibilities:
1. Directs and manages end to end process of the project and the team
2. Facilitates communication between the project team and project owner daily
3. Scheduling project milestones, management, and delegation of the project task
4. Monitors project progress by tracking activity
5. Ensures project issues are identified, tracked, reported and resolved
6. Compile periodic project reports to be given to the project owner
7. Create and maintain comprehensive project documentation (functional requirements documents, business requirement documents, use case documents, and minutes of meeting documents)
 Specific Requirements:
1. Bachelor's degree in Informatics Engineering, Computer Science, or similar studies.
2. Fresh Graduates are welcome with a GPA minimum of 3.00 from a reputable university
3. Experience as a Project Manager in IT Projects is preferable.
4. Be meticulous and have attention to detail in performing the work.
5. Good communication and presentation skills
6. Good leadership skill
7. Strong analytical thinking, negotiation, and problem-solving skills
8. Have excellent interpersonal skills
9. Have excellent written and verbal communication skills (in English and Bahasa Indonesia)
10. Solid organizational skills including attention to detail and multitasking skills
 Additional factors We Appreciate:
1. Able to work fast and under pressure
2. Certification of Project Management Professional (PMP) is an advantage
3. Willing to work overtime and on tight deadlines",8,looking project manager join technical team responsible managing coordinating completing project time within scope also responsible setting deadlines assigning responsibilities monitoring summarizing progress project prepare reports technical manager regarding status project responsibilities directs manages end end process project team facilitates communication project team project owner daily scheduling project milestones management delegation project task monitors project progress tracking activity ensures project issues identified tracked reported resolved compile periodic project reports given project owner create maintain comprehensive project documentation functional requirements documents business requirement documents use case documents minutes meeting documents specific requirements bachelors degree informatics engineering computer science similar studies fresh graduates welcome gpa minimum reputable university experience project manager projects preferable meticulous attention detail performing work good communication presentation skills good leadership skill strong analytical thinking negotiation problemsolving skills excellent interpersonal skills excellent written verbal communication skills english bahasa indonesia solid organizational skills including attention detail multitasking skills additional factors appreciate able work fast pressure certification project management professional pmp advantage willing work overtime tight deadlines
Jobstreet,Computer Science,System Administrator Engineer,PT Sinergi Wahana Gemilang,"S1 graduates from IT majors or Computer Science.
Having experience in the field of system administrator, network administrator, or other relevant positions.
Understand operating systems such as Windows, Linux, or MacOS
Understanding the language programming especially for scripting or automation is an additional value
Understanding Network Security, Intrusion Detection Systems, and Other Security Technology
Understand network protocols, topologies, and other security concepts
Experience for cloud platforms such as Microsoft Azure or AWS is an additional value",9,graduates majors computer science experience field system administrator network administrator relevant positions understand operating systems windows linux macos understanding language programming especially scripting automation additional value understanding network security intrusion detection systems security technology understand network protocols topologies security concepts experience cloud platforms microsoft azure aws additional value
