Model,Cluster,Expanded,TP,FP,FN,Precision,Recall,F1_score
skills_skillner,CS,False,22,9,413,0.7096774193548387,0.05057471264367816,0.09442060085836909
skills_skillner,CS,True,53,12,382,0.8153846153846154,0.12183908045977011,0.21200000000000002
skills_skillner_keybert,CS,False,1,2,434,0.3333333333333333,0.0022988505747126436,0.0045662100456621
skills_skillner_keybert,CS,True,12,2,423,0.8571428571428571,0.027586206896551724,0.053452115812917596
skills_skillner_qe,CS,False,104,59,331,0.6380368098159509,0.23908045977011494,0.34782608695652173
skills_skillner_qe,CS,True,245,82,190,0.7492354740061162,0.5632183908045977,0.6430446194225722
skills_skillner_qe_keybert,CS,False,1,0,434,1.0,0.0022988505747126436,0.0045871559633027525
skills_skillner_qe_keybert,CS,True,2,0,433,1.0,0.004597701149425287,0.009153318077803202
skills_skillner_rake,CS,False,199,95,236,0.6768707482993197,0.4574712643678161,0.5459533607681757
skills_skillner_rake,CS,True,354,123,81,0.7421383647798742,0.8137931034482758,0.7763157894736842
skills_skillner_yake,CS,False,22,2,413,0.9166666666666666,0.05057471264367816,0.09586056644880174
skills_skillner_yake,CS,True,45,2,390,0.9574468085106383,0.10344827586206896,0.18672199170124482
