matched_skills,similarity_score
Deployment 4,0.33167351920558535
Consultancy 7,0.3296358277866385
Machine learning 5,0.3263243949037159
Network support 3,0.3249388654903224
Software design 6,0.31876078712071076
Formal research 5,0.3170889926329255
Customer service support 5,0.31333822841978415
Business process improvement 5,0.30950767184298655
Offensive cyber operations 6,0.30601445215440015
Deployment 6,0.30599490221464476
Offensive cyber operations 3,0.30558380422454956
Systems integration and build 5,0.30386209627533883
Business process improvement 3,0.3013441580045374
Records management 3,0.30029623753491774
Programme management 6,0.2982080971521467
Learning and development management 5,0.2946036572048276
Offensive cyber operations 5,0.29147045054145476
Information security 4,0.2900590056207978
Business intelligence 5,0.28879370897006984
Data modelling and design 5,0.28660462045625673
Formal research 6,0.285720506402944
Benefits management 6,0.2818949342903706
Availability management 4,0.28186330706243296
Data science 3,0.2815842770472322
Methods and tools 5,0.2814375886373723
Incident management 5,0.28119124786400834
Network support 4,0.2791391915326363
Risk management 6,0.27851734413839657
Security operations 4,0.27774900036249106
Deployment 3,0.277095545625047
Solution architecture 6,0.2769611734859482
"Portfolio, programme and project support 3",0.27605606342357386
Data engineering 4,0.27462201663340985
Data management 2,0.27449115110475536
Specialist advice 4,0.27399560576489074
Offensive cyber operations 4,0.2706388650725855
Content publishing 4,0.2688343084416196
Configuration management 5,0.2686880435441461
Programming/software development 3,0.2684565469401206
Asset management 3,0.2678571935284605
Infrastructure operations 4,0.26764711578234734
Methods and tools 3,0.2656361355668551
Vulnerability research 5,0.2648352437255122
Systems and software lifecycle engineering 6,0.2642238587842572
Data science 5,0.26322521018812894
Organisational capability development 6,0.2626536677510866
User experience analysis 5,0.26251804066672163
Data engineering 2,0.26209047747372904
Financial analysis 5,0.2611938608371193
Database administration 4,0.26107922138036976
Asset management 5,0.25930434952524
Resourcing 3,0.2586984453129039
Data modelling and design 3,0.25690886498019105
Identity and access management 2,0.2567285054672599
Knowledge management 3,0.2563138547383964
Release management 5,0.2551570787800143
Organisational capability development 5,0.25402297704659094
User acceptance testing 4,0.2531853222988648
Requirements definition and management 5,0.25239326400318324
Product management 5,0.2507907521737186
Configuration management 4,0.24988029669138245
