matched_skills,similarity_score
Database design 4,1.0
Risk management 7,1.0
Offensive cyber operations 3,1.0
Offensive cyber operations 5,1.0
Marketing management 4,1.0
Service catalogue management 5,1.0
Service acceptance 5,1.0
Strategic planning 6,1.0
Enterprise and business architecture 6,1.0
Enterprise and business architecture 7,1.0
Measurement 2,1.0
Audit 4,1.0
Quality management 5,1.0
Quality management 6,1.0
"Portfolio, programme and project support 3",1.0
Systems integration and build 4,1.0
Content publishing 5,1.0
Content publishing 6,1.0
Release management 5,1.0
Deployment 5,1.0
Facilities management 5,1.0
Availability management 3,1.0
Problem management 2,1.0
Problem management 3,1.0
Problem management 4,1.0
Service acceptance 6,1.0
Security operations 6,1.0
Employee experience 4,1.0
Sourcing 6,1.0
Business administration 5,1.0
Data management 3,1.0
Teaching 3,1.0
Stakeholder relationship management 6,1.0
Governance 6,1.0
Audit 7,1.0
Quality assurance 4,1.0
Quality assurance 5,1.0
Penetration testing 5,1.0
Resourcing 3,1.0
Sales support 6,1.0
Technology service management 5,1.0
Service level management 2,1.0
Service level management 3,1.0
Service level management 6,1.0
Radio frequency engineering 5,1.0
Organisational facilitation 4,1.0
Strategic planning 4,1.0
Budgeting and forecasting 3,1.0
Financial analysis 3,1.0
Investment appraisal 5,1.0
Risk management 3,1.0
Quality assurance 3,1.0
Requirements definition and management 4,1.0
User acceptance testing 3,1.0
Functional testing 4,1.0
Process testing 2,1.0
Knowledge management 3,1.0
Release management 3,1.0
Asset management 2,1.0
Service acceptance 3,1.0
Penetration testing 3,1.0
Analytical classification and coding 2,1.0
Learning and development management 2,1.0
Learning delivery 2,1.0
Certification scheme operation 4,1.0
Digital marketing 2,1.0
Budgeting and forecasting 6,1.0
Measurement 6,1.0
Information security 5,1.0
Information security 6,1.0
Information assurance 5,1.0
Information assurance 6,1.0
Vulnerability research 5,1.0
Quality management 7,1.0
Consultancy 6,1.0
Methods and tools 4,1.0
Methods and tools 6,1.0
Requirements definition and management 6,1.0
Business process improvement 3,1.0
Business process improvement 7,1.0
Organisational change enablement 5,1.0
Product management 3,1.0
Systems design 6,1.0
Network design 6,1.0
Infrastructure design 6,1.0
Hardware design 6,1.0
Programming/software development 6,1.0
Systems integration and build 5,1.0
Systems integration and build 6,1.0
Software configuration 6,1.0
Data analytics 7,1.0
Data science 6,1.0
Machine learning 6,1.0
