matched_skills,similarity_score
Data engineering 3,0.17073170731707318
Data analytics 3,0.12962962962962962
Project management 7,0.125
Network support 1,0.125
Methods and tools 3,0.11764705882352941
Incident management 1,0.11764705882352941
Competency assessment 4,0.11764705882352941
Risk management 5,0.11428571428571428
Asset management 3,0.1111111111111111
Infrastructure operations 4,0.1111111111111111
Risk management 7,0.10810810810810811
Artificial intelligence (AI) and data ethics 6,0.10526315789473684
Methods and tools 4,0.10526315789473684
Methods and tools 5,0.10526315789473684
Infrastructure operations 3,0.10416666666666667
Infrastructure operations 1,0.10344827586206896
Functional testing 2,0.10204081632653061
Facilities management 4,0.1
Supplier management 2,0.1
Learning and development management 2,0.1
Systems and software lifecycle engineering 3,0.1
Resourcing 5,0.1
Competency assessment 3,0.1
Financial analysis 3,0.1
