Skill,Level,SFIA_Skill_Level,Level_Description,Level_Description_cosine,Level_Description_jaccard,skills_skillner,skills_skillner_qe,skills_skillner_keybert,skills_skillner_qe_keybert,rake_skills,yake_skills,skills_skillner_rake,skills_skillner_yake,skills_skillner_count,skills_skillner_qe_count,skills_skillner_keybert_count,skills_skillner_qe_keybert_count,skills_skillner_rake_count,skills_skillner_yake_count
Strategic planning,4,Strategic planning 4,"Contributes to the collection and analysis of information to support strategy development. _x000D_
Assists in the preparation of reports and insights for strategic planning._x000D_
Supports the communication of strategic plans and related change initiatives to relevant stakeholders. _x000D_
Helps monitor progress against strategic objectives and provides feedback.",contributes collection analysis information support strategy development _xd_ assists preparation reports insights strategic planning_xd_ supports communication strategic plans related change initiatives relevant stakeholders _xd_ helps monitor progress strategic objectives provides feedback,contributes to the collection and analysis of information to support strategy development. xd assists in the preparation of reports and insights for strategic planning. xd supports the communication of strategic plans and related change initiatives to relevant stakeholders. xd helps monitor progress against strategic objectives and provides feedback.,"['collection', 'communication strategic', 'monitor progress', 'preparation reports', 'xd', 'strategic plans']","['compendium', 'accumulation', 'collection', 'communication strategic', 'appeal', 'monitor progress', 'aggregation', 'ingathering', 'assembling', 'preparation reports', 'assemblage', 'xd', 'solicitation', 'strategic plans', 'collecting']","['collection communication strategic', 'reports xd strategic', 'communication strategic monitor', 'monitor progress preparation', 'plans']","['collection communication strategic', 'preparation reports assemblage', 'progress aggregation ingathering', 'compendium accumulation', 'appeal monitor progress']","['xd helps monitor progress', 'support strategy development', 'related change initiatives', 'xd supports', 'xd assists', 'strategic plans', 'strategic planning', 'strategic objectives', 'relevant stakeholders', 'provides feedback', 'reports', 'preparation', 'insights', 'information', 'contributes', 'communication', 'collection', 'analysis']","['support strategy development', 'collection and analysis', 'analysis of information', 'contributes', 'planning', 'feedback', 'progress']","['relevant stakeholders', 'information', 'analysis', 'contributes', 'monitor progress', 'xd assists', 'xd supports', 'provides feedback', 'strategic plans', 'insights', 'support strategy development', 'collection', 'preparation', 'xd helps monitor progress', 'communication strategic', 'related change initiatives', 'preparation reports', 'communication', 'strategic planning', 'xd', 'strategic objectives', 'reports']","['analysis of information', 'collection and analysis', 'contributes', 'monitor progress', 'planning', 'feedback', 'strategic plans', 'support strategy development', 'collection', 'communication strategic', 'progress', 'preparation reports', 'xd']",6,15,5,5,22,13
Strategic planning,5,Strategic planning 5,"Collates information and creates reports and insights to support strategy management processes._x000D_
Ensures all stakeholders are aware of the strategic management approach and timetables. Provides support and guidance to help stakeholders adhere to the approach._x000D_
Develops and communicates plans to drive forward the strategy and related change planning._x000D_
Contributes to the development of policies, standards and guidelines for strategy development and planning.",collates information creates reports insights support strategy management processes_xd_ ensures stakeholders aware strategic management approach timetables provides support guidance help stakeholders adhere approach_xd_ develops communicates plans drive forward strategy related change planning_xd_ contributes development policies standards guidelines strategy development planning,"collates information and creates reports and insights to support strategy management processes. xd ensures all stakeholders are aware of the strategic management approach and timetables. provides support and guidance to help stakeholders adhere to the approach. xd develops and communicates plans to drive forward the strategy and related change planning. xd contributes to the development of policies, standards and guidelines for strategy development and planning.","['development planning', 'communicates plans', 'develops communicates', 'development policies', 'management', 'strategic management']","['development planning', 'direction', 'development policies', 'communicates plans', 'develops communicates', 'management', 'strategic management']","['development planning communicates', 'communicates development policies', 'communicates plans develops', 'policies management strategic', 'develops']","['development planning direction', 'direction development policies', 'development policies communicates', 'plans develops communicates', 'communicates management strategic']","['support strategy management processes', 'strategic management approach', 'related change planning', 'help stakeholders adhere', 'provides support', 'xd ensures', 'xd develops', 'xd contributes', 'drive forward', 'creates reports', 'communicates plans', 'collates information', 'strategy development', 'strategy', 'stakeholders', 'planning', 'approach', 'development', 'timetables', 'standards', 'policies', 'insights', 'guidelines', 'guidance', 'aware']","['strategy management processes', 'insights to support', 'collates', 'approach', 'planning', 'development', 'guidance']","['xd develops', 'xd ensures', 'guidelines', 'strategic management approach', 'communicates plans', 'development policies', 'develops communicates', 'strategy', 'development', 'planning', 'guidance', 'drive forward', 'aware', 'insights', 'creates reports', 'related change planning', 'stakeholders', 'support strategy management processes', 'development planning', 'standards', 'help stakeholders adhere', 'xd contributes', 'approach', 'policies', 'collates information', 'timetables', 'strategy development', 'provides support', 'management', 'strategic management']","['communicates plans', 'collates', 'development policies', 'develops communicates', 'development', 'planning', 'guidance', 'insights to support', 'development planning', 'approach', 'strategy management processes', 'management', 'strategic management']",6,7,5,5,30,13
Strategic planning,6,Strategic planning 6,"Sets policies, standards and guidelines for how the organisation conducts strategy development and planning._x000D_
Leads and manages the creation or review of a strategy that meets the requirements of the business. _x000D_
Develops, communicates, implements and reviews the processes which embed strategic management in the operational management of the organisation.",sets policies standards guidelines organisation conducts strategy development planning_xd_ leads manages creation review strategy meets requirements business _xd_ develops communicates implements reviews processes embed strategic management operational management organisation,"sets policies, standards and guidelines for how the organisation conducts strategy development and planning. xd leads and manages the creation or review of a strategy that meets the requirements of the business. xd develops, communicates, implements and reviews the processes which embed strategic management in the operational management of the organisation.","['develops communicates', 'leads manages', 'operational management', 'xd', 'strategic management', 'requirements business']","['develops communicates', 'leads manages', 'operational management', 'xd', 'strategic management', 'requirements business']","['communicates leads manages', 'xd strategic management', 'manages operational management', 'requirements business', 'develops communicates']","['communicates leads manages', 'xd strategic management', 'manages operational management', 'requirements business', 'develops communicates']","['organisation conducts strategy development', 'embed strategic management', 'operational management', 'xd leads', 'xd develops', 'sets policies', 'strategy', 'organisation', 'standards', 'reviews', 'review', 'requirements', 'processes', 'planning', 'meets', 'manages', 'implements', 'guidelines', 'creation', 'communicates', 'business']","['conducts strategy development', 'organisation conducts strategy', 'sets policies', 'planning', 'leads', 'embed']","['processes', 'xd develops', 'reviews', 'manages', 'guidelines', 'embed strategic management', 'creation', 'develops communicates', 'strategy', 'business', 'planning', 'sets policies', 'meets', 'leads manages', 'xd leads', 'organisation', 'requirements business', 'implements', 'standards', 'organisation conducts strategy development', 'communicates', 'review', 'operational management', 'requirements', 'xd', 'strategic management']","['develops communicates', 'planning', 'sets policies', 'leads manages', 'leads', 'requirements business', 'organisation conducts strategy', 'embed', 'conducts strategy development', 'operational management', 'xd', 'strategic management']",6,6,5,5,26,12
Strategic planning,7,Strategic planning 7,"Leads the definition, implementation and communication of the organisation’s strategic management framework. _x000D_
Directs the creation and review of a strategy and plans to support the strategic requirements of the business.",leads definition implementation communication organisations strategic management framework _xd_ directs creation review strategy plans support strategic requirements business,"leads the definition, implementation and communication of the organisation s strategic management framework. xd directs the creation and review of a strategy and plans to support the strategic requirements of the business.","['strategic business', 'plans', 'communication', 'xd', 'strategic management', 'requirements business']","['strategic business', 'contrive', 'plans', 'programme', 'plan', 'program', 'communicating', 'architectural plan', 'project', 'communication', 'xd', 'be after', 'strategic management', 'requirements business', 'design']","['communication xd strategic', 'strategic business plans', 'business plans communication', 'strategic management requirements', 'management requirements business']","['communicating architectural plan', 'strategic business contrive', 'contrive plans programme', 'requirements business design', 'communication xd']","['strategic management framework', 'strategic requirements', 'xd directs', 'support', 'strategy', 'review', 'plans', 'organisation', 'leads', 'implementation', 'definition', 'creation', 'communication', 'business']","['strategic management framework', 'leads the definition', 'business', 'support']","['definition', 'plans', 'strategic management framework', 'creation', 'strategy', 'business', 'strategic requirements', 'leads', 'organisation', 'requirements business', 'strategic business', 'support', 'xd directs', 'review', 'communication', 'xd', 'implementation', 'strategic management']","['plans', 'strategic management framework', 'business', 'requirements business', 'strategic business', 'support', 'leads the definition', 'communication', 'xd', 'strategic management']",6,15,5,5,18,10
Information systems coordination,6,Information systems coordination 6,"Maintains awareness of the global needs of the organisation. _x000D_
Promotes the benefits that a common approach to technology deployment will bring to the entire organisation._x000D_
Coordinates and collaborates with others on the promotion, acquisition, development and implementation of information systems and services.",maintains awareness global needs organisation _xd_ promotes benefits common approach technology deployment bring entire organisation_xd_ coordinates collaborates others promotion acquisition development implementation information systems services,"maintains awareness of the global needs of the organisation. xd promotes the benefits that a common approach to technology deployment will bring to the entire organisation. xd coordinates and collaborates with others on the promotion, acquisition, development and implementation of information systems and services.","['information system', 'collaborates', 'coordinates', 'xd', 'maintains']","['co-ordinate', 'asseverate', 'exert', 'collaborates', 'observe', 'sustain', 'assert', 'hold', 'keep up', 'defend', 'maintains', 'join forces', 'conserve', 'information system', 'wield', 'cooperate', 'collaborate', 'align', 'coordinates', 'coordinate', 'preserve', 'uphold', 'ordinate', 'xd', 'get together', 'organize', 'keep', 'organise', 'maintain']","['collaborates coordinates xd', 'information collaborates coordinates', 'coordinates xd maintains', 'xd maintains', 'information']","['cooperate collaborate align', 'ordinate asseverate exert', 'xd organize', 'information wield', 'hold defend maintains']","['xd promotes', 'xd coordinates', 'technology deployment', 'maintains awareness', 'information systems', 'global needs', 'common approach', 'entire organisation', 'organisation', 'services', 'promotion', 'others', 'implementation', 'development', 'collaborates', 'bring', 'benefits', 'acquisition']","['maintains awareness', 'entire organisation', 'global', 'approach to technology', 'technology deployment', 'deployment will bring', 'systems and services', 'common']","['common approach', 'xd promotes', 'bring', 'collaborates', 'benefits', 'services', 'development', 'xd coordinates', 'information systems', 'entire organisation', 'organisation', 'maintains', 'technology deployment', 'acquisition', 'global needs', 'maintains awareness', 'information system', 'others', 'coordinates', 'promotion', 'xd', 'implementation']","['collaborates', 'approach to technology', 'systems and services', 'entire organisation', 'common', 'maintains', 'technology deployment', 'global', 'maintains awareness', 'information system', 'coordinates', 'deployment will bring', 'xd']",5,29,5,5,22,13
Information systems coordination,7,Information systems coordination 7,"Establishes the organisation's strategy for managing information and communicates the policies, standards, procedures and methods necessary to implement the strategy. _x000D_
Coordinates all aspects of management of the lifecycle of information systems. _x000D_
Represents the interests of the entire organisation to general management and external bodies on matters relating to information strategy.",establishes organisations strategy managing information communicates policies standards procedures methods necessary implement strategy _xd_ coordinates aspects management lifecycle information systems _xd_ represents interests entire organisation general management external bodies matters relating information strategy,"establishes the organisation's strategy for managing information and communicates the policies, standards, procedures and methods necessary to implement the strategy. xd coordinates all aspects of management of the lifecycle of information systems. xd represents the interests of the entire organisation to general management and external bodies on matters relating to information strategy.","['management lifecycle', 'information system', 'managing information', 'communicates', 'standards procedures', 'coordinates', 'xd', 'management']","['pass', 'co-ordinate', 'direction', 'pass along', 'convey', 'intercommunicate', 'pass on', 'management lifecycle', 'information system', 'managing information', 'commune', 'align', 'communicates', 'transmit', 'put across', 'standards procedures', 'coordinates', 'organize', 'communicate', 'coordinate', 'ordinate', 'xd', 'management', 'organise']","['management lifecycle information', 'managing information communicates', 'communicates standards procedures', 'xd management', 'procedures coordinates xd']","['pass management', 'xd management organise', 'communicate coordinate ordinate', 'information commune align', 'convey intercommunicate']","['xd represents', 'xd coordinates', 'methods necessary', 'matters relating', 'managing information', 'information systems', 'external bodies', 'general management', 'entire organisation', 'information strategy', 'organisation', 'management', 'strategy', 'strategy', 'standards', 'procedures', 'policies', 'lifecycle', 'interests', 'implement', 'establishes', 'communicates', 'aspects']","['communicates the policies', 'procedures and methods', 'managing information', 'strategy', 'implement', 'lifecycle', 'bodies']","['methods necessary', 'information systems', 'entire organisation', 'lifecycle', 'organisation', 'xd represents', 'standards', 'information system', 'communicates', 'coordinates', 'aspects', 'external bodies', 'implement', 'matters relating', 'strategy', 'xd coordinates', 'management lifecycle', 'managing information', 'information strategy', 'standards procedures', 'policies', 'procedures', 'interests', 'xd', 'management', 'general management', 'establishes']","['management lifecycle', 'bodies', 'procedures and methods', 'information system', 'managing information', 'communicates', 'strategy', 'standards procedures', 'coordinates', 'xd', 'lifecycle', 'management', 'communicates the policies', 'implement']",8,24,5,5,27,14
Information management,3,Information management 3,"Supports teams and individuals to identify and organise information assets and repositories in line with policy and practices._x000D_
Conducts routine searches for non-sensitive information needed to support organisational decision making._x000D_
Supports users to find and access information resources based on their requirements and approved access.",supports teams individuals identify organise information assets repositories line policy practices_xd_ conducts routine searches nonsensitive information needed support organisational decision making_xd_ supports users find access information resources based requirements approved access,supports teams and individuals to identify and organise information assets and repositories in line with policy and practices. xd conducts routine searches for non sensitive information needed to support organisational decision making. xd supports users to find and access information resources based on their requirements and approved access.,"['decision', 'access', 'information based']","['get at', 'admission', 'access', 'memory access', 'approach', 'admittance', 'access code', 'entree', 'decision', 'determination', 'accession', 'conclusion', 'decisiveness', 'information based']","['decision access information', 'access information based', 'decision access', 'information based', 'based']","['admission access', 'admittance access code', 'decision determination accession', 'code entree decision', 'memory access approach']","['support organisational decision making', 'non sensitive information needed', 'xd conducts routine searches', 'access information resources based', 'organise information assets', 'xd supports users', 'approved access', 'supports teams', 'requirements', 'repositories', 'practices', 'policy', 'line', 'individuals', 'identify', 'find']","['organise information assets', 'individuals to identify', 'teams', 'line', 'supports', 'access', 'requirements and approved', 'needed']","['policy', 'supports teams', 'access information resources based', 'line', 'approved access', 'support organisational decision making', 'individuals', 'decision', 'find', 'organise information assets', 'information based', 'xd supports users', 'xd conducts routine searches', 'repositories', 'non sensitive information needed', 'practices', 'access', 'identify', 'requirements']","['supports', 'access', 'teams', 'organise information assets', 'individuals to identify', 'line', 'requirements and approved', 'decision', 'needed', 'information based']",3,14,5,5,19,10
Information management,4,Information management 4,"Enables the organisation to organise, control and discover information assets._x000D_
Supports the organisation to identify, catalogue and categorise information types and information repositories in line with information management strategies and practices._x000D_
Enables users to find information through appropriate use of metadata and search tools._x000D_
Provides advice and guidance to enable good information management practices to be adopted across the organisation.",enables organisation organise control discover information assets_xd_ supports organisation identify catalogue categorise information types information repositories line information management strategies practices_xd_ enables users find information appropriate use metadata search tools_xd_ provides advice guidance enable good information management practices adopted across organisation,"enables the organisation to organise, control and discover information assets. xd supports the organisation to identify, catalogue and categorise information types and information repositories in line with information management strategies and practices. xd enables users to find information through appropriate use of metadata and search tools. xd provides advice and guidance to enable good information management practices to be adopted across the organisation.","['catalogue', 'adopted', 'metadata', 'control', 'information information', 'information management']","['restraint', 'keep in line', 'contain', 'sweep up', 'adopted', 'take up', 'ascendency', 'mastery', 'ensure', 'assure', 'moderate', 'take in', 'ascendancy', 'insure', 'controller', 'adoptive', 'hold in', 'command', 'ascendence', 'metadata', 'ascertain', 'curb', 'hold', 'information information', 'control', 'acquire', 'dominance', 'assume', 'embrace', 'verify', 'catalog', 'see', 'catalogue', 'ascendance', 'dramatise', 'borrow', 'check', 'operate', 'control condition', 'dramatize', 'see to it', 'espouse', 'manipulate', 'take over', 'take on', 'master', 'follow', 'take', 'adopt', 'information management']","['catalogue adopted metadata', 'metadata control', 'information information management', 'control information information', 'catalogue']","['restraint', 'adoptive hold command', 'ascendency mastery ensure', 'adopt information management', 'line contain sweep']","['enable good information management practices', 'information management strategies', 'discover information assets', 'categorise information types', 'xd provides advice', 'xd enables users', 'information repositories', 'find information', 'xd supports', 'search tools', 'appropriate use', 'adopted across', 'practices', 'enables', 'organise', 'organisation', 'organisation', 'organisation', 'metadata', 'line', 'identify', 'guidance', 'control', 'catalogue']","['discover information assets', 'control and discover', 'organisation to organise', 'management', 'identify', 'supports', 'line', 'metadata', 'good']","['discover information assets', 'catalogue', 'adopted', 'information management strategies', 'guidance', 'line', 'xd provides advice', 'xd supports', 'xd enables users', 'information information', 'appropriate use', 'practices', 'organisation', 'information repositories', 'search tools', 'categorise information types', 'find information', 'adopted across', 'metadata', 'enables', 'enable good information management practices', 'identify', 'control', 'organise', 'information management']","['discover information assets', 'supports', 'catalogue', 'adopted', 'good', 'line', 'information information', 'control and discover', 'organisation to organise', 'metadata', 'identify', 'control', 'management', 'information management']",6,50,5,5,25,14
Information management,5,Information management 5,"Ensures implementation of information and records management policies and standard practice.  Communicates the benefits and value of information management. _x000D_
Plans effective information storage, sharing and publishing within the organisation. Develops organisational taxonomy for information assets. _x000D_
Provides expert advice and guidance to enable the organisation to get maximum value from its information assets. _x000D_
Assesses issues that might prevent the organisation from making maximum use of its information assets. Contributes to the development of policy, standards and procedures for compliance with relevant legislation.",ensures implementation information records management policies standard practice communicates benefits value information management _xd_ plans effective information storage sharing publishing within organisation develops organisational taxonomy information assets _xd_ provides expert advice guidance enable organisation get maximum value information assets _xd_ assesses issues might prevent organisation making maximum use information assets contributes development policy standards procedures compliance relevant legislation,"ensures implementation of information and records management policies and standard practice. communicates the benefits and value of information management. xd plans effective information storage, sharing and publishing within the organisation. develops organisational taxonomy for information assets. xd provides expert advice and guidance to enable the organisation to get maximum value from its information assets. xd assesses issues that might prevent the organisation from making maximum use of its information assets. contributes to the development of policy, standards and procedures for compliance with relevant legislation.","['plans', 'legislation', 'storage', 'communicates', 'taxonomy', 'standards procedures', 'standard practice', 'xd', 'development policy', 'record management', 'information management']","['storehouse', 'plans', 'store', 'architectural plan', 'memory board', 'memory', 'development policy', 'record management', 'taxonomy', 'statute law', 'depot', 'pass on', 'warehousing', 'communicates', 'put across', 'standard practice', 'repositing', 'design', 'pass', 'reposition', 'pass along', 'storage', 'program', 'convey', 'entrepot', 'legislating', 'intercommunicate', 'lawmaking', 'contrive', 'programme', 'commune', 'plan', 'legislation', 'transmit', 'standards procedures', 'computer memory', 'computer storage', 'project', 'communicate', 'xd', 'be after', 'information management']","['plans legislation storage', 'development policy record', 'communicates taxonomy standards', 'record management information', 'practice xd development']","['policy record management', 'pass warehousing communicates', 'statute law depot', 'plan memory board', 'legislating intercommunicate lawmaking']","['xd plans effective information storage', 'xd provides expert advice', 'xd assesses issues', 'making maximum use', 'develops organisational taxonomy', 'records management policies', 'get maximum value', 'information management', 'information assets', 'information assets', 'information assets', 'standard practice', 'relevant legislation', 'publishing within', 'might prevent', 'ensures implementation', 'information', 'value', 'standards', 'sharing', 'procedures', 'policy', 'organisation', 'organisation', 'organisation', 'guidance', 'enable', 'development', 'contributes', 'compliance', 'communicates', 'benefits']","['records management policies', 'assets', 'implementation of information', 'policies and standard', 'maximum', 'storage', 'publishing', 'expert', 'advice', 'enable', 'procedures']","['information', 'plans', 'value', 'policy', 'xd provides expert advice', 'benefits', 'organisation', 'development policy', 'record management', 'taxonomy', 'ensures implementation', 'standards', 'information assets', 'communicates', 'standard practice', 'get maximum value', 'publishing within', 'contributes', 'relevant legislation', 'xd assesses issues', 'storage', 'development', 'guidance', 'develops organisational taxonomy', 'compliance', 'records management policies', 'enable', 'xd plans effective information storage', 'sharing', 'legislation', 'standards procedures', 'making maximum use', 'procedures', 'xd', 'might prevent', 'information management']","['plans', 'maximum', 'development policy', 'record management', 'taxonomy', 'advice', 'communicates', 'standard practice', 'expert', 'implementation of information', 'assets', 'storage', 'policies and standard', 'records management policies', 'enable', 'publishing', 'legislation', 'standards procedures', 'procedures', 'xd', 'information management']",11,42,5,5,36,21
Information management,6,Information management 6,"Leads and plans activities to communicate and implement information management strategies and policies.  _x000D_
Develops organisational policies, standards and guidelines for information management. _x000D_
Ensures the information required to support the organisation is defined. Creates information management processes.  _x000D_
Coordinates internal and externally sourced information resources to meet specific business objectives.",leads plans activities communicate implement information management strategies policies _xd_ develops organisational policies standards guidelines information management _xd_ ensures information required support organisation defined creates information management processes _xd_ coordinates internal externally sourced information resources meet specific business objectives,"leads and plans activities to communicate and implement information management strategies and policies. xd develops organisational policies, standards and guidelines for information management. xd ensures the information required to support the organisation is defined. creates information management processes. xd coordinates internal and externally sourced information resources to meet specific business objectives.","['activities', 'plans', 'resources', 'organisational policy', 'coordinates', 'sourced information', 'management process', 'communicate', 'xd', 'information management']","['activity', 'co-ordinate', 'plans', 'action', 'management process', 'architectural plan', 'bodily process', 'pass on', 'natural action', 'align', 'put across', 'coordinates', 'sourced information', 'coordinate', 'resourcefulness', 'ordinate', 'design', 'pass', 'bodily function', 'activities', 'pass along', 'resources', 'program', 'resource', 'activeness', 'organisational policy', 'convey', 'body process', 'intercommunicate', 'contrive', 'programme', 'commune', 'plan', 'transmit', 'imagination', 'be after', 'communicate', 'natural process', 'project', 'xd', 'organize', 'organise', 'information management']","['xd information management', 'activities plans resources', 'management process communicate', 'resources organisational policy', 'policy coordinates sourced']","['activity ordinate plans', 'action management process', 'xd organize organise', 'design pass bodily', 'intercommunicate contrive programme']","['meet specific business objectives', 'externally sourced information resources', 'implement information management strategies', 'creates information management processes', 'xd develops organisational policies', 'xd coordinates internal', 'information management', 'information required', 'xd ensures', 'plans activities', 'policies', 'support', 'standards', 'organisation', 'leads', 'guidelines', 'defined', 'communicate']","['leads and plans', 'activities to communicate', 'information', 'management', 'policies', 'develops', 'required', 'support', 'externally', 'meet specific']","['plans', 'management process', 'leads', 'organisation', 'implement information management strategies', 'externally sourced information resources', 'standards', 'plans activities', 'coordinates', 'sourced information', 'creates information management processes', 'xd coordinates internal', 'activities', 'xd ensures', 'guidelines', 'resources', 'organisational policy', 'defined', 'support', 'xd develops organisational policies', 'information required', 'policies', 'communicate', 'xd', 'meet specific business objectives', 'information management']","['information', 'develops', 'plans', 'meet specific', 'activities to communicate', 'management process', 'externally', 'leads and plans', 'required', 'coordinates', 'sourced information', 'activities', 'resources', 'organisational policy', 'support', 'policies', 'communicate', 'xd', 'management', 'information management']",10,43,5,5,26,20
