Model,Cluster,Expanded,TP,FP,FN,Precision,Recall,F1_score
skills_skillner,CS,False,34,10,401,0.7727272727272727,0.07816091954022988,0.1419624217118998
skills_skillner,CS,True,61,13,374,0.8243243243243243,0.14022988505747128,0.2396856581532417
skills_skillner_keybert,CS,False,8,3,427,0.7272727272727273,0.01839080459770115,0.03587443946188341
skills_skillner_keybert,CS,True,18,3,417,0.8571428571428571,0.041379310344827586,0.07894736842105263
skills_skillner_qe,CS,False,101,61,334,0.6234567901234568,0.23218390804597702,0.33835845896147404
skills_skillner_qe,CS,True,240,82,195,0.7453416149068323,0.5517241379310345,0.6340819022457067
skills_skillner_qe_keybert,CS,False,2,1,433,0.6666666666666666,0.004597701149425287,0.0091324200913242
skills_skillner_qe_keybert,CS,True,7,1,428,0.875,0.016091954022988506,0.03160270880361174
skills_skillner_rake,CS,False,17,6,418,0.7391304347826086,0.03908045977011494,0.074235807860262
skills_skillner_rake,CS,True,50,8,385,0.8620689655172413,0.11494252873563218,0.2028397565922921
skills_skillner_yake,CS,False,15,2,420,0.8823529411764706,0.034482758620689655,0.06637168141592921
skills_skillner_yake,CS,True,33,2,402,0.9428571428571428,0.07586206896551724,0.14042553191489363
