expanded_matched_skills
Business process improvement 2
Business process improvement 3
Business process improvement 4
Customer service support 1
Customer service support 2
Customer service support 3
Data science 2
Incident management 1
Incident management 2
Incident management 3
Incident management 4
Incident management 5
Information management 3
Information management 4
Innovation management 5
Learning and development management 2
Learning and development management 3
Machine learning 2
Machine learning 3
Machine learning 4
Network design 2
Network design 3
Network design 4
Network support 1
Network support 2
Network support 3
Penetration testing 2
Problem management 2
Process testing 1
Process testing 2
Release management 2
Release management 3
Release management 4
Release management 5
Release management 6
Service catalogue management 2
Service catalogue management 3
Service catalogue management 4
Service catalogue management 5
Sourcing 2
Sourcing 3
Sourcing 4
Sourcing 5
Strategic planning 4
Strategic planning 5
Supplier management 2
Supplier management 3
Supplier management 4
Supplier management 5
Supplier management 6
System software administration 2
Systems and software lifecycle engineering 3
Systems and software lifecycle engineering 4
Systems and software lifecycle engineering 5
Technology service management 5
Technology service management 6
User acceptance testing 2
User experience analysis 2
