matched_skills,similarity_score
Database design 5,0.31209148548078364
Data science 4,0.30581348008737247
Data science 3,0.29963339821279567
Data science 5,0.27739703184320474
Data science 2,0.2768024678843656
System software administration 2,0.2739426052580283
Programming/software development 4,0.26954383137515986
Software design 6,0.26406463960047394
Systems and software lifecycle engineering 6,0.2623760944442569
Data engineering 3,0.26178770404211055
Systems design 6,0.25715327018434686
Data engineering 4,0.25024494181635315
Programming/software development 3,0.2443696617920093
Programming/software development 2,0.24341944855972059
Data management 6,0.2430555616582048
Continuity management 4,0.2415497563796894
Software design 3,0.23814665070691265
Data science 6,0.23670379995048982
Software design 2,0.23508504974370492
Data modelling and design 5,0.23157197790964393
Data management 2,0.2308208070653611
Data engineering 5,0.2296799431656929
Data engineering 6,0.2275932046004951
System software administration 4,0.22586284359621928
Data management 4,0.22066985560195126
Database design 4,0.21955121429318383
System software administration 5,0.21785943089599635
Software design 5,0.2169374545350303
Data management 5,0.21639016180768136
Systems and software lifecycle engineering 3,0.21612267609885835
Information security 4,0.21578072650230565
Systems design 2,0.21473891268677597
Infrastructure operations 3,0.21413427757825526
Data management 3,0.2124668726636797
Data analytics 7,0.21192501556844592
Systems integration and build 3,0.2106366204293971
Data engineering 2,0.20943802358916447
Radio frequency engineering 5,0.20824102685915258
Systems design 5,0.2035496490359535
Programming/software development 5,0.20245545764386702
Systems and software lifecycle engineering 4,0.20157781263851715
Radio frequency engineering 3,0.20122416206953944
Network support 4,0.20056978206055212
Systems development management 7,0.20038111876431927
