matched_skills,similarity_score
Network support 3,0.33371942891735423
Deployment 4,0.32905548505270016
Consultancy 7,0.32649163469944076
Machine learning 5,0.31951023921609767
Customer service support 5,0.3166582685346513
Formal research 5,0.3150390387319109
Software design 6,0.31130270585137065
Business process improvement 5,0.3108477001371527
Deployment 6,0.3086019157361425
Records management 3,0.3037160578601216
Systems integration and build 5,0.3028452587620954
Offensive cyber operations 6,0.30273045312122515
Offensive cyber operations 3,0.302478332306483
Learning and development management 5,0.30228577856572986
Information security 4,0.29889389375551517
Programme management 6,0.2980220037363085
Business process improvement 3,0.29152778032005877
Programming/software development 3,0.2909155787602212
Availability management 4,0.2909112109609957
Data science 3,0.28992663369645255
Offensive cyber operations 5,0.2890165065613585
Security operations 4,0.2849732244328816
Data management 2,0.2848220956934213
Business intelligence 5,0.2846554005342708
Benefits management 6,0.28309681766578276
Methods and tools 5,0.28270372097712454
Data modelling and design 5,0.2825039122283306
Formal research 6,0.2818382602155592
Data science 5,0.28160891029438556
Network support 4,0.2802187207634132
Data engineering 2,0.27974638872475643
"Portfolio, programme and project support 3",0.27916836083642865
Deployment 3,0.27845639975897246
Incident management 5,0.27325588046035126
Data engineering 4,0.2725475685121096
Risk management 6,0.26981768294047515
Offensive cyber operations 4,0.26934268596793176
Systems and software lifecycle engineering 6,0.26896177046424824
System software administration 5,0.26828321243868286
Solution architecture 6,0.26681843013376927
Specialist advice 4,0.2658980004937415
Organisational capability development 6,0.26394158632023956
Infrastructure operations 4,0.2639181749814516
User experience analysis 5,0.26224423636248073
Asset management 5,0.2615710847993879
Database administration 4,0.2587648254364001
Release management 5,0.2551549479054815
Configuration management 5,0.2542773253416966
Identity and access management 2,0.2527544594246216
Availability management 3,0.25206111369921436
Methods and tools 3,0.25201103592536955
User acceptance testing 4,0.2516560971218827
Data modelling and design 3,0.2515494226343258
Requirements definition and management 5,0.2504730264300619
Data modelling and design 4,0.2501115572844978
Organisational capability development 5,0.2500658466316539
Product management 5,0.25003604828938086
Resourcing 3,0.24980884948278037
Software design 3,0.249620292865729
Vulnerability research 5,0.24956310392681008
Business administration 1,0.24716621448190307
Financial analysis 5,0.24604687705050138
Service acceptance 4,0.24536124554935
Enterprise and business architecture 5,0.24529629351576515
Data management 3,0.24458695150051943
User experience evaluation 5,0.24439046137211112
Configuration management 4,0.24419087430102218
Systems development management 5,0.2441800145859042
Technology service management 7,0.24386008013754643
Information systems coordination 6,0.2432418067654664
Service level management 6,0.243194279870205
Asset management 3,0.24222132361960208
Content publishing 4,0.24165352144134214
Systems and software lifecycle engineering 3,0.24122516275366185
Data analytics 3,0.24101114294472253
Radio frequency engineering 3,0.23997651204743833
Selling 5,0.23972230811630432
Demand management 5,0.239462783296861
Offensive cyber operations 2,0.23938185207580392
Competency assessment 5,0.23909489691826488
Content publishing 6,0.23886692895574438
Project management 7,0.2385559202222397
Information assurance 3,0.2382781149702238
Application support 5,0.23793903050032045
Delivery management 4,0.23760905774317528
Availability management 6,0.23746612834063563
Methods and tools 2,0.23713821646289623
Systems development management 4,0.2370544166847262
Network support 5,0.23454805430888634
Programming/software development 4,0.23413542371312862
Technology service management 6,0.2337282930084852
Data engineering 6,0.23346223357488216
Knowledge management 5,0.23339383748613168
Security operations 1,0.2332349639918761
Change control 5,0.23314090355074055
Knowledge management 3,0.23303360039332313
Systems design 2,0.23073391531217535
Risk management 2,0.23071564072174744
Information assurance 2,0.22997426544030267
Animation development 5,0.22944499649334912
Specialist advice 5,0.22890647237178718
Programming/software development 2,0.2285698015130342
Data engineering 3,0.22725743292408093
Release management 2,0.22722824452954846
Security operations 3,0.22718633638011274
Data visualisation 2,0.22690317405989058
Consultancy 6,0.22647727043157034
Vulnerability research 6,0.22520207059987943
Service level management 4,0.22477371497615753
Learning and development management 2,0.2233915067784971
Continuity management 5,0.2222983175241289
Selling 4,0.22221894225720482
Business situation analysis 5,0.2221754572222204
Audit 7,0.219628054431543
Application support 4,0.21873377393347126
Security operations 2,0.21675815359228376
Machine learning 2,0.21636161357114833
Information security 5,0.21615146790181322
Storage management 3,0.21600824452605072
Programming/software development 5,0.21572789403807566
Storage management 4,0.21545161229533397
Systems development management 7,0.21538815092297017
Network support 1,0.2144326274777318
Infrastructure operations 3,0.2128261556497847
Software design 2,0.21282216156309094
Information management 7,0.21179932798359102
Data management 4,0.21086109084726812
Service catalogue management 5,0.21075881274230576
Data science 2,0.2101633031556677
Resourcing 4,0.2098212686984269
Project management 4,0.2093390359496878
Delivery management 3,0.20922241700732516
Business administration 5,0.20913390265405318
Software configuration 3,0.20899716136847274
Systems design 6,0.20893623880067913
Safety engineering 6,0.2085976659056426
"Portfolio, programme and project support 4",0.20720236718791551
User acceptance testing 5,0.20633020346800626
Service acceptance 3,0.2062905711597448
Digital forensics 5,0.20607123323305143
Bid/proposal management 4,0.2056145647758285
Database design 5,0.20519290789081812
Stakeholder relationship management 5,0.2051193853317733
Storage management 6,0.2050820955597421
Business administration 6,0.20498369757527687
Innovation management 5,0.20462250637891205
"Portfolio, programme and project support 6",0.2044603492225649
Market research 3,0.20423905571873482
Programme management 7,0.20416813591692334
Quality assurance 6,0.20412684751554802
Penetration testing 6,0.2037428929875156
Incident management 4,0.203487006527008
Facilities management 5,0.20342482832407957
Data science 6,0.20332621579931487
Identity and access management 5,0.2030077820416893
Selling 3,0.20198697904633142
Information management 6,0.2017152697595545
Asset management 2,0.2015684873153338
Database administration 3,0.20148752257776614
Business process improvement 6,0.20139481623594863
Database design 4,0.20098577045708893
Financial management 4,0.20070779155882124
