matched_skills,similarity_score
User experience analysis 2,1.0
Innovation management 5,1.0
Customer service support 3,1.0
Network design 4,1.0
Technology service management 6,1.0
Data science 2,1.0
Machine learning 4,1.0
Network support 3,1.0
Service catalogue management 5,1.0
Release management 6,1.0
Learning and development management 3,1.0
Sourcing 5,1.0
Supplier management 6,1.0
System software administration 2,1.0
User acceptance testing 2,1.0
Systems and software lifecycle engineering 5,1.0
Problem management 2,1.0
Penetration testing 2,1.0
Incident management 5,1.0
Process testing 2,1.0
Strategic planning 5,1.0
Information management 4,1.0
Business process improvement 4,1.0
