Skill,Level 1,Level 2,Level 3,Level 4,Level 5,Level 6,Level 7
Strategic planning,,,,,,,
Information systems coordination,,,,,,,
Information management,,,,,,,
Enterprise and business architecture,,,,,,,
Solution architecture,,,,,,,
Innovation management,,,,,,,
Emerging technology monitoring,,,,,,,
Formal research,,,,,,,
Sustainability,,,,,,,
Financial management,,,,,,,
Investment appraisal,,,,,,,
Benefits management,,,,,,,
Budgeting and forecasting,,,,,,,
Financial analysis,,,,,,,
Cost management,,,,,,,
Demand management,,,,,,,
Measurement,,,,,,,
Information security,,,,0.2158,,,
Information assurance,,,,,,,
Information and data compliance,,,,,,,
Vulnerability research,,,,,,,
Threat intelligence,,,,,,,
Governance,,,,,,,
Risk management,,,,,,,
Artificial intelligence (AI) and data ethics,,,,,,,
Audit,,,,,,,
Quality management,,,,,,,
Quality assurance,,,,,,,
Consultancy,,,,,,,
Specialist advice,,,,,,,
Methods and tools,,,,,,,
Portfolio management,,,,,,,
Programme management,,,,,,,
Project management,,,,,,,
"Portfolio, programme and project support",,,,,,,
Delivery management,,,,,,,
Business situation analysis,,,,,,,
Feasibility assessment,,,,,,,
Requirements definition and management,,,,,,,
Business modelling,,,,,,,
User acceptance testing,,,,,,,
Business process improvement,,,,,,,
Organisational capability development,,,,,,,
Job analysis and design,,,,,,,
Organisation design and implementation,,,,,,,
Organisational change management,,,,,,,
Organisational change enablement,,,,,,,
Product management,,,,,,,
Systems development management,,,,,,,0.2004
Systems and software lifecycle engineering,,,0.2161,0.2016,,0.2624,
Systems design,,0.2147,,,0.2035,0.2572,
Software design,,0.2351,0.2381,,0.2169,0.2641,
Network design,,,,,,,
Infrastructure design,,,,,,,
Hardware design,,,,,,,
Programming/software development,,0.2434,0.2444,0.2695,0.2025,,
Systems integration and build,,,0.2106,,,,
Functional testing,,,,,,,
Non-functional testing,,,,,,,
Process testing,,,,,,,
Software configuration,,,,,,,
Real-time/embedded systems development,,,,,,,
Safety engineering,,,,,,,
Safety assessment,,,,,,,
Radio frequency engineering,,,0.2012,,0.2082,,
Animation development,,,,,,,
Data management,,0.2308,0.2125,0.2207,0.2164,0.2431,
Data modelling and design,,,,,0.2316,,
Database design,,,,0.2196,0.3121,,
Data analytics,,,,,,,0.2119
Data science,,0.2768,0.2996,0.3058,0.2774,0.2367,
Machine learning,,,,,,,
Business intelligence,,,,,,,
Data engineering,,0.2094,0.2618,0.2502,0.2297,0.2276,
Data visualisation,,,,,,,
User research,,,,,,,
Customer experience,,,,,,,
Accessibility and inclusion,,,,,,,
User experience analysis,,,,,,,
User experience design,,,,,,,
User experience evaluation,,,,,,,
Content design and authoring,,,,,,,
Content publishing,,,,,,,
Knowledge management,,,,,,,
Graphic design,,,,,,,
Scientific modelling,,,,,,,
Numerical analysis,,,,,,,
High-performance computing,,,,,,,
Technology service management,,,,,,,
Application support,,,,,,,
Infrastructure operations,,,0.2141,,,,
System software administration,,0.2739,,0.2259,0.2179,,
Network support,,,,0.2006,,,
Systems installation and removal,,,,,,,
Configuration management,,,,,,,
Release management,,,,,,,
Deployment,,,,,,,
Storage management,,,,,,,
Facilities management,,,,,,,
Service level management,,,,,,,
Service catalogue management,,,,,,,
Availability management,,,,,,,
Continuity management,,,,0.2415,,,
Capacity management,,,,,,,
Incident management,,,,,,,
Problem management,,,,,,,
Change control,,,,,,,
Asset management,,,,,,,
Service acceptance,,,,,,,
Security operations,,,,,,,
Identity and access management,,,,,,,
Vulnerability assessment,,,,,,,
Digital forensics,,,,,,,
Cybercrime investigation,,,,,,,
Offensive cyber operations,,,,,,,
Penetration testing,,,,,,,
Records management,,,,,,,
Analytical classification and coding,,,,,,,
Database administration,,,,,,,
Performance management,,,,,,,
Employee experience,,,,,,,
Organisational facilitation,,,,,,,
Professional development,,,,,,,
Workforce planning,,,,,,,
Resourcing,,,,,,,
Learning and development management,,,,,,,
Learning design and development,,,,,,,
Learning delivery,,,,,,,
Competency assessment,,,,,,,
Certification scheme operation,,,,,,,
Teaching,,,,,,,
Subject formation,,,,,,,
Sourcing,,,,,,,
Supplier management,,,,,,,
Contract management,,,,,,,
Stakeholder relationship management,,,,,,,
Customer service support,,,,,,,
Business administration,,,,,,,
Bid/proposal management,,,,,,,
Selling,,,,,,,
Sales support,,,,,,,
Marketing management,,,,,,,
Market research,,,,,,,
Brand management,,,,,,,
Customer engagement and loyalty,,,,,,,
Marketing campaign management,,,,,,,
Digital marketing,,,,,,,
