Skill,Level 1,Level 2,Level 3,Level 4,Level 5,Level 6,Level 7
Strategic planning,,,,,,,
Information systems coordination,,,,,,0.2432,
Information management,,,,,,0.2017,0.2118
Enterprise and business architecture,,,,,0.2453,,
Solution architecture,,,,,,0.2668,
Innovation management,,,,,0.2046,,
Emerging technology monitoring,,,,,,,
Formal research,,,,,0.315,0.2818,
Sustainability,,,,,,,
Financial management,,,,0.2007,,,
Investment appraisal,,,,,,,
Benefits management,,,,,,0.2831,
Budgeting and forecasting,,,,,,,
Financial analysis,,,,,0.246,,
Cost management,,,,,,,
Demand management,,,,,0.2395,,
Measurement,,,,,,,
Information security,,,,0.2989,0.2162,,
Information assurance,,0.23,0.2383,,,,
Information and data compliance,,,,,,,
Vulnerability research,,,,,0.2496,0.2252,
Threat intelligence,,,,,,,
Governance,,,,,,,
Risk management,,0.2307,,,,0.2698,
Artificial intelligence (AI) and data ethics,,,,,,,
Audit,,,,,,,0.2196
Quality management,,,,,,,
Quality assurance,,,,,,0.2041,
Consultancy,,,,,,0.2265,0.3265
Specialist advice,,,,0.2659,0.2289,,
Methods and tools,,0.2371,0.252,,0.2827,,
Portfolio management,,,,,,,
Programme management,,,,,,0.298,0.2042
Project management,,,,0.2093,,,0.2386
"Portfolio, programme and project support",,,0.2792,0.2072,,0.2045,
Delivery management,,,0.2092,0.2376,,,
Business situation analysis,,,,,0.2222,,
Feasibility assessment,,,,,,,
Requirements definition and management,,,,,0.2505,,
Business modelling,,,,,,,
User acceptance testing,,,,0.2517,0.2063,,
Business process improvement,,,0.2915,,0.3108,0.2014,
Organisational capability development,,,,,0.2501,0.2639,
Job analysis and design,,,,,,,
Organisation design and implementation,,,,,,,
Organisational change management,,,,,,,
Organisational change enablement,,,,,,,
Product management,,,,,0.25,,
Systems development management,,,,0.2371,0.2442,,0.2154
Systems and software lifecycle engineering,,,0.2412,,,0.269,
Systems design,,0.2307,,,,0.2089,
Software design,,0.2128,0.2496,,,0.3113,
Network design,,,,,,,
Infrastructure design,,,,,,,
Hardware design,,,,,,,
Programming/software development,,0.2286,0.2909,0.2341,0.2157,,
Systems integration and build,,,,,0.3028,,
Functional testing,,,,,,,
Non-functional testing,,,,,,,
Process testing,,,,,,,
Software configuration,,,0.209,,,,
Real-time/embedded systems development,,,,,,,
Safety engineering,,,,,,0.2086,
Safety assessment,,,,,,,
Radio frequency engineering,,,0.24,,,,
Animation development,,,,,0.2294,,
Data management,,0.2848,0.2446,0.2109,,,
Data modelling and design,,,0.2515,0.2501,0.2825,,
Database design,,,,0.201,0.2052,,
Data analytics,,,0.241,,,,
Data science,,0.2102,0.2899,,0.2816,0.2033,
Machine learning,,0.2164,,,0.3195,,
Business intelligence,,,,,0.2847,,
Data engineering,,0.2797,0.2273,0.2725,,0.2335,
Data visualisation,,0.2269,,,,,
User research,,,,,,,
Customer experience,,,,,,,
Accessibility and inclusion,,,,,,,
User experience analysis,,,,,0.2622,,
User experience design,,,,,,,
User experience evaluation,,,,,0.2444,,
Content design and authoring,,,,,,,
Content publishing,,,,0.2417,,0.2389,
Knowledge management,,,0.233,,0.2334,,
Graphic design,,,,,,,
Scientific modelling,,,,,,,
Numerical analysis,,,,,,,
High-performance computing,,,,,,,
Technology service management,,,,,,0.2337,0.2439
Application support,,,,0.2187,0.2379,,
Infrastructure operations,,,0.2128,0.2639,,,
System software administration,,,,,0.2683,,
Network support,0.2144,,0.3337,0.2802,0.2345,,
Systems installation and removal,,,,,,,
Configuration management,,,,0.2442,0.2543,,
Release management,,0.2272,,,0.2552,,
Deployment,,,0.2785,0.3291,,0.3086,
Storage management,,,0.216,0.2155,,0.2051,
Facilities management,,,,,0.2034,,
Service level management,,,,0.2248,,0.2432,
Service catalogue management,,,,,0.2108,,
Availability management,,,0.2521,0.2909,,0.2375,
Continuity management,,,,,0.2223,,
Capacity management,,,,,,,
Incident management,,,,0.2035,0.2733,,
Problem management,,,,,,,
Change control,,,,,0.2331,,
Asset management,,0.2016,0.2422,,0.2616,,
Service acceptance,,,0.2063,0.2454,,,
Security operations,0.2332,0.2168,0.2272,0.285,,,
Identity and access management,,0.2528,,,0.203,,
Vulnerability assessment,,,,,,,
Digital forensics,,,,,0.2061,,
Cybercrime investigation,,,,,,,
Offensive cyber operations,,0.2394,0.3025,0.2693,0.289,0.3027,
Penetration testing,,,,,,0.2037,
Records management,,,0.3037,,,,
Analytical classification and coding,,,,,,,
Database administration,,,0.2015,0.2588,,,
Performance management,,,,,,,
Employee experience,,,,,,,
Organisational facilitation,,,,,,,
Professional development,,,,,,,
Workforce planning,,,,,,,
Resourcing,,,0.2498,0.2098,,,
Learning and development management,,0.2234,,,0.3023,,
Learning design and development,,,,,,,
Learning delivery,,,,,,,
Competency assessment,,,,,0.2391,,
Certification scheme operation,,,,,,,
Teaching,,,,,,,
Subject formation,,,,,,,
Sourcing,,,,,,,
Supplier management,,,,,,,
Contract management,,,,,,,
Stakeholder relationship management,,,,,0.2051,,
Customer service support,,,,,0.3167,,
Business administration,0.2472,,,,0.2091,0.205,
Bid/proposal management,,,,0.2056,,,
Selling,,,0.202,0.2222,0.2397,,
Sales support,,,,,,,
Marketing management,,,,,,,
Market research,,,0.2042,,,,
Brand management,,,,,,,
Customer engagement and loyalty,,,,,,,
Marketing campaign management,,,,,,,
Digital marketing,,,,,,,
