Skill,Level 1,Level 2,Level 3,Level 4,Level 5,Level 6,Level 7
Strategic planning,,,,,,,
Information systems coordination,,,,,,,
Information management,,,,,,,
Enterprise and business architecture,,,,,,,
Solution architecture,,,,,,,
Innovation management,,,,,,,
Emerging technology monitoring,,,,,,,
Formal research,,,,,,,
Sustainability,,,,,,,
Financial management,,,,,,,
Investment appraisal,,,,,,,
Benefits management,,,,,,,
Budgeting and forecasting,,,,,,,
Financial analysis,,,,,,,
Cost management,,,,,,,
Demand management,,,,,,,
Measurement,,,,,0.2199,,
Information security,,,,,,,
Information assurance,,,,,,,
Information and data compliance,,,,,,,
Vulnerability research,,,,,,,
Threat intelligence,,,,,,,
Governance,,,,,,,
Risk management,,,,,,,
Artificial intelligence (AI) and data ethics,,,,,,,
Audit,,,,,,,
Quality management,,,,,,,
Quality assurance,,,,,,,
Consultancy,,,,,,,
Specialist advice,,,,,,,
Methods and tools,,,,,,,
Portfolio management,,,,,,,
Programme management,,,,,,,
Project management,,,,,,,
"Portfolio, programme and project support",,,,,,,
Delivery management,,,,,,,
Business situation analysis,,,,,,,
Feasibility assessment,,,,,,,
Requirements definition and management,,,,,,,
Business modelling,,,,,,,
User acceptance testing,,,,,,,
Business process improvement,,,,,,,
Organisational capability development,,,,,,,
Job analysis and design,,,,,,,
Organisation design and implementation,,,,,,,
Organisational change management,,,,,,,
Organisational change enablement,,,,,,,
Product management,,,,,,,
Systems development management,,,,,,,
Systems and software lifecycle engineering,,,,,,,
Systems design,,,,,,,
Software design,,,,,,,
Network design,,,,,,,
Infrastructure design,,,,,,,
Hardware design,,,,,,,
Programming/software development,,,,,,,
Systems integration and build,,,,,,,
Functional testing,,,,,,,
Non-functional testing,,,,,,,
Process testing,,,,,,,
Software configuration,,,,,,,
Real-time/embedded systems development,,,,,,,
Safety engineering,,,,,,,
Safety assessment,,,,,,,
Radio frequency engineering,,,,,,,
Animation development,,,,,,,
Data management,,,,,,,
Data modelling and design,,,,,,,
Database design,,,,,,,
Data analytics,,,,,,,
Data science,,,0.2116,,0.2011,,
Machine learning,,,,,,,
Business intelligence,,,,,,,
Data engineering,,,,,,,
Data visualisation,,,,,,,
User research,,,,,,,
Customer experience,,,,,,,
Accessibility and inclusion,,,,,,,
User experience analysis,,,,,,,
User experience design,,,,,,,
User experience evaluation,,,,,,,
Content design and authoring,,,,,,,
Content publishing,,,,,,,
Knowledge management,,,,,,,
Graphic design,,,,,,,
Scientific modelling,,,,,,,
Numerical analysis,,,,,,,
High-performance computing,,,,,,,
Technology service management,,,,,,,
Application support,,,,,,,
Infrastructure operations,,,,,,,
System software administration,,,,,,,
Network support,,,,,,,
Systems installation and removal,,,,,,,
Configuration management,,,,,,,
Release management,,,,,,,
Deployment,,,,,,,
Storage management,,,,,,,
Facilities management,,,,,,,
Service level management,,,,,,,
Service catalogue management,,,,,,,
Availability management,,,,,,,
Continuity management,,,,,,,
Capacity management,,,,,,,
Incident management,,,,,,,
Problem management,,,,,,,
Change control,,,,,,,
Asset management,,,,,,,
Service acceptance,,,,,,,
Security operations,,,,,,,
Identity and access management,,,,,,,
Vulnerability assessment,,,,,,,
Digital forensics,,,,,,,
Cybercrime investigation,,,,,,,
Offensive cyber operations,,,,,,,
Penetration testing,,,,,,,
Records management,,,,,,,
Analytical classification and coding,,,,,,,
Database administration,,,,,,,
Performance management,,,,,,,
Employee experience,,,,,,,
Organisational facilitation,,,,,,,
Professional development,,,,,,,
Workforce planning,,,,,,,
Resourcing,,,,,,,
Learning and development management,,,,,,,
Learning design and development,,,,,,,
Learning delivery,,,,,,,
Competency assessment,,,,,,,
Certification scheme operation,,,,,,,
Teaching,,,,,,,
Subject formation,,,,,,,
Sourcing,,,,,,,
Supplier management,,,,,,,
Contract management,,,,,,,
Stakeholder relationship management,,,,,,,
Customer service support,,,,,,,
Business administration,,,,,,,
Bid/proposal management,,,,,,,
Selling,,,,,,,
Sales support,,,,,,,
Marketing management,,,,,,,
Market research,,,,,,,
Brand management,,,,,,,
Customer engagement and loyalty,,,,,,,
Marketing campaign management,,,,,,,
Digital marketing,,,,,,,
