Skill,Level 1,Level 2,Level 3,Level 4,Level 5,Level 6,Level 7
Strategic planning,,,,,,,
Information systems coordination,,,,,,,
Information management,,,,,,,
Enterprise and business architecture,,,,,,,
Solution architecture,,,,,,,
Innovation management,,,,,,,
Emerging technology monitoring,,,,,,,
Formal research,,,,,,,
Sustainability,,,,,,,
Financial management,,,,,,,
Investment appraisal,,,,,,,
Benefits management,,,,,,,
Budgeting and forecasting,,,,,,,
Financial analysis,,,,,,,
Cost management,,,,,,,
Demand management,,,,,,,
Measurement,,,,,,,
Information security,,,,,,,
Information assurance,,,,,,,
Information and data compliance,,,,,,,
Vulnerability research,,,,,,,
Threat intelligence,,,,,,,
Governance,,,,,,,
Risk management,,,,,0.1111,,0.1053
Artificial intelligence (AI) and data ethics,,,,,,0.1026,
Audit,,,,,,,
Quality management,,,,,,,
Quality assurance,,,,,,,
Consultancy,,,,,,,
Specialist advice,,,,,,,
Methods and tools,,,0.1111,0.1,0.1,,
Portfolio management,,,,,,,
Programme management,,,,,,,
Project management,,,,,,,0.122
"Portfolio, programme and project support",,,,,,,
Delivery management,,,,,,,
Business situation analysis,,,,,,,
Feasibility assessment,,,,,,,
Requirements definition and management,,,,,,,
Business modelling,,,,,,,
User acceptance testing,,,,,,,
Business process improvement,,,,,,,
Organisational capability development,,,,,,,
Job analysis and design,,,,,,,
Organisation design and implementation,,,,,,,
Organisational change management,,,,,,,
Organisational change enablement,,,,,,,
Product management,,,,,,,
Systems development management,,,,,,,
Systems and software lifecycle engineering,,,,,,,
Systems design,,,,,,,
Software design,,,,,,,
Network design,,,,,,,
Infrastructure design,,,,,,,
Hardware design,,,,,,,
Programming/software development,,,,,,,
Systems integration and build,,,,,,,
Functional testing,,0.1,,,,,
Non-functional testing,,,,,,,
Process testing,,,,,,,
Software configuration,,,,,,,
Real-time/embedded systems development,,,,,,,
Safety engineering,,,,,,,
Safety assessment,,,,,,,
Radio frequency engineering,,,,,,,
Animation development,,,,,,,
Data management,,,,,,,
Data modelling and design,,,,,,,
Database design,,,,,,,
Data analytics,,,0.1273,,,,
Data science,,,,,,,
Machine learning,,,,,,,
Business intelligence,,,,,,,
Data engineering,,,0.1667,,,,
Data visualisation,,,,,,,
User research,,,,,,,
Customer experience,,,,,,,
Accessibility and inclusion,,,,,,,
User experience analysis,,,,,,,
User experience design,,,,,,,
User experience evaluation,,,,,,,
Content design and authoring,,,,,,,
Content publishing,,,,,,,
Knowledge management,,,,,,,
Graphic design,,,,,,,
Scientific modelling,,,,,,,
Numerical analysis,,,,,,,
High-performance computing,,,,,,,
Technology service management,,,,,,,
Application support,,,,,,,
Infrastructure operations,0.1,,0.102,0.1077,,,
System software administration,,,,,,,
Network support,0.122,,,,,,
Systems installation and removal,,,,,,,
Configuration management,,,,,,,
Release management,,,,,,,
Deployment,,,,,,,
Storage management,,,,,,,
Facilities management,,,,,,,
Service level management,,,,,,,
Service catalogue management,,,,,,,
Availability management,,,,,,,
Continuity management,,,,,,,
Capacity management,,,,,,,
Incident management,0.1111,,,,,,
Problem management,,,,,,,
Change control,,,,,,,
Asset management,,,0.1053,,,,
Service acceptance,,,,,,,
Security operations,,,,,,,
Identity and access management,,,,,,,
Vulnerability assessment,,,,,,,
Digital forensics,,,,,,,
Cybercrime investigation,,,,,,,
Offensive cyber operations,,,,,,,
Penetration testing,,,,,,,
Records management,,,,,,,
Analytical classification and coding,,,,,,,
Database administration,,,,,,,
Performance management,,,,,,,
Employee experience,,,,,,,
Organisational facilitation,,,,,,,
Professional development,,,,,,,
Workforce planning,,,,,,,
Resourcing,,,,,,,
Learning and development management,,,,,,,
Learning design and development,,,,,,,
Learning delivery,,,,,,,
Competency assessment,,,,0.1111,,,
Certification scheme operation,,,,,,,
Teaching,,,,,,,
Subject formation,,,,,,,
Sourcing,,,,,,,
Supplier management,,,,,,,
Contract management,,,,,,,
Stakeholder relationship management,,,,,,,
Customer service support,,,,,,,
Business administration,,,,,,,
Bid/proposal management,,,,,,,
Selling,,,,,,,
Sales support,,,,,,,
Marketing management,,,,,,,
Market research,,,,,,,
Brand management,,,,,,,
Customer engagement and loyalty,,,,,,,
Marketing campaign management,,,,,,,
Digital marketing,,,,,,,
