Model,Cluster,Expanded,TP,FP,FN,Precision,Recall,F1_score
skills_skillner,IS,False,26,17,404,0.6046511627906976,0.06046511627906977,0.10993657505285412
skills_skillner,IS,True,71,29,359,0.71,0.16511627906976745,0.2679245283018868
skills_skillner_keybert,IS,False,5,1,425,0.8333333333333334,0.011627906976744186,0.02293577981651376
skills_skillner_keybert,IS,True,17,1,413,0.9444444444444444,0.03953488372093023,0.07589285714285714
skills_ner_bert,IS,False,19,7,411,0.7307692307692307,0.044186046511627906,0.08333333333333331
skills_ner_bert,IS,True,43,10,387,0.8113207547169812,0.1,0.1780538302277433
skills_ner_bert_keybert,IS,False,18,6,412,0.75,0.04186046511627907,0.07929515418502203
skills_ner_bert_keybert,IS,True,39,8,391,0.8297872340425532,0.09069767441860466,0.16352201257861634
skills_skillner_qe,IS,False,137,61,293,0.6919191919191919,0.3186046511627907,0.4363057324840765
skills_skillner_qe,IS,True,281,88,149,0.7615176151761518,0.6534883720930232,0.7033792240300375
skills_skillner_qe_keybert,IS,False,7,2,423,0.7777777777777778,0.01627906976744186,0.03189066059225513
skills_skillner_qe_keybert,IS,True,23,4,407,0.8518518518518519,0.053488372093023255,0.10065645514223194
skills_skillner_yake,IS,False,12,2,418,0.8571428571428571,0.027906976744186046,0.05405405405405405
skills_ner_bert_rake,IS,False,45,22,385,0.6716417910447762,0.10465116279069768,0.18108651911468815
skills_ner_bert_yake,IS,False,180,107,250,0.627177700348432,0.4186046511627907,0.502092050209205
