Model,Cluster,TP,FP,FN,Precision,Recall,F1_score
skills_skillner_tfidf,IS,36,26,394,0.5806451612903226,0.08372093023255814,0.14634146341463417
skills_skillner_keybert_tfidf,IS,11,6,419,0.6470588235294118,0.02558139534883721,0.049217002237136466
skills_ner_bert_tfidf,IS,3,1,427,0.75,0.0069767441860465115,0.013824884792626727
skills_ner_bert_keybert_tfidf,IS,2,3,428,0.4,0.004651162790697674,0.009195402298850575
skills_skillner_qe_tfidf,IS,13,11,417,0.5416666666666666,0.030232558139534883,0.057268722466960346
skills_skillner_qe_keybert_tfidf,IS,5,3,425,0.625,0.011627906976744186,0.0228310502283105
skills_skillner_rake,IS,90,35,340,0.72,0.20930232558139536,0.32432432432432434
skills_skillner_yake,IS,153,68,277,0.6923076923076923,0.3558139534883721,0.47004608294930883
skills_ner_bert_rake,IS,168,103,262,0.6199261992619927,0.39069767441860465,0.4793152639087019
skills_ner_bert_yake,IS,178,106,252,0.6267605633802817,0.413953488372093,0.49859943977591037
