expanded_skills
Accessibility and inclusion 2
Accessibility and inclusion 3
Accessibility and inclusion 4
Analytical classification and coding 2
Analytical classification and coding 3
Analytical classification and coding 4
Analytical classification and coding 5
Animation development 2
Animation development 3
Animation development 4
Animation development 5
Animation development 6
Application support 2
Application support 3
Application support 4
Application support 5
Artificial intelligence (AI) and data ethics 3
Asset management 2
Asset management 3
Asset management 4
Asset management 5
Asset management 6
Audit 2
Audit 3
Audit 4
Audit 5
Audit 6
Audit 7
Availability management 3
Availability management 4
Availability management 5
Bid/proposal management 3
Bid/proposal management 4
Brand management 4
Brand management 5
Brand management 6
Budgeting and forecasting 2
Budgeting and forecasting 3
Budgeting and forecasting 4
Budgeting and forecasting 5
Business administration 1
Business administration 2
Business administration 3
Business administration 4
Business administration 5
Business administration 6
Business intelligence 2
Business intelligence 3
Business intelligence 4
Business intelligence 5
Business process improvement 2
Business process improvement 3
Business process improvement 4
Business process improvement 5
Business process improvement 6
Business process improvement 7
Business situation analysis 2
Business situation analysis 3
Business situation analysis 4
Business situation analysis 5
Business situation analysis 6
Capacity management 2
Capacity management 3
Capacity management 4
Capacity management 5
Capacity management 6
Change control 2
Change control 3
Change control 4
Change control 5
Competency assessment 2
Competency assessment 3
Competency assessment 4
Competency assessment 5
Competency assessment 6
Configuration management 2
Configuration management 3
Configuration management 4
Configuration management 5
Configuration management 6
Consultancy 4
Consultancy 5
Continuity management 2
Continuity management 3
Continuity management 4
Continuity management 5
Continuity management 6
Contract management 2
Contract management 3
Contract management 4
Contract management 5
Contract management 6
Contract management 7
Customer engagement and loyalty 3
Customer engagement and loyalty 4
Customer engagement and loyalty 5
Customer engagement and loyalty 6
Customer experience 2
Customer experience 3
Customer experience 4
Cybercrime investigation 2
Cybercrime investigation 3
Cybercrime investigation 4
Cybercrime investigation 5
Cybercrime investigation 6
Data analytics 2
Data analytics 3
Data analytics 4
Data analytics 5
Data analytics 6
Data analytics 7
Data engineering 2
Data engineering 3
Data engineering 4
Data engineering 5
Data engineering 6
Data management 2
Data management 3
Data management 4
Data management 5
Data management 6
Data modelling and design 2
Data modelling and design 3
Data modelling and design 4
Data modelling and design 5
Data science 2
Data science 3
Data science 4
Data science 5
Data science 6
Data visualisation 2
Data visualisation 3
Data visualisation 4
Data visualisation 5
Database administration 2
Database administration 3
Database administration 4
Database administration 5
Database design 2
Database design 3
Database design 4
Database design 5
Delivery management 3
Delivery management 4
Delivery management 5
Demand management 4
Demand management 5
Demand management 6
Deployment 2
Deployment 3
Digital forensics 2
Digital forensics 3
Digital forensics 4
Digital marketing 2
Digital marketing 3
Employee experience 4
Employee experience 5
Enterprise and business architecture 5
Enterprise and business architecture 6
Enterprise and business architecture 7
Facilities management 2
Facilities management 3
Feasibility assessment 2
Feasibility assessment 3
Feasibility assessment 4
Feasibility assessment 5
Financial analysis 2
Financial analysis 3
Financial analysis 4
Financial analysis 5
Financial analysis 6
Formal research 2
Formal research 3
Functional testing 1
Functional testing 2
Functional testing 3
Functional testing 4
Governance 6
Governance 7
Graphic design 1
Graphic design 2
Graphic design 3
Graphic design 4
Graphic design 5
Hardware design 2
Hardware design 3
Hardware design 4
Hardware design 5
Hardware design 6
Identity and access management 1
Incident management 1
Incident management 2
Incident management 3
Incident management 4
Incident management 5
Incident management 6
Information and data compliance 4
Information assurance 2
Information assurance 3
Information assurance 4
Information assurance 5
Information assurance 6
Information assurance 7
Information management 3
Information management 4
Information management 5
Information management 6
Information management 7
Information security 2
Information security 3
Information security 4
Information security 5
Information security 6
Information security 7
Infrastructure design 2
Infrastructure design 3
Infrastructure design 4
Infrastructure design 5
Infrastructure operations 1
Infrastructure operations 2
Infrastructure operations 3
Infrastructure operations 4
Infrastructure operations 5
Innovation management 5
Innovation management 6
Innovation management 7
Investment appraisal 4
Knowledge management 2
Knowledge management 3
Knowledge management 4
Knowledge management 5
Knowledge management 6
Knowledge management 7
Learning and development management 2
Learning and development management 3
Machine learning 2
Machine learning 3
Machine learning 4
Machine learning 5
Machine learning 6
Market research 3
Market research 4
Market research 5
Market research 6
Marketing campaign management 3
Marketing management 4
Marketing management 5
Marketing management 6
Marketing management 7
Measurement 2
Measurement 3
Methods and tools 2
Methods and tools 3
Methods and tools 4
Methods and tools 5
Methods and tools 6
Offensive cyber operations 2
Offensive cyber operations 3
Offensive cyber operations 4
Offensive cyber operations 5
Offensive cyber operations 6
Organisation design and implementation 3
Organisation design and implementation 4
Organisation design and implementation 5
Organisational capability development 5
Organisational capability development 6
Organisational change enablement 4
Organisational change management 2
Organisational change management 3
Organisational change management 4
Organisational change management 5
Organisational change management 6
Organisational facilitation 4
Organisational facilitation 5
Organisational facilitation 6
Penetration testing 2
Penetration testing 3
Penetration testing 4
Penetration testing 5
Penetration testing 6
Portfolio management 5
Portfolio management 6
Portfolio management 7
"Portfolio, programme and project support 2"
"Portfolio, programme and project support 3"
"Portfolio, programme and project support 4"
Problem management 2
Problem management 3
Problem management 4
Process testing 1
Process testing 2
Process testing 3
Process testing 4
Process testing 5
Process testing 6
Product management 2
Product management 3
Product management 4
Product management 5
Product management 6
Professional development 4
Professional development 5
Professional development 6
Programme management 6
Programme management 7
Project management 4
Project management 5
Project management 6
Project management 7
Quality assurance 2
Quality assurance 3
Quality assurance 4
Quality assurance 5
Quality assurance 6
Quality management 2
Quality management 3
Quality management 4
Quality management 5
Quality management 6
Radio frequency engineering 2
Radio frequency engineering 3
Radio frequency engineering 4
Radio frequency engineering 5
Radio frequency engineering 6
Real-time/embedded systems development 2
Real-time/embedded systems development 3
Real-time/embedded systems development 4
Real-time/embedded systems development 5
Real-time/embedded systems development 6
Records management 1
Records management 2
Release management 2
Release management 3
Release management 4
Release management 5
Requirements definition and management 2
Requirements definition and management 3
Resourcing 2
Resourcing 3
Resourcing 4
Resourcing 5
Resourcing 6
Risk management 2
Risk management 3
Risk management 4
Risk management 5
Risk management 6
Risk management 7
Safety engineering 2
Safety engineering 3
Safety engineering 4
Safety engineering 5
Safety engineering 6
Sales support 1
Sales support 2
Sales support 3
Sales support 4
