expanded_skills
Artificial intelligence (AI) and data ethics 3
Business situation analysis 2
Business situation analysis 3
Data management 2
Employee experience 4
Information assurance 2
Information assurance 3
Information assurance 4
Information assurance 5
Information assurance 6
Information assurance 7
Information systems coordination 6
Infrastructure operations 1
Service level management 2
Systems design 2
User experience analysis 2
User experience analysis 3
User experience analysis 4
User experience analysis 5
User experience design 2
Vulnerability assessment 2
Vulnerability assessment 3
Vulnerability assessment 4
