matched_skills
Artificial intelligence (AI) and data ethics 3
Audit 7
Budgeting and forecasting 4
Business administration 5
Continuity management 4
Data analytics 7
Data science 2
Data science 3
Data science 4
Data science 5
Employee experience 4
Employee experience 5
Innovation management 5
Innovation management 6
Knowledge management 4
Learning and development management 3
Organisational capability development 6
"Portfolio, programme and project support 3"
Programme management 6
Project management 4
Radio frequency engineering 3
Radio frequency engineering 4
Service acceptance 4
Strategic planning 4
Strategic planning 7
Supplier management 2
