matched_skills
Business intelligence 4
Continuity management 4
Data engineering 3
Data engineering 4
Data engineering 6
Data management 2
Data management 4
Data management 5
Data management 6
Data modelling and design 5
Data science 3
Data science 4
Data science 5
Database design 4
Database design 5
Enterprise and business architecture 5
Facilities management 5
Identity and access management 5
Information assurance 7
Information security 3
Information security 4
Information security 5
Information systems coordination 7
Infrastructure operations 3
Network support 4
"Portfolio, programme and project support 4"
Programming/software development 4
Quality management 7
Radio frequency engineering 5
Release management 2
Software design 2
Software design 3
Software design 5
Software design 6
Strategic planning 7
System software administration 2
Systems and software lifecycle engineering 3
Systems and software lifecycle engineering 6
Systems design 2
Systems design 6
Systems development management 7
Systems integration and build 3
Systems integration and build 4
