job_source,keyword,job_title,company,job_description,job_id,job_description_cleaned
Jobstreet,Information Systems,Data Science Analyst/ Information Systems/ Business Intelligence/ Supply Chain,PT GREENLY LIFESTYLE INDONESIA,"Collect, clean, and analyze data from various sources.
Build and maintain reports and dashboards to track business performance.
Perform data validation and integrity checks across systems.
Translate business questions into analytical problems and provide actionable insights.
Collaborate with cross-functional teams to understand data requirements and deliver solutions.
Support data-driven decision-making processes across departments.
Advanced skills in Excel and Google Sheets, including formulas such as INDEX, MATCH, IMPORTRANGE, and QUERY.
Intermediate proficiency in Python, especially in data analysis libraries like Pandas, NumPy, Matplotlib, and Seaborn.
Basic SQL query skills for working with relational databases.
Strong logical and critical thinking skills with the ability to solve complex problems efficiently.
Attention to detail and a proactive attitude toward data quality and accuracy.
Preferred Qualifications (Nice to Have):
Experience with BI tools (e.g., Google Data Studio, Power BI, Looker).
Understanding of statistical analysis or forecasting methods.
Exposure to cloud-based platforms like Google Cloud Platform or AWS.",0,collect clean analyze data various sources build maintain reports dashboards track business performance perform data validation integrity checks across systems translate business questions analytical problems provide actionable insights collaborate crossfunctional teams understand data requirements deliver solutions support datadriven decisionmaking processes across departments advanced skills excel google sheets including formulas index match importrange query intermediate proficiency python especially data analysis libraries like pandas numpy matplotlib seaborn basic sql query skills working relational databases strong logical critical thinking skills ability solve complex problems efficiently attention detail proactive attitude toward data quality accuracy preferred qualifications nice experience bi tools eg google data studio power bi looker understanding statistical analysis forecasting methods exposure cloudbased platforms like google cloud platform aws
Jobstreet,Information Systems,Supervisor IT,PT Cosmax Indonesia,"Align IT security policies, procedures and standards and ensure organizational compliance.
Actively manage vendor/ outsource systems that contain critical information
Work with Regional teams to support and measure the performance global applications like iERP, Salesforce, etc
Assist in the definition of project scope and objectives, involving all relevant stakeholders and ensuring technical feasibility in manufacture industry.
Overseeing the development of the project and ensuring that team members are carrying out their tasks efficiently while upholding the company's standards
Formulating, managing also evaluating the operations of information systems (software and applications) and the supports (hardware, software)
Routine conduct weekly and monthly report Manager IT in Indonesia and South Korea",1,align security policies procedures standards ensure organizational compliance actively manage vendor outsource systems contain critical information work regional teams support measure performance global applications like ierp salesforce etc assist definition project scope objectives involving relevant stakeholders ensuring technical feasibility manufacture industry overseeing development project ensuring team members carrying tasks efficiently upholding companys standards formulating managing also evaluating operations information systems software applications supports hardware software routine conduct weekly monthly report manager indonesia south korea
Jobstreet,Information Systems,IT Staff,PT Aplus Pacific,"Diploma (D3) or Bachelor's Degree (S1) in IT or Information Systems
Experienced with CodeIgniter 3/4, either through campus projects or freelance work
Possess basic knowledge of PHP, MySQL, HTML, CSS, and JavaScript
Experienced with jQuery, AJAX, and Bootstrap (optional, considered an added value)
Understand the MVC (Model-View-Controller) concept and able to implement it in projects
Have a web project portfolio (available on GitHub, online demo, or other platforms)
Familiar with deploying websites to shared hosting or VPS environments
Have basic knowledge of web security (e.g., protection against SQL Injection, XSS, etc.)
Develop and maintain PHP-based web applications using the CodeIgniter framework.
Create and manage REST APIs to support application integration needs.
Perform debugging, testing, and application optimization to ensure optimal performance.
Write clean, well-documented, and maintainable code.
Collaborate with other developers throughout the Software Development Life Cycle (SDLC).",2,diploma bachelors degree information systems experienced codeigniter either campus projects freelance work possess basic knowledge php mysql html css javascript experienced jquery ajax bootstrap optional considered added value understand mvc modelviewcontroller concept able implement projects web project portfolio available github online demo platforms familiar deploying websites shared hosting vps environments basic knowledge web security eg protection sql injection xss etc develop maintain phpbased web applications using codeigniter framework create manage rest apis support application integration needs perform debugging testing application optimization ensure optimal performance write clean welldocumented maintainable code collaborate developers throughout software development life cycle sdlc
Jobstreet,Information Systems,Technical Support & DevOps - ID,Hongkong Xiqi International,"Job Responsibilities:
1. Conduct technical analysis and resolve overseas customer complaints to achieve a closed-loop solution.
2. Ensure the daily stability and security of overseas operations, promptly respond to alerts, and coordinate with domestic technical teams to resolve issues and close the loop.
3. Participate in the construction of overseas operation and maintenance technology platforms based on the technical planning of the domestic team.
Job Requirements:
1. Bachelor's degree or higher, proficient in one of the development languages such as Java or Python, with basic problem analysis skills and the ability to develop fundamental technical tools and platforms.
2. Proficient in technical tools such as Linux, Shell, Kubernetes, TCP/HTTP, etc., with the capability to perform daily operations including production environment upgrades, maintenance, performance optimization, and troubleshooting.
3. Familiar with common storage middleware like MySQL, Redis, and MongoDB, possessing basic data query and analysis skills.
4. Understanding of application operation and maintenance technologies and systems, with a grasp of operational concepts such as SRE/DevOps and cloud-native, and some capability in system construction.
5. Experience in research and development within the mobile application industry.
6. Proactive, responsible, with strong communication and coordination skills, and a good team spirit.
7. Good communication skill in Chinese/Mandarin is highly preferred.",3,job responsibilities conduct technical analysis resolve overseas customer complaints achieve closedloop solution ensure daily stability security overseas operations promptly respond alerts coordinate domestic technical teams resolve issues close loop participate construction overseas operation maintenance technology platforms based technical planning domestic team job requirements bachelors degree higher proficient one development languages java python basic problem analysis skills ability develop fundamental technical tools platforms proficient technical tools linux shell kubernetes tcphttp etc capability perform daily operations including production environment upgrades maintenance performance optimization troubleshooting familiar common storage middleware like mysql redis mongodb possessing basic data query analysis skills understanding application operation maintenance technologies systems grasp operational concepts sredevops cloudnative capability system construction experience research development within mobile application industry proactive responsible strong communication coordination skills good team spirit good communication skill chinesemandarin highly preferred
Jobstreet,Information Systems,Fresh Graduate Functional Consultant,PT Amber Solusi Internasional,"Actively involved in business requirement analysis/user stories
Meet with business users throughout the organization to understand their business objectives, technical challenges and data needs, and prepare functional design document
Leading review sessions with business users to review functional design
Develop and maintain system level artifacts, such as flow diagrams, process diagram, and current and proposed state diagrams
Intensive discussion with development team to ensure the development as per functional design
Doing application testing and SIT
Leading User Acceptance Testing
Leading End User Training
Write and maintain related project documentation
Manage postproduction support activities
Detail person and strong logic
Willingness to take ownership of highly challenging tasks and problems
Thorough and analytical problem-solving skills
Effective communication and interpersonal skills
Have sense of leadership
Bachelor's degree in Information Systems, Computer Science, or related major with GPA > 3.00
Fresh Graduates are welcome to apply
Having internship experience as Business Analyst, System Analyst, or Functional Consultant is a plus
Having knowledge in software development methodology
Dynamic and result oriented team player
Have decent English",4,actively involved business requirement analysisuser stories meet business users throughout organization understand business objectives technical challenges data needs prepare functional design document leading review sessions business users review functional design develop maintain system level artifacts flow diagrams process diagram current proposed state diagrams intensive discussion development team ensure development per functional design application testing sit leading user acceptance testing leading end user training write maintain related project documentation manage postproduction support activities detail person strong logic willingness take ownership highly challenging tasks problems thorough analytical problemsolving skills effective communication interpersonal skills sense leadership bachelors degree information systems computer science related major gpa fresh graduates welcome apply internship experience business analyst system analyst functional consultant plus knowledge software development methodology dynamic result oriented team player decent english
Jobstreet,Information Systems,IS (Information System) Manager,PT Toray Industries Indonesia,"Developing and implementing IT strategies, planning for budget and infrastructure needs.
Managing IT projects, from planning to execution, ensuring they are completed on time and within budget.
Collaborate with other departments and stakeholders to understand business needs and propose IT solutions.
Leading and motivating IT team members, providing guidance and support, and ensuring effective performance.
Managing and maintaining the company's IT infrastructure, including servers, networks, security and communication systems.
Implementing and maintaining security measures, ensuring compliance with IT regulations and industry standards.
A degree in Information Technology, Computer Science, or a related field.
Strong project management, analytical thinking and problem-solving skills with the ability to analyze business needs and propose IT solutions.
Excellent leadership, communication (verbal/written) and interpersonal skills for cross-team collaboration.
Have knowledge or experience in implementing and maintaining system application (sales, production and accounting business knowledge are a plus). Preferably proficient in using Microsoft .NET, Microsoft SQL Server and Oracle.
Have knowledge or experience in managing and maintaining the company's IT infrastructure, including servers, networks, security and communication systems.",5,developing implementing strategies planning budget infrastructure needs managing projects planning execution ensuring completed time within budget collaborate departments stakeholders understand business needs propose solutions leading motivating team members providing guidance support ensuring effective performance managing maintaining companys infrastructure including servers networks security communication systems implementing maintaining security measures ensuring compliance regulations industry standards degree information technology computer science related field strong project management analytical thinking problemsolving skills ability analyze business needs propose solutions excellent leadership communication verbalwritten interpersonal skills crossteam collaboration knowledge experience implementing maintaining system application sales production accounting business knowledge plus preferably proficient using microsoft net microsoft sql server oracle knowledge experience managing maintaining companys infrastructure including servers networks security communication systems
Jobstreet,Information Systems,OCC Monitoring,PT Kinarya Alihdaya Mandiri,"Minimum education D3/S1 Department of Informatics Engineering, Electrical Engineering, Telecommunications Engineering, Information Systems
Familiar and have experience in the administration of Linux and Kubernetes server server
Experience with script and automation tools
Experience with cloud service.
Experience in monitoring tools (Grafana, ELK, Datadog, and Prometheus.
Willing to work with a changing pattern
Good interpersonal skills and communication to interact effectively at all levels.
Understanding the SQL database is prioritized
Have a monitoring experience
Monitoring and troubleshoot applications, issues, maintain and update
Manage Monitoring System
Install and configure tools
Monitoring Performance & Troubleshoot Issue
Analyze the incident / system",6,minimum education ds department informatics engineering electrical engineering telecommunications engineering information systems familiar experience administration linux kubernetes server server experience script automation tools experience cloud service experience monitoring tools grafana elk datadog prometheus willing work changing pattern good interpersonal skills communication interact effectively levels understanding sql database prioritized monitoring experience monitoring troubleshoot applications issues maintain update manage monitoring system install configure tools monitoring performance troubleshoot issue analyze incident system
Jobstreet,Information Systems,IT Infrastructure Project Manager,PT Netmarks Indonesia,"We are looking for an IT Project Manager to join our Technical Team. You will be responsible for managing, coordinating, and completing the project on time within scope. You will also be responsible for setting deadlines, assigning responsibilities, and monitoring and summarizing the progress of the project. And prepare reports for the Technical Manager regarding the status of the project.
 Responsibilities:
1. Directs and manages end to end process of the project and the team
2. Facilitates communication between the project team and project owner daily
3. Scheduling project milestones, management, and delegation of the project task
4. Monitors project progress by tracking activity
5. Ensures project issues are identified, tracked, reported and resolved
6. Compile periodic project reports to be given to the project owner
7. Create and maintain comprehensive project documentation (functional requirements documents, business requirement documents, use case documents, and minutes of meeting documents)
 Specific Requirements:
1. Bachelor's degree in Informatics Engineering, Computer Science, or similar studies.
2. Fresh Graduates are welcome with a GPA minimum of 3.00 from a reputable university
3. Experience as a Project Manager in IT Projects is preferable.
4. Be meticulous and have attention to detail in performing the work.
5. Good communication and presentation skills
6. Good leadership skill
7. Strong analytical thinking, negotiation, and problem-solving skills
8. Have excellent interpersonal skills
9. Have excellent written and verbal communication skills (in English and Bahasa Indonesia)
10. Solid organizational skills including attention to detail and multitasking skills
 Additional factors We Appreciate:
1. Able to work fast and under pressure
2. Certification of Project Management Professional (PMP) is an advantage
3. Willing to work overtime and on tight deadlines",7,looking project manager join technical team responsible managing coordinating completing project time within scope also responsible setting deadlines assigning responsibilities monitoring summarizing progress project prepare reports technical manager regarding status project responsibilities directs manages end end process project team facilitates communication project team project owner daily scheduling project milestones management delegation project task monitors project progress tracking activity ensures project issues identified tracked reported resolved compile periodic project reports given project owner create maintain comprehensive project documentation functional requirements documents business requirement documents use case documents minutes meeting documents specific requirements bachelors degree informatics engineering computer science similar studies fresh graduates welcome gpa minimum reputable university experience project manager projects preferable meticulous attention detail performing work good communication presentation skills good leadership skill strong analytical thinking negotiation problemsolving skills excellent interpersonal skills excellent written verbal communication skills english bahasa indonesia solid organizational skills including attention detail multitasking skills additional factors appreciate able work fast pressure certification project management professional pmp advantage willing work overtime tight deadlines
Jobstreet,Information Systems,System Administrator Engineer,PT Sinergi Wahana Gemilang,"S1 graduates from IT majors or Computer Science.
Having experience in the field of system administrator, network administrator, or other relevant positions.
Understand operating systems such as Windows, Linux, or MacOS
Understanding the language programming especially for scripting or automation is an additional value
Understanding Network Security, Intrusion Detection Systems, and Other Security Technology
Understand network protocols, topologies, and other security concepts
Experience for cloud platforms such as Microsoft Azure or AWS is an additional value",8,graduates majors computer science experience field system administrator network administrator relevant positions understand operating systems windows linux macos understanding language programming especially scripting automation additional value understanding network security intrusion detection systems security technology understand network protocols topologies security concepts experience cloud platforms microsoft azure aws additional value
Jobstreet,Information Systems,Product Manager - Enterprise Datacom & Network Infrastructure,PT Talenta Eksekutif Asia (Matcha Talent),"Lead technical engagement with enterprise clients, analyzing needs and designing tailored Datacom and IP networking solutions.
Collaborate with sales and solution teams to convert leads into opportunities, from proposal to closure.
Promote enterprise Datacom offerings (WLAN, switches, routers) across sectors including government, FSI, transportation, and more.
Execute branding and pricing strategies based on competitor insights and market positioning.
Guide technical solution development across project lifecycle: requirement mapping, design, bid support, and delivery handover.
Define mid- to long-term business goals, resource planning, and market entry strategies.
Monitor project performance and ensure post-sales success and customer satisfaction.
Bachelor’s degree in Computer Science, Telecommunication Engineering, or a related field.
Minimum of 6 years in the ICT/telecommunications industry, with a focus on enterprise solution presales and account management.
Demonstrated experience in technical project operations, proposal creation, and managing end-to-end client engagements.
Proficient in Datacom technologies: WLAN (Wi-Fi), campus/data center switches, access/edge/core routers.
Strong understanding of networking protocols such as IGP, BGP, SR, MPLS, SRv6, L2VPN, L3VPN.
Familiarity with enterprise and carrier-grade network architectures.
Excellent communication, relationship-building, and cross-functional collaboration skills.
Strategic thinking with high adaptability in fast-paced, competitive environments.
Capable of handling complex sales cycles and building long-term client trust.
Join a world-renowned ICT innovator with market-leading enterprise solutions.
Work on impactful digital transformation projects across Indonesia’s top sectors.
Advance your career in a high-performance, globally connected environment.",9,lead technical engagement enterprise clients analyzing needs designing tailored datacom ip networking solutions collaborate sales solution teams convert leads opportunities proposal closure promote enterprise datacom offerings wlan switches routers across sectors including government fsi transportation execute branding pricing strategies based competitor insights market positioning guide technical solution development across project lifecycle requirement mapping design bid support delivery handover define mid longterm business goals resource planning market entry strategies monitor project performance ensure postsales success customer satisfaction bachelors degree computer science telecommunication engineering related field minimum years icttelecommunications industry focus enterprise solution presales account management demonstrated experience technical project operations proposal creation managing endtoend client engagements proficient datacom technologies wlan wifi campusdata center switches accessedgecore routers strong understanding networking protocols igp bgp sr mpls srv lvpn lvpn familiarity enterprise carriergrade network architectures excellent communication relationshipbuilding crossfunctional collaboration skills strategic thinking high adaptability fastpaced competitive environments capable handling complex sales cycles building longterm client trust join worldrenowned ict innovator marketleading enterprise solutions work impactful digital transformation projects across indonesias top sectors advance career highperformance globally connected environment
