Skill,Level,SFIA_Skill_Level,Level_Description,Level_Description_cleaned,skills_skillner,skills_skillner_qe,skills_ner_bert,skills_skillner_keybert,skills_ner_bert_keybert,skills_skillner_qe_keybert,skills_skillner_rake,skills_skillner_yake,skills_ner_bert_rake,skills_ner_bert_yake,skills_skillner_count,skills_skillner_qe_count,skills_ner_bert_count,skills_skillner_keybert_count,skills_ner_bert_keybert_count,skills_skillner_qe_keybert_count,skills_skillner_rake_count,skills_skillner_yake_count,skills_ner_bert_rake_count,skills_ner_bert_yake_count
Strategic planning,4,Strategic planning 4,"Contributes to the collection and analysis of information to support strategy development. _x000D_
Assists in the preparation of reports and insights for strategic planning._x000D_
Supports the communication of strategic plans and related change initiatives to relevant stakeholders. _x000D_
Helps monitor progress against strategic objectives and provides feedback.",contributes collection analysis information support strategy development _xd_ assists preparation reports insights strategic planning_xd_ supports communication strategic plans related change initiatives relevant stakeholders _xd_ helps monitor progress strategic objectives provides feedback,"['communication strategic', 'strategic plans', 'monitor progress', 'preparation reports', 'xd', 'collection']","['communication strategic', 'accumulation', 'strategic plans', 'monitor progress', 'aggregation', 'preparation reports', 'xd', 'collecting', 'solicitation', 'appeal', 'assemblage', 'assembling', 'collection', 'compendium', 'ingathering']","['communication', 'analysis']","['strategic plans monitor', 'communication strategic strategic', 'preparation reports xd', 'monitor progress preparation', 'communication']","['communication analysis', 'communication', 'analysis']","['collection compendium ingathering', 'aggregation preparation reports', 'communication strategic', 'plans monitor progress', 'solicitation appeal assemblage']",['communication strategic strategic plans monitor progress preparation reports xd collection'],"['plans monitor progress', 'monitor progress preparation', 'progress preparation reports', 'communication strategic strategic', 'strategic plans monitor', 'strategic strategic plans', 'reports xd collection', 'communication strategic', 'plans monitor', 'monitor progress', 'progress preparation', 'preparation reports', 'strategic plans', 'strategic strategic', 'communication']",['communication analysis'],"['communication analysis', 'communication', 'analysis']",6,15,2,5,3,5,1,15,1,3
Strategic planning,5,Strategic planning 5,"Collates information and creates reports and insights to support strategy management processes._x000D_
Ensures all stakeholders are aware of the strategic management approach and timetables. Provides support and guidance to help stakeholders adhere to the approach._x000D_
Develops and communicates plans to drive forward the strategy and related change planning._x000D_
Contributes to the development of policies, standards and guidelines for strategy development and planning.",collates information creates reports insights support strategy management processes_xd_ ensures stakeholders aware strategic management approach timetables provides support guidance help stakeholders adhere approach_xd_ develops communicates plans drive forward strategy related change planning_xd_ contributes development policies standards guidelines strategy development planning,"['development planning', 'communicates plans', 'development policies', 'develops communicates', 'strategic management', 'management']","['direction', 'development planning', 'communicates plans', 'development policies', 'develops communicates', 'strategic management', 'management']",[],"['development planning communicates', 'develops communicates strategic', 'policies develops', 'strategic management management', 'plans']",[],"['direction development planning', 'development planning communicates', 'communicates plans development', 'communicates strategic management', 'development policies develops']",['development planning communicates plans development policies develops communicates strategic management management'],"['planning communicates plans', 'plans development policies', 'development policies develops', 'develops communicates strategic', 'policies develops communicates', 'development planning communicates', 'communicates plans development', 'communicates strategic management', 'strategic management management', 'policies develops', 'development planning', 'planning communicates', 'communicates plans', 'plans development', 'development policies']",[],[],6,7,0,5,0,5,1,15,0,0
Strategic planning,6,Strategic planning 6,"Sets policies, standards and guidelines for how the organisation conducts strategy development and planning._x000D_
Leads and manages the creation or review of a strategy that meets the requirements of the business. _x000D_
Develops, communicates, implements and reviews the processes which embed strategic management in the operational management of the organisation.",sets policies standards guidelines organisation conducts strategy development planning_xd_ leads manages creation review strategy meets requirements business _xd_ develops communicates implements reviews processes embed strategic management operational management organisation,"['requirements business', 'xd', 'leads manages', 'operational management', 'develops communicates', 'strategic management']","['requirements business', 'xd', 'leads manages', 'operational management', 'develops communicates', 'strategic management']",['strategic management'],"['leads manages operational', 'requirements business xd', 'business xd leads', 'operational management develops', 'communicates strategic management']","['strategic management', 'strategic', 'management']","['leads manages operational', 'requirements business xd', 'business xd leads', 'operational management develops', 'communicates strategic management']",['requirements business xd leads manages operational management develops communicates strategic management'],"['leads manages operational', 'develops communicates strategic', 'manages operational management', 'operational management develops', 'management develops communicates', 'communicates strategic management', 'requirements business', 'business xd leads', 'leads manages', 'manages operational', 'develops communicates', 'communicates strategic', 'operational management', 'management develops', 'strategic management']",['strategic management'],"['strategic management', 'strategic', 'management']",6,6,1,5,3,5,1,15,1,3
Strategic planning,7,Strategic planning 7,"Leads the definition, implementation and communication of the organisation’s strategic management framework. _x000D_
Directs the creation and review of a strategy and plans to support the strategic requirements of the business.",leads definition implementation communication organisations strategic management framework _xd_ directs creation review strategy plans support strategic requirements business,"['support business', 'requirements business', 'communication', 'plans', 'xd', 'strategic management']","['architectural plan', 'program', 'plan', 'support business', 'requirements business', 'communicating', 'xd', 'communication', 'plans', 'programme', 'design', 'be after', 'contrive', 'project', 'strategic management']",['communication'],"['requirements business communication', 'business communication plans', 'communication plans xd', 'xd strategic management', 'support business']",['communication'],"['architectural plan program', 'communication plans programme', 'business communicating xd', 'contrive project strategic', 'support business requirements']",['support business requirements business communication plans xd strategic management'],"['support business requirements', 'requirements business communication', 'business communication plans', 'business requirements business', 'strategic management', 'support business', 'communication plans', 'plans xd strategic', 'business requirements', 'requirements business', 'business communication', 'support', 'management', 'business', 'requirements']",['communication'],['communication'],6,15,1,5,1,5,1,15,1,1
Information systems coordination,6,Information systems coordination 6,"Maintains awareness of the global needs of the organisation. _x000D_
Promotes the benefits that a common approach to technology deployment will bring to the entire organisation._x000D_
Coordinates and collaborates with others on the promotion, acquisition, development and implementation of information systems and services.",maintains awareness global needs organisation _xd_ promotes benefits common approach technology deployment bring entire organisation_xd_ coordinates collaborates others promotion acquisition development implementation information systems services,"['coordinates', 'maintains', 'information system', 'xd', 'collaborates']","['coordinates', 'maintains', 'observe', 'maintain', 'information system', 'coordinate', 'collaborate', 'xd', 'asseverate', 'exert', 'co-ordinate', 'assert', 'wield', 'preserve', 'hold', 'conserve', 'uphold', 'cooperate', 'organise', 'keep up', 'keep', 'sustain', 'join forces', 'ordinate', 'get together', 'align', 'collaborates', 'organize', 'defend']",[],"['coordinates maintains information', 'information xd collaborates', 'xd collaborates', 'maintains information xd', 'coordinates']",[],"['coordinate collaborate', 'observe maintain information', 'organize defend', 'ordinate assert', 'wield preserve hold']",['coordinates maintains information system xd collaborates'],"['coordinates maintains information', 'maintains information system', 'coordinates maintains', 'system xd collaborates', 'maintains information', 'information system', 'coordinates', 'collaborates', 'maintains', 'information', 'system']",[],[],5,29,0,5,0,5,1,11,0,0
Information systems coordination,7,Information systems coordination 7,"Establishes the organisation's strategy for managing information and communicates the policies, standards, procedures and methods necessary to implement the strategy. _x000D_
Coordinates all aspects of management of the lifecycle of information systems. _x000D_
Represents the interests of the entire organisation to general management and external bodies on matters relating to information strategy.",establishes organisations strategy managing information communicates policies standards procedures methods necessary implement strategy _xd_ coordinates aspects management lifecycle information systems _xd_ represents interests entire organisation general management external bodies matters relating information strategy,"['coordinates', 'management lifecycle', 'information system', 'communicates', 'xd', 'standards procedures', 'managing information', 'management']","['coordinates', 'put across', 'information system', 'coordinate', 'intercommunicate', 'xd', 'commune', 'co-ordinate', 'convey', 'standards procedures', 'managing information', 'communicate', 'management', 'direction', 'organise', 'management lifecycle', 'communicates', 'pass on', 'pass', 'ordinate', 'pass along', 'transmit', 'align', 'organize']",[],"['coordinates management lifecycle', 'communicates xd standards', 'information management', 'standards procedures managing', 'lifecycle information communicates']",[],"['information coordinate intercommunicate', 'information communicate management', 'xd commune ordinate', 'organise management lifecycle', 'convey standards procedures']",['coordinates management lifecycle information system communicates xd standards procedures managing information management'],"['coordinates management lifecycle', 'standards procedures managing', 'procedures managing information', 'lifecycle information system', 'information system communicates', 'management lifecycle information', 'managing information management', 'coordinates management', 'system communicates', 'communicates xd standards', 'standards procedures', 'procedures managing', 'management lifecycle', 'lifecycle information', 'information system']",[],[],8,24,0,5,0,5,1,15,0,0
Information management,3,Information management 3,"Supports teams and individuals to identify and organise information assets and repositories in line with policy and practices._x000D_
Conducts routine searches for non-sensitive information needed to support organisational decision making._x000D_
Supports users to find and access information resources based on their requirements and approved access.",supports teams individuals identify organise information assets repositories line policy practices_xd_ conducts routine searches nonsensitive information needed support organisational decision making_xd_ supports users find access information resources based requirements approved access,"['access', 'decision', 'information based']","['memory access', 'admittance', 'access code', 'entree', 'approach', 'admission', 'decision', 'decisiveness', 'accession', 'get at', 'conclusion', 'access', 'information based', 'determination']",[],"['access decision information', 'decision information based', 'access decision', 'information', 'based']",[],"['admittance access code', 'accession conclusion access', 'entree approach admission', 'memory access', 'information based determination']",['access decision information based'],"['access decision information', 'decision information based', 'access decision', 'information based', 'decision information', 'access', 'based', 'decision', 'information']",[],[],3,14,0,5,0,5,1,9,0,0
Information management,4,Information management 4,"Enables the organisation to organise, control and discover information assets._x000D_
Supports the organisation to identify, catalogue and categorise information types and information repositories in line with information management strategies and practices._x000D_
Enables users to find information through appropriate use of metadata and search tools._x000D_
Provides advice and guidance to enable good information management practices to be adopted across the organisation.",enables organisation organise control discover information assets_xd_ supports organisation identify catalogue categorise information types information repositories line information management strategies practices_xd_ enables users find information appropriate use metadata search tools_xd_ provides advice guidance enable good information management practices adopted across organisation,"['information information', 'metadata', 'catalogue', 'adopted', 'information management', 'control']","['restraint', 'borrow', 'dramatise', 'manipulate', 'curb', 'take on', 'controller', 'adopted', 'adopt', 'espouse', 'take up', 'keep in line', 'master', 'command', 'catalog', 'follow', 'operate', 'contain', 'information information', 'ascendance', 'see', 'metadata', 'dominance', 'ascertain', 'control', 'ascendancy', 'take', 'sweep up', 'moderate', 'dramatize', 'insure', 'mastery', 'see to it', 'ensure', 'information management', 'hold', 'check', 'ascendency', 'acquire', 'hold in', 'control condition', 'verify', 'ascendence', 'adoptive', 'take in', 'embrace', 'catalogue', 'assure', 'assume', 'take over']",['information management'],"['information metadata catalogue', 'information management control', 'catalogue adopted information', 'information information', 'adopted information']","['information management', 'management', 'information']","['acquire hold control', 'command catalog follow', 'curb controller adopted', 'sweep moderate dramatize', 'information information ascendance']",['information information metadata catalogue adopted information management control'],"['metadata catalogue adopted', 'information management control', 'information metadata catalogue', 'adopted information management', 'catalogue adopted information', 'information information metadata', 'management control', 'metadata catalogue', 'catalogue adopted', 'information metadata', 'adopted information', 'information management', 'information information', 'information', 'control']",['information management'],"['information management', 'information', 'management']",6,50,1,5,3,5,1,15,1,3
Information management,5,Information management 5,"Ensures implementation of information and records management policies and standard practice.  Communicates the benefits and value of information management. _x000D_
Plans effective information storage, sharing and publishing within the organisation. Develops organisational taxonomy for information assets. _x000D_
Provides expert advice and guidance to enable the organisation to get maximum value from its information assets. _x000D_
Assesses issues that might prevent the organisation from making maximum use of its information assets. Contributes to the development of policy, standards and procedures for compliance with relevant legislation.",ensures implementation information records management policies standard practice communicates benefits value information management _xd_ plans effective information storage sharing publishing within organisation develops organisational taxonomy information assets _xd_ provides expert advice guidance enable organisation get maximum value information assets _xd_ assesses issues might prevent organisation making maximum use information assets contributes development policy standards procedures compliance relevant legislation,"['development policy', 'xd', 'communicates', 'plans', 'storage', 'taxonomy', 'legislation', 'standard practice', 'information management', 'standards procedures', 'record management']","['put across', 'xd', 'commune', 'programme', 'depot', 'repositing', 'legislating', 'standard practice', 'standards procedures', 'store', 'communicate', 'entrepot', 'storehouse', 'plan', 'pass', 'computer storage', 'transmit', 'legislation', 'contrive', 'architectural plan', 'memory board', 'intercommunicate', 'warehousing', 'storage', 'convey', 'memory', 'design', 'reposition', 'be after', 'information management', 'record management', 'program', 'development policy', 'plans', 'communicates', 'pass on', 'statute law', 'pass along', 'taxonomy', 'lawmaking', 'computer memory', 'project']",[],"['information management standards', 'development policy xd', 'plans storage taxonomy', 'taxonomy legislation', 'procedures record']",[],"['legislation contrive architectural', 'xd commune programme', 'information management record', 'memory design reposition', 'store communicate entrepot']",['development policy xd communicates plans storage taxonomy legislation standard practice information management standards procedures record management'],"['communicates plans storage', 'plans storage taxonomy', 'storage taxonomy legislation', 'taxonomy legislation standard', 'legislation standard practice', 'standard practice information', 'practice information management', 'standards procedures record', 'procedures record management', 'information management standards', 'management standards procedures', 'development policy', 'policy xd communicates', 'communicates plans', 'plans storage']",[],[],11,42,0,5,0,5,1,15,0,0
Information management,6,Information management 6,"Leads and plans activities to communicate and implement information management strategies and policies.  _x000D_
Develops organisational policies, standards and guidelines for information management. _x000D_
Ensures the information required to support the organisation is defined. Creates information management processes.  _x000D_
Coordinates internal and externally sourced information resources to meet specific business objectives.",leads plans activities communicate implement information management strategies policies _xd_ develops organisational policies standards guidelines information management _xd_ ensures information required support organisation defined creates information management processes _xd_ coordinates internal externally sourced information resources meet specific business objectives,"['coordinates', 'organisational policy', 'plans', 'management process', 'xd', 'activities', 'sourced information', 'information management', 'communicate', 'resources']","['put across', 'coordinate', 'xd', 'commune', 'programme', 'resourcefulness', 'action', 'communicate', 'bodily process', 'organise', 'plan', 'imagination', 'pass', 'ordinate', 'transmit', 'resource', 'sourced information', 'contrive', 'architectural plan', 'natural process', 'resources', 'coordinates', 'intercommunicate', 'co-ordinate', 'convey', 'design', 'be after', 'activeness', 'information management', 'activity', 'body process', 'natural action', 'program', 'bodily function', 'organisational policy', 'plans', 'management process', 'pass on', 'pass along', 'activities', 'align', 'project', 'organize']",['information management'],"['information management communicate', 'xd activities sourced', 'coordinates organisational policy', 'plans management process', 'sourced information information']","['information management', 'management', 'information']","['xd commune programme', 'management activity body', 'contrive architectural plan', 'resources coordinates intercommunicate', 'pass ordinate transmit']",['coordinates organisational policy plans management process xd activities sourced information information management communicate resources'],"['coordinates organisational policy', 'management communicate resources', 'organisational policy plans', 'policy plans management', 'plans management process', 'activities sourced information', 'sourced information information', 'information management communicate', 'coordinates organisational', 'communicate resources', 'information information management', 'organisational policy', 'policy plans', 'process xd activities', 'activities sourced']",['information management'],"['information management', 'information', 'management']",10,43,1,5,3,5,1,15,1,3
