Model,Cluster,Expanded,TP,FP,FN,Precision,Recall,F1_score
skills_skillner,IS,False,25,17,405,0.5952380952380952,0.05813953488372093,0.1059322033898305
skills_skillner,IS,True,65,28,365,0.6989247311827957,0.1511627906976744,0.24856596558317398
skills_skillner_keybert,IS,False,6,1,424,0.8571428571428571,0.013953488372093023,0.027459954233409613
skills_skillner_keybert,IS,True,19,2,411,0.9047619047619048,0.044186046511627906,0.08425720620842572
skills_skillner_qe,IS,False,137,61,293,0.6919191919191919,0.3186046511627907,0.4363057324840765
skills_skillner_qe,IS,True,281,88,149,0.7615176151761518,0.6534883720930232,0.7033792240300375
skills_skillner_qe_keybert,IS,False,4,1,426,0.8,0.009302325581395349,0.01839080459770115
skills_skillner_qe_keybert,IS,True,13,1,417,0.9285714285714286,0.030232558139534883,0.058558558558558564
skills_skillner_rake,IS,False,63,45,367,0.5833333333333334,0.14651162790697675,0.23420074349442377
skills_skillner_rake,IS,True,209,81,221,0.7206896551724138,0.48604651162790696,0.5805555555555556
skills_skillner_yake,IS,False,18,4,412,0.8181818181818182,0.04186046511627907,0.07964601769911504
skills_skillner_yake,IS,True,39,5,391,0.8863636363636364,0.09069767441860466,0.16455696202531644
