matched_skills,similarity_score
Database design 5,0.3295597257169958
Continuity management 4,0.2891132920776593
System software administration 2,0.2742192062902727
Systems and software lifecycle engineering 6,0.2668375678433395
Systems design 6,0.25658419218589723
Data management 6,0.2552094281535133
Software design 6,0.2525854181650508
Data engineering 3,0.2519033450443031
Data science 3,0.25019376418468675
Data science 4,0.24767596602557004
Information security 4,0.243905526152748
Data engineering 4,0.23576037149277934
Strategic planning 7,0.2328974811788794
Infrastructure operations 3,0.23121686796293972
Data management 2,0.23087662580397544
Data management 4,0.23003386083611202
Information security 5,0.22761440782061704
Data modelling and design 5,0.22744162836149445
Systems integration and build 3,0.22721167096881456
Business intelligence 4,0.2268180786127956
Data management 5,0.22176250054499633
Systems design 2,0.2216218400914159
Systems development management 7,0.22127337918913018
Software design 3,0.2204872900520455
Identity and access management 5,0.22001036595660997
Information systems coordination 7,0.21887331720464093
Programming/software development 4,0.2176403899989992
Systems and software lifecycle engineering 3,0.2160953289102698
Network support 4,0.2145299680452164
Software design 2,0.21342262857496158
Radio frequency engineering 5,0.2129682746931424
Information security 3,0.21218357545365077
Information assurance 7,0.2118820441127136
Hardware design 5,0.2097490567754967
Data science 5,0.20942393485836697
Database design 4,0.20847922745883224
Software design 5,0.20645425855125574
Systems integration and build 4,0.2057274911325878
Release management 2,0.20472280714215552
Enterprise and business architecture 5,0.20198700052328555
Systems design 5,0.20093598662718778
Facilities management 5,0.2007257958666156
