matched_skills,similarity_score
Consultancy 7,0.38110773515073254
Customer service support 5,0.36567584602233283
Business process improvement 5,0.3580486734177282
Deployment 4,0.35753343084237077
Systems integration and build 5,0.34250939887393017
Programme management 6,0.3392717531296557
Offensive cyber operations 6,0.3389364890035288
Offensive cyber operations 3,0.3378294032677564
Offensive cyber operations 5,0.3377460108295416
Learning and development management 5,0.336481583152645
Network support 3,0.3359513963450707
Information security 4,0.3354261195963493
Machine learning 5,0.33483659959839274
Formal research 5,0.33172388616091764
Deployment 6,0.3283316947931089
Methods and tools 5,0.32770870129438
Business intelligence 5,0.32738185661707236
Records management 3,0.32554800114545185
Solution architecture 6,0.321954429515567
Risk management 6,0.32106976794654385
Data modelling and design 5,0.3124895514315249
Configuration management 5,0.3104911360490637
Benefits management 6,0.30971816033861493
Organisational capability development 6,0.3091218268601717
Security operations 4,0.3076665978275511
Availability management 4,0.30764679073477047
Asset management 5,0.30719508660471534
Offensive cyber operations 4,0.3058614670950303
Incident management 5,0.3052904620641366
Business process improvement 3,0.30465967205394073
Software design 6,0.3033434013796141
Formal research 6,0.30281344699035695
Systems and software lifecycle engineering 6,0.30162346543953744
Identity and access management 2,0.2973379852804919
Content publishing 6,0.2967181808644291
User experience analysis 5,0.29574175264835695
Network support 4,0.2956756534972703
Specialist advice 4,0.2928094218257269
Requirements definition and management 5,0.2916654016358403
"Portfolio, programme and project support 3",0.28998698975349746
Data management 2,0.2893490446135856
Infrastructure operations 4,0.2878521763111451
Project management 7,0.28780803960278
User experience evaluation 5,0.28497683968050275
Service catalogue management 5,0.2832518456622535
Competency assessment 5,0.28271630739655706
Data engineering 2,0.2819342058891202
Change control 5,0.2801646336856535
Product management 5,0.279852570534278
Availability management 3,0.27879243372549456
Delivery management 4,0.27856178525532216
Deployment 3,0.2774336276518625
Technology service management 7,0.27709499974885843
Database administration 4,0.27694690711647735
Knowledge management 3,0.27661387612633104
Demand management 5,0.27403246909470125
Selling 5,0.2737100908159146
Asset management 3,0.2736165734986237
Application support 5,0.27175993015675787
Release management 5,0.2710983570202999
Offensive cyber operations 2,0.27073071633723106
Configuration management 4,0.26986413872531884
Service level management 6,0.26972873769575745
Identity and access management 5,0.269375901989621
Selling 4,0.2688663019244933
Data modelling and design 4,0.26850328176068106
Vulnerability research 5,0.2680808095075272
Enterprise and business architecture 5,0.2680117960411866
Technology service management 6,0.26695169174095573
Financial analysis 5,0.26658099029510124
Content publishing 4,0.26640753144247625
Programming/software development 3,0.2635991582284857
Organisational capability development 5,0.2635545124282259
User acceptance testing 4,0.26351532683957696
Data engineering 4,0.26322814548541756
Business situation analysis 5,0.2624952784416983
Knowledge management 5,0.2617626210289877
Resourcing 3,0.26040224084848657
Data modelling and design 3,0.2601715630255349
Information assurance 3,0.25996380484952053
Methods and tools 3,0.25876628362704196
System software administration 5,0.2586260592935729
Consultancy 6,0.2564855620934202
Audit 7,0.25597843943881804
Specialist advice 5,0.2545939416142534
Penetration testing 6,0.2545528500807715
Continuity management 5,0.25454574264722535
Information systems coordination 6,0.2537522616643576
Availability management 6,0.25271276423722605
Release management 2,0.2524813889821214
Service level management 4,0.252466525472039
Risk management 2,0.2524011804664947
Delivery management 3,0.25187506170948404
"Portfolio, programme and project support 6",0.2515134645948753
Information security 5,0.2505495889534542
Information assurance 2,0.2501556989676663
Business administration 5,0.2496816455158492
Digital forensics 5,0.249341917865506
Customer engagement and loyalty 4,0.24912813332691444
