matched_skills,similarity_score
Requirements definition and management 3,1.0
Penetration testing 2,1.0
Financial analysis 4,1.0
Measurement 2,1.0
Measurement 3,1.0
Quality management 2,1.0
Business modelling 6,1.0
Systems and software lifecycle engineering 3,1.0
Data modelling and design 5,1.0
Infrastructure operations 5,1.0
Network support 5,1.0
Storage management 3,1.0
Facilities management 2,1.0
Service catalogue management 5,1.0
Security operations 5,1.0
Offensive cyber operations 3,1.0
Database administration 3,1.0
Database administration 5,1.0
Learning and development management 3,1.0
Learning design and development 2,1.0
Learning design and development 4,1.0
Certification scheme operation 5,1.0
Database design 4,1.0
Database design 5,1.0
Incident management 4,1.0
Customer engagement and loyalty 5,1.0
Portfolio management 6,1.0
Technology service management 5,1.0
Employee experience 6,1.0
Resourcing 4,1.0
Business administration 4,1.0
Business administration 5,1.0
Innovation management 7,1.0
Budgeting and forecasting 4,1.0
Customer experience 5,1.0
Stakeholder relationship management 6,1.0
Financial analysis 3,1.0
Teaching 5,1.0
Teaching 6,1.0
Teaching 7,1.0
Audit 5,1.0
Portfolio management 7,1.0
Measurement 5,1.0
Functional testing 3,1.0
Process testing 3,1.0
Graphic design 1,1.0
Artificial intelligence (AI) and data ethics 6,1.0
Continuity management 6,1.0
Asset management 6,1.0
Brand management 6,1.0
User acceptance testing 4,1.0
Content publishing 4,1.0
Information systems coordination 7,1.0
Sustainability 5,1.0
Financial management 5,1.0
Measurement 6,1.0
Information assurance 5,1.0
Information assurance 6,1.0
Artificial intelligence (AI) and data ethics 4,1.0
Quality management 4,1.0
Methods and tools 5,1.0
Methods and tools 6,1.0
Feasibility assessment 6,1.0
Systems development management 5,1.0
Network design 6,1.0
Hardware design 6,1.0
Systems integration and build 6,1.0
Functional testing 5,1.0
Real-time/embedded systems development 6,1.0
Animation development 6,1.0
Machine learning 5,1.0
Data engineering 5,1.0
Data engineering 6,1.0
User research 6,1.0
Customer experience 6,1.0
Accessibility and inclusion 6,1.0
Configuration management 5,1.0
Configuration management 6,1.0
Capacity management 6,1.0
Identity and access management 4,1.0
Digital forensics 6,1.0
Cybercrime investigation 6,1.0
Offensive cyber operations 5,1.0
Records management 5,1.0
Resourcing 6,1.0
Competency assessment 6,1.0
Certification scheme operation 6,1.0
Supplier management 6,1.0
Customer service support 6,1.0
Market research 6,1.0
Data visualisation 2,1.0
Service catalogue management 2,1.0
Infrastructure operations 4,1.0
Business situation analysis 4,1.0
Business situation analysis 5,1.0
System software administration 2,1.0
User acceptance testing 5,1.0
Job analysis and design 3,1.0
Job analysis and design 5,1.0
Functional testing 2,1.0
Non-functional testing 5,1.0
Sourcing 4,1.0
User experience analysis 2,1.0
User experience analysis 3,1.0
User experience design 2,1.0
Product management 5,1.0
Network support 3,1.0
Network support 4,1.0
