matched_skills,similarity_score
Data analytics 3,0.12727272727272726
Project management 7,0.12195121951219512
Methods and tools 3,0.11764705882352941
Incident management 1,0.11764705882352941
Competency assessment 4,0.11764705882352941
Business intelligence 2,0.11764705882352941
Data engineering 3,0.11475409836065574
Asset management 3,0.1111111111111111
Risk management 5,0.1111111111111111
Infrastructure operations 4,0.109375
Records management 3,0.10810810810810811
Methods and tools 4,0.10526315789473684
Methods and tools 5,0.10526315789473684
Risk management 7,0.10526315789473684
Infrastructure operations 3,0.10416666666666667
Infrastructure operations 1,0.10344827586206896
Change control 3,0.10344827586206896
Software design 2,0.10344827586206896
Supplier management 2,0.1
Facilities management 4,0.1
Systems and software lifecycle engineering 3,0.1
Resourcing 5,0.1
