Model,Cluster,Expanded,TP,FP,FN,Precision,Recall,F1_score
skills_skillner,IS,False,31,19,399,0.62,0.07209302325581396,0.12916666666666668
skills_skillner,IS,True,58,28,372,0.6744186046511628,0.13488372093023257,0.2248062015503876
skills_skillner_keybert,IS,False,7,2,423,0.7777777777777778,0.01627906976744186,0.03189066059225513
skills_skillner_keybert,IS,True,16,2,414,0.8888888888888888,0.037209302325581395,0.07142857142857142
skills_skillner_qe,IS,False,132,62,298,0.6804123711340206,0.30697674418604654,0.42307692307692313
skills_skillner_qe,IS,True,276,91,154,0.7520435967302452,0.641860465116279,0.6925972396486825
skills_skillner_qe_keybert,IS,False,1,0,429,1.0,0.002325581395348837,0.004640371229698376
skills_skillner_qe_keybert,IS,True,1,0,429,1.0,0.002325581395348837,0.004640371229698376
skills_skillner_rake,IS,False,17,4,413,0.8095238095238095,0.03953488372093023,0.0753880266075388
skills_skillner_rake,IS,True,47,5,383,0.9038461538461539,0.10930232558139535,0.19502074688796683
skills_skillner_yake,IS,False,15,3,415,0.8333333333333334,0.03488372093023256,0.06696428571428571
skills_skillner_yake,IS,True,31,4,399,0.8857142857142857,0.07209302325581396,0.13333333333333336
