expanded_matched_skills
Asset management 2
Asset management 3
Business intelligence 2
Change control 2
Change control 3
Competency assessment 2
Competency assessment 3
Competency assessment 4
Data analytics 2
Data analytics 3
Data engineering 2
Data engineering 3
Incident management 1
Infrastructure operations 1
Infrastructure operations 2
Infrastructure operations 3
Infrastructure operations 4
Methods and tools 2
Methods and tools 3
Methods and tools 4
Methods and tools 5
Project management 4
Project management 5
Project management 6
Project management 7
Records management 1
Records management 2
Records management 3
Risk management 2
Risk management 3
Risk management 4
Risk management 5
Risk management 6
Risk management 7
Software design 2
