matched_skills,similarity_score
Database design 5,0.33074442055955505
System software administration 2,0.2956481557358525
Continuity management 4,0.27434299717791727
Systems design 6,0.27326197720624146
Systems and software lifecycle engineering 6,0.27107528460086494
Data science 4,0.2701658977310692
Data science 3,0.26530713702197745
Information security 4,0.26110741359812134
Data management 6,0.25752378880666543
Data engineering 3,0.25459227168952014
Data management 2,0.254048675420658
Information security 5,0.24577410763307708
Data science 5,0.24395542562451195
Programming/software development 4,0.23954903340995057
Data engineering 4,0.23939989276406923
Software design 6,0.23744118742405734
Infrastructure operations 3,0.23525802572304017
Data management 4,0.23417739505708327
Information security 3,0.23056125199648908
Data science 2,0.22931717159135928
Network support 4,0.22885957165589538
Data management 5,0.22871947515738664
Systems integration and build 3,0.22845529859749894
System software administration 4,0.22834909378105014
System software administration 5,0.22697403424512783
Data modelling and design 5,0.22414518529975339
Systems design 2,0.22270038799316733
Technology service management 5,0.22219982747459252
Software design 3,0.221523131690552
Systems development management 4,0.22126572132174246
Programming/software development 3,0.21943606560252524
Data management 3,0.21868816389160997
Data engineering 5,0.21801433829113376
Systems development management 7,0.2169377594401238
Data engineering 6,0.21604653699476417
Network support 5,0.21581148451315418
Information systems coordination 7,0.2155964147305746
Radio frequency engineering 5,0.21214826105671164
Business intelligence 4,0.2121178046356307
Security operations 3,0.2111273968651506
Systems and software lifecycle engineering 3,0.2106449690241916
Software design 2,0.2104702126662523
Information security 7,0.21018730964486002
Programming/software development 2,0.2094237328527553
Database design 4,0.20939739689823794
Data analytics 7,0.2090220609041429
Systems design 5,0.20848235205027774
Systems integration and build 4,0.20548024780807855
Software design 5,0.2044218782817552
Data engineering 2,0.20349822719209215
