Skill,Level,SFIA_Skill_Level,Level_Description,Level_Description_cosine,Level_Description_jaccard,skills_skillner,skills_skillner_qe,skills_skillner_keybert,skills_skillner_qe_keybert,rake_skills,yake_skills,skills_skillner_rake,skills_skillner_yake,skills_skillner_count,skills_skillner_qe_count,skills_skillner_keybert_count,skills_skillner_qe_keybert_count,skills_skillner_rake_count,skills_skillner_yake_count
Strategic planning,4,Strategic planning 4,"Contributes to the collection and analysis of information to support strategy development. _x000D_
Assists in the preparation of reports and insights for strategic planning._x000D_
Supports the communication of strategic plans and related change initiatives to relevant stakeholders. _x000D_
Helps monitor progress against strategic objectives and provides feedback.",contributes collection analysis information support strategy development _xd_ assists preparation reports insights strategic planning_xd_ supports communication strategic plans related change initiatives relevant stakeholders _xd_ helps monitor progress strategic objectives provides feedback,contributes to the collection and analysis of information to support strategy development. xd assists in the preparation of reports and insights for strategic planning. xd supports the communication of strategic plans and related change initiatives to relevant stakeholders. xd helps monitor progress against strategic objectives and provides feedback.,"['xd', 'collection', 'communication strategic', 'monitor progress', 'preparation reports', 'strategic plans', 'Strategic planning']","['xd', 'assembling', 'compendium', 'aggregation', 'collection', 'monitor progress', 'communication strategic', 'solicitation', 'ingathering', 'accumulation', 'appeal', 'assemblage', 'preparation reports', 'collecting', 'strategic plans', 'Strategic planning']","['collection communication strategic', 'communication strategic monitor', 'reports strategic plans', 'monitor progress preparation', 'xd', 'Strategic planning']","['reports collecting strategic', 'aggregation collection monitor', 'xd assembling compendium', 'solicitation ingathering accumulation', 'assemblage', 'Strategic planning']","['xd helps monitor progress', 'support strategy development', 'related change initiatives', 'xd supports', 'xd assists', 'strategic plans', 'strategic planning', 'strategic objectives', 'relevant stakeholders', 'provides feedback', 'reports', 'preparation', 'insights', 'information', 'contributes', 'communication', 'collection', 'analysis']","['support strategy development', 'collection and analysis', 'analysis of information', 'contributes', 'planning', 'feedback', 'progress']","['xd', 'xd helps monitor progress', 'monitor progress', 'collection', 'insights', 'strategic planning', 'xd assists', 'preparation', 'support strategy development', 'preparation reports', 'contributes', 'provides feedback', 'reports', 'communication', 'related change initiatives', 'communication strategic', 'information', 'relevant stakeholders', 'strategic objectives', 'xd supports', 'analysis', 'strategic plans', 'Strategic planning']","['xd', 'feedback', 'monitor progress', 'collection', 'progress', 'support strategy development', 'preparation reports', 'contributes', 'planning', 'communication strategic', 'analysis of information', 'collection and analysis', 'strategic plans', 'Strategic planning']",7,16,6,6,23,14
Strategic planning,5,Strategic planning 5,"Collates information and creates reports and insights to support strategy management processes._x000D_
Ensures all stakeholders are aware of the strategic management approach and timetables. Provides support and guidance to help stakeholders adhere to the approach._x000D_
Develops and communicates plans to drive forward the strategy and related change planning._x000D_
Contributes to the development of policies, standards and guidelines for strategy development and planning.",collates information creates reports insights support strategy management processes_xd_ ensures stakeholders aware strategic management approach timetables provides support guidance help stakeholders adhere approach_xd_ develops communicates plans drive forward strategy related change planning_xd_ contributes development policies standards guidelines strategy development planning,"collates information and creates reports and insights to support strategy management processes. xd ensures all stakeholders are aware of the strategic management approach and timetables. provides support and guidance to help stakeholders adhere to the approach. xd develops and communicates plans to drive forward the strategy and related change planning. xd contributes to the development of policies, standards and guidelines for strategy development and planning.","['development planning', 'develops communicates', 'management', 'strategic management', 'development policies', 'communicates plans', 'Strategic planning']","['development planning', 'management', 'develops communicates', 'direction', 'strategic management', 'development policies', 'communicates plans', 'Strategic planning']","['development planning develops', 'planning develops communicates', 'communicates management strategic', 'management development policies', 'policies communicates plans', 'Strategic planning']","['development planning management', 'management develops communicates', 'strategic management development', 'communicates direction strategic', 'policies communicates plans', 'Strategic planning']","['support strategy management processes', 'strategic management approach', 'related change planning', 'help stakeholders adhere', 'provides support', 'xd ensures', 'xd develops', 'xd contributes', 'drive forward', 'creates reports', 'communicates plans', 'collates information', 'strategy development', 'strategy', 'stakeholders', 'planning', 'approach', 'development', 'timetables', 'standards', 'policies', 'insights', 'guidelines', 'guidance', 'aware']","['strategy management processes', 'insights to support', 'collates', 'approach', 'planning', 'development', 'guidance']","['strategy', 'stakeholders', 'timetables', 'strategic management approach', 'help stakeholders adhere', 'creates reports', 'support strategy management processes', 'development', 'xd develops', 'insights', 'aware', 'guidelines', 'strategic management', 'collates information', 'development policies', 'standards', 'guidance', 'communicates plans', 'provides support', 'policies', 'xd ensures', 'planning', 'development planning', 'approach', 'develops communicates', 'management', 'strategy development', 'related change planning', 'drive forward', 'xd contributes', 'Strategic planning']","['collates', 'development', 'insights to support', 'strategic management', 'development policies', 'guidance', 'strategy management processes', 'communicates plans', 'planning', 'development planning', 'approach', 'develops communicates', 'management', 'Strategic planning']",7,8,6,6,31,14
Strategic planning,6,Strategic planning 6,"Sets policies, standards and guidelines for how the organisation conducts strategy development and planning._x000D_
Leads and manages the creation or review of a strategy that meets the requirements of the business. _x000D_
Develops, communicates, implements and reviews the processes which embed strategic management in the operational management of the organisation.",sets policies standards guidelines organisation conducts strategy development planning_xd_ leads manages creation review strategy meets requirements business _xd_ develops communicates implements reviews processes embed strategic management operational management organisation,"sets policies, standards and guidelines for how the organisation conducts strategy development and planning. xd leads and manages the creation or review of a strategy that meets the requirements of the business. xd develops, communicates, implements and reviews the processes which embed strategic management in the operational management of the organisation.","['xd', 'operational management', 'develops communicates', 'requirements business', 'strategic management', 'leads manages', 'Strategic planning']","['xd', 'operational management', 'develops communicates', 'requirements business', 'strategic management', 'leads manages', 'Strategic planning']","['xd operational management', 'operational management develops', 'requirements business strategic', 'management leads manages', 'develops communicates', 'Strategic planning']","['xd operational management', 'operational management develops', 'requirements business strategic', 'management leads manages', 'develops communicates', 'Strategic planning']","['organisation conducts strategy development', 'embed strategic management', 'operational management', 'xd leads', 'xd develops', 'sets policies', 'strategy', 'organisation', 'standards', 'reviews', 'review', 'requirements', 'processes', 'planning', 'meets', 'manages', 'implements', 'guidelines', 'creation', 'communicates', 'business']","['conducts strategy development', 'organisation conducts strategy', 'sets policies', 'planning', 'leads', 'embed']","['xd', 'strategy', 'processes', 'operational management', 'xd develops', 'requirements business', 'organisation conducts strategy development', 'guidelines', 'strategic management', 'meets', 'leads manages', 'requirements', 'business', 'standards', 'reviews', 'manages', 'sets policies', 'review', 'planning', 'communicates', 'organisation', 'develops communicates', 'creation', 'implements', 'xd leads', 'embed strategic management', 'Strategic planning']","['xd', 'operational management', 'leads', 'requirements business', 'embed', 'strategic management', 'sets policies', 'planning', 'develops communicates', 'conducts strategy development', 'organisation conducts strategy', 'leads manages', 'Strategic planning']",7,7,6,6,27,13
Strategic planning,7,Strategic planning 7,"Leads the definition, implementation and communication of the organisation’s strategic management framework. _x000D_
Directs the creation and review of a strategy and plans to support the strategic requirements of the business.",leads definition implementation communication organisations strategic management framework _xd_ directs creation review strategy plans support strategic requirements business,"leads the definition, implementation and communication of the organisation s strategic management framework. xd directs the creation and review of a strategy and plans to support the strategic requirements of the business.","['xd', 'plans', 'communication', 'support business', 'requirements business', 'strategic management', 'Strategic planning']","['xd', 'be after', 'plans', 'communication', 'support business', 'programme', 'requirements business', 'design', 'strategic management', 'program', 'project', 'communicating', 'plan', 'architectural plan', 'contrive', 'Strategic planning']","['xd plans communication', 'requirements business strategic', 'plans communication support', 'communication support business', 'xd', 'Strategic planning']","['xd plans communication', 'architectural plan contrive', 'business programme requirements', 'design strategic management', 'communication support business', 'Strategic planning']","['strategic management framework', 'strategic requirements', 'xd directs', 'support', 'strategy', 'review', 'plans', 'organisation', 'leads', 'implementation', 'definition', 'creation', 'communication', 'business']","['strategic management framework', 'leads the definition', 'business', 'support']","['xd', 'strategic management framework', 'strategy', 'plans', 'support business', 'leads', 'strategic requirements', 'requirements business', 'strategic management', 'business', 'xd directs', 'review', 'implementation', 'definition', 'communication', 'organisation', 'creation', 'support', 'Strategic planning']","['xd', 'strategic management framework', 'plans', 'support business', 'requirements business', 'strategic management', 'business', 'communication', 'support', 'leads the definition', 'Strategic planning']",7,16,6,6,19,11
Information systems coordination,6,Information systems coordination 6,"Maintains awareness of the global needs of the organisation. _x000D_
Promotes the benefits that a common approach to technology deployment will bring to the entire organisation._x000D_
Coordinates and collaborates with others on the promotion, acquisition, development and implementation of information systems and services.",maintains awareness global needs organisation _xd_ promotes benefits common approach technology deployment bring entire organisation_xd_ coordinates collaborates others promotion acquisition development implementation information systems services,"maintains awareness of the global needs of the organisation. xd promotes the benefits that a common approach to technology deployment will bring to the entire organisation. xd coordinates and collaborates with others on the promotion, acquisition, development and implementation of information systems and services.","['xd', 'maintains', 'coordinates', 'collaborates', 'information system', 'Information systems coordination']","['xd', 'conserve', 'hold', 'coordinate', 'preserve', 'join forces', 'assert', 'maintain', 'cooperate', 'maintains', 'coordinates', 'organise', 'observe', 'asseverate', 'keep', 'information system', 'wield', 'exert', 'align', 'get together', 'uphold', 'ordinate', 'keep up', 'collaborates', 'collaborate', 'sustain', 'co-ordinate', 'organize', 'defend', 'Information systems coordination']","['xd maintains coordinates', 'maintains coordinates collaborates', 'xd maintains', 'collaborates information', 'xd', 'Information systems coordination']","['cooperate maintains coordinates', 'xd conserve hold', 'preserve join forces', 'ordinate organize defend', 'information wield exert', 'Information systems coordination']","['xd promotes', 'xd coordinates', 'technology deployment', 'maintains awareness', 'information systems', 'global needs', 'common approach', 'entire organisation', 'organisation', 'services', 'promotion', 'others', 'implementation', 'development', 'collaborates', 'bring', 'benefits', 'acquisition']","['maintains awareness', 'entire organisation', 'global', 'approach to technology', 'technology deployment', 'deployment will bring', 'systems and services', 'common']","['xd', 'benefits', 'others', 'promotion', 'bring', 'development', 'maintains', 'coordinates', 'technology deployment', 'information systems', 'maintains awareness', 'information system', 'xd promotes', 'entire organisation', 'implementation', 'services', 'organisation', 'common approach', 'collaborates', 'xd coordinates', 'global needs', 'acquisition', 'Information systems coordination']","['xd', 'deployment will bring', 'approach to technology', 'maintains', 'common', 'coordinates', 'technology deployment', 'systems and services', 'maintains awareness', 'global', 'information system', 'entire organisation', 'collaborates', 'Information systems coordination']",6,30,6,6,23,14
Information systems coordination,7,Information systems coordination 7,"Establishes the organisation's strategy for managing information and communicates the policies, standards, procedures and methods necessary to implement the strategy. _x000D_
Coordinates all aspects of management of the lifecycle of information systems. _x000D_
Represents the interests of the entire organisation to general management and external bodies on matters relating to information strategy.",establishes organisations strategy managing information communicates policies standards procedures methods necessary implement strategy _xd_ coordinates aspects management lifecycle information systems _xd_ represents interests entire organisation general management external bodies matters relating information strategy,"establishes the organisation's strategy for managing information and communicates the policies, standards, procedures and methods necessary to implement the strategy. xd coordinates all aspects of management of the lifecycle of information systems. xd represents the interests of the entire organisation to general management and external bodies on matters relating to information strategy.","['xd', 'standards procedures', 'management lifecycle', 'communicates', 'management', 'coordinates', 'managing information', 'information system', 'Information systems coordination']","['xd', 'standards procedures', 'coordinate', 'management lifecycle', 'pass', 'direction', 'coordinates', 'organise', 'intercommunicate', 'information system', 'commune', 'pass on', 'put across', 'align', 'communicates', 'managing information', 'management', 'ordinate', 'communicate', 'convey', 'co-ordinate', 'transmit', 'organize', 'pass along', 'Information systems coordination']","['xd standards procedures', 'management lifecycle communicates', 'procedures management', 'coordinates managing information', 'information information', 'Information systems coordination']","['xd standards procedures', 'management ordinate communicate', 'coordinates organise', 'information commune pass', 'pass align communicates', 'Information systems coordination']","['xd represents', 'xd coordinates', 'methods necessary', 'matters relating', 'managing information', 'information systems', 'external bodies', 'general management', 'entire organisation', 'information strategy', 'organisation', 'management', 'strategy', 'strategy', 'standards', 'procedures', 'policies', 'lifecycle', 'interests', 'implement', 'establishes', 'communicates', 'aspects']","['communicates the policies', 'procedures and methods', 'managing information', 'strategy', 'implement', 'lifecycle', 'bodies']","['xd', 'implement', 'methods necessary', 'coordinates', 'information system', 'matters relating', 'entire organisation', 'policies', 'aspects', 'communicates', 'organisation', 'establishes', 'xd represents', 'information strategy', 'lifecycle', 'strategy', 'standards procedures', 'external bodies', 'management lifecycle', 'information systems', 'standards', 'general management', 'procedures', 'management', 'xd coordinates', 'managing information', 'interests', 'Information systems coordination']","['xd', 'standards procedures', 'strategy', 'management lifecycle', 'communicates', 'implement', 'management', 'coordinates', 'procedures and methods', 'managing information', 'lifecycle', 'information system', 'communicates the policies', 'bodies', 'Information systems coordination']",9,25,6,6,28,15
Information management,3,Information management 3,"Supports teams and individuals to identify and organise information assets and repositories in line with policy and practices._x000D_
Conducts routine searches for non-sensitive information needed to support organisational decision making._x000D_
Supports users to find and access information resources based on their requirements and approved access.",supports teams individuals identify organise information assets repositories line policy practices_xd_ conducts routine searches nonsensitive information needed support organisational decision making_xd_ supports users find access information resources based requirements approved access,supports teams and individuals to identify and organise information assets and repositories in line with policy and practices. xd conducts routine searches for non sensitive information needed to support organisational decision making. xd supports users to find and access information resources based on their requirements and approved access.,"['decision', 'information based', 'access', 'Information management']","['determination', 'conclusion', 'get at', 'admittance', 'decisiveness', 'entree', 'approach', 'admission', 'accession', 'memory access', 'access', 'information based', 'decision', 'access code', 'Information management']","['information based access', 'decision information based', 'based access', 'information', 'decision', 'Information management']","['decision access code', 'admission accession memory', 'memory access access', 'entree approach admission', 'admittance decisiveness entree', 'Information management']","['support organisational decision making', 'non sensitive information needed', 'xd conducts routine searches', 'access information resources based', 'organise information assets', 'xd supports users', 'approved access', 'supports teams', 'requirements', 'repositories', 'practices', 'policy', 'line', 'individuals', 'identify', 'find']","['organise information assets', 'individuals to identify', 'teams', 'line', 'supports', 'access', 'requirements and approved', 'needed']","['find', 'supports teams', 'individuals', 'requirements', 'line', 'approved access', 'practices', 'support organisational decision making', 'non sensitive information needed', 'information based', 'policy', 'xd conducts routine searches', 'access', 'organise information assets', 'identify', 'decision', 'access information resources based', 'xd supports users', 'repositories', 'Information management']","['requirements and approved', 'needed', 'individuals to identify', 'access', 'organise information assets', 'information based', 'supports', 'decision', 'line', 'teams', 'Information management']",4,15,6,6,20,11
Information management,4,Information management 4,"Enables the organisation to organise, control and discover information assets._x000D_
Supports the organisation to identify, catalogue and categorise information types and information repositories in line with information management strategies and practices._x000D_
Enables users to find information through appropriate use of metadata and search tools._x000D_
Provides advice and guidance to enable good information management practices to be adopted across the organisation.",enables organisation organise control discover information assets_xd_ supports organisation identify catalogue categorise information types information repositories line information management strategies practices_xd_ enables users find information appropriate use metadata search tools_xd_ provides advice guidance enable good information management practices adopted across organisation,"enables the organisation to organise, control and discover information assets. xd supports the organisation to identify, catalogue and categorise information types and information repositories in line with information management strategies and practices. xd enables users to find information through appropriate use of metadata and search tools. xd provides advice and guidance to enable good information management practices to be adopted across the organisation.","['information information', 'information management', 'control', 'adopted', 'catalogue', 'metadata', 'Information management']","['information information', 'catalog', 'acquire', 'borrow', 'see', 'ensure', 'follow', 'operate', 'insure', 'embrace', 'control condition', 'information management', 'see to it', 'verify', 'ascertain', 'keep in line', 'assume', 'check', 'controller', 'manipulate', 'moderate', 'adopted', 'ascendency', 'hold', 'ascendence', 'restraint', 'take in', 'master', 'curb', 'adoptive', 'dominance', 'take on', 'control', 'take up', 'catalogue', 'hold in', 'ascendance', 'espouse', 'dramatize', 'dramatise', 'contain', 'ascendancy', 'take over', 'command', 'metadata', 'sweep up', 'adopt', 'mastery', 'assure', 'take', 'Information management']","['adopted catalogue metadata', 'control adopted catalogue', 'information management control', 'information information information', 'metadata', 'Information management']","['control catalogue hold', 'information management verify', 'borrow ensure follow', 'sweep adopt mastery', 'ascendance espouse dramatize', 'Information management']","['enable good information management practices', 'information management strategies', 'discover information assets', 'categorise information types', 'xd provides advice', 'xd enables users', 'information repositories', 'find information', 'xd supports', 'search tools', 'appropriate use', 'adopted across', 'practices', 'enables', 'organise', 'organisation', 'organisation', 'organisation', 'metadata', 'line', 'identify', 'guidance', 'control', 'catalogue']","['discover information assets', 'control and discover', 'organisation to organise', 'management', 'identify', 'supports', 'line', 'metadata', 'good']","['information information', 'enable good information management practices', 'control', 'xd provides advice', 'organise', 'categorise information types', 'catalogue', 'identify', 'appropriate use', 'guidance', 'information repositories', 'discover information assets', 'information management strategies', 'line', 'information management', 'enables', 'organisation', 'xd enables users', 'practices', 'adopted across', 'search tools', 'adopted', 'metadata', 'find information', 'xd supports', 'Information management']","['information information', 'organisation to organise', 'control', 'catalogue', 'identify', 'line', 'discover information assets', 'control and discover', 'information management', 'management', 'adopted', 'metadata', 'supports', 'good', 'Information management']",7,51,6,6,26,15
Information management,5,Information management 5,"Ensures implementation of information and records management policies and standard practice.  Communicates the benefits and value of information management. _x000D_
Plans effective information storage, sharing and publishing within the organisation. Develops organisational taxonomy for information assets. _x000D_
Provides expert advice and guidance to enable the organisation to get maximum value from its information assets. _x000D_
Assesses issues that might prevent the organisation from making maximum use of its information assets. Contributes to the development of policy, standards and procedures for compliance with relevant legislation.",ensures implementation information records management policies standard practice communicates benefits value information management _xd_ plans effective information storage sharing publishing within organisation develops organisational taxonomy information assets _xd_ provides expert advice guidance enable organisation get maximum value information assets _xd_ assesses issues might prevent organisation making maximum use information assets contributes development policy standards procedures compliance relevant legislation,"ensures implementation of information and records management policies and standard practice. communicates the benefits and value of information management. xd plans effective information storage, sharing and publishing within the organisation. develops organisational taxonomy for information assets. xd provides expert advice and guidance to enable the organisation to get maximum value from its information assets. xd assesses issues that might prevent the organisation from making maximum use of its information assets. contributes to the development of policy, standards and procedures for compliance with relevant legislation.","['xd', 'standards procedures', 'legislation', 'information management', 'communicates', 'plans', 'standard practice', 'record management', 'taxonomy', 'development policy', 'storage', 'Information management']","['xd', 'reposition', 'computer memory', 'warehousing', 'storehouse', 'standard practice', 'pass', 'program', 'taxonomy', 'intercommunicate', 'architectural plan', 'statute law', 'commune', 'legislation', 'information management', 'communicates', 'programme', 'design', 'project', 'lawmaking', 'transmit', 'entrepot', 'development policy', 'contrive', 'storage', 'repositing', 'standards procedures', 'legislating', 'memory', 'depot', 'be after', 'plans', 'record management', 'computer storage', 'memory board', 'store', 'pass on', 'put across', 'communicate', 'convey', 'plan', 'pass along', 'Information management']","['legislation information management', 'xd standards procedures', 'record management taxonomy', 'development policy storage', 'practice record', 'Information management']","['legislating memory depot', 'convey plan pass', 'lawmaking transmit', 'pass program taxonomy', 'xd reposition', 'Information management']","['xd plans effective information storage', 'xd provides expert advice', 'xd assesses issues', 'making maximum use', 'develops organisational taxonomy', 'records management policies', 'get maximum value', 'information management', 'information assets', 'information assets', 'information assets', 'standard practice', 'relevant legislation', 'publishing within', 'might prevent', 'ensures implementation', 'information', 'value', 'standards', 'sharing', 'procedures', 'policy', 'organisation', 'organisation', 'organisation', 'guidance', 'enable', 'development', 'contributes', 'compliance', 'communicates', 'benefits']","['records management policies', 'assets', 'implementation of information', 'policies and standard', 'maximum', 'storage', 'publishing', 'expert', 'advice', 'enable', 'procedures']","['xd', 'standard practice', 'development', 'compliance', 'sharing', 'taxonomy', 'enable', 'publishing within', 'legislation', 'information management', 'xd assesses issues', 'communicates', 'making maximum use', 'organisation', 'relevant legislation', 'information', 'value', 'development policy', 'storage', 'xd provides expert advice', 'standards procedures', 'benefits', 'xd plans effective information storage', 'policy', 'plans', 'record management', 'might prevent', 'ensures implementation', 'standards', 'guidance', 'get maximum value', 'develops organisational taxonomy', 'contributes', 'procedures', 'records management policies', 'information assets', 'Information management']","['xd', 'publishing', 'standard practice', 'taxonomy', 'enable', 'legislation', 'information management', 'communicates', 'advice', 'assets', 'policies and standard', 'development policy', 'storage', 'implementation of information', 'standards procedures', 'plans', 'record management', 'expert', 'procedures', 'maximum', 'records management policies', 'Information management']",12,43,6,6,37,22
Information management,6,Information management 6,"Leads and plans activities to communicate and implement information management strategies and policies.  _x000D_
Develops organisational policies, standards and guidelines for information management. _x000D_
Ensures the information required to support the organisation is defined. Creates information management processes.  _x000D_
Coordinates internal and externally sourced information resources to meet specific business objectives.",leads plans activities communicate implement information management strategies policies _xd_ develops organisational policies standards guidelines information management _xd_ ensures information required support organisation defined creates information management processes _xd_ coordinates internal externally sourced information resources meet specific business objectives,"leads and plans activities to communicate and implement information management strategies and policies. xd develops organisational policies, standards and guidelines for information management. xd ensures the information required to support the organisation is defined. creates information management processes. xd coordinates internal and externally sourced information resources to meet specific business objectives.","['xd', 'information management', 'management process', 'plans', 'resources', 'coordinates', 'communicate', 'organisational policy', 'activities', 'sourced information', 'Information management']","['xd', 'resource', 'coordinate', 'activeness', 'pass', 'coordinates', 'program', 'sourced information', 'intercommunicate', 'architectural plan', 'action', 'bodily process', 'commune', 'bodily function', 'information management', 'body process', 'management process', 'resourcefulness', 'programme', 'ordinate', 'design', 'project', 'organisational policy', 'activities', 'transmit', 'organize', 'contrive', 'be after', 'plans', 'resources', 'organise', 'imagination', 'pass on', 'align', 'put across', 'activity', 'natural process', 'communicate', 'convey', 'plan', 'co-ordinate', 'natural action', 'pass along', 'Information management']","['xd information management', 'management process plans', 'policy activities sourced', 'communicate organisational', 'resources coordinates communicate', 'Information management']","['plans resources organise', 'xd resource coordinate', 'process communicate convey', 'programme ordinate', 'coordinate activeness pass', 'Information management']","['meet specific business objectives', 'externally sourced information resources', 'implement information management strategies', 'creates information management processes', 'xd develops organisational policies', 'xd coordinates internal', 'information management', 'information required', 'xd ensures', 'plans activities', 'policies', 'support', 'standards', 'organisation', 'leads', 'guidelines', 'defined', 'communicate']","['leads and plans', 'activities to communicate', 'information', 'management', 'policies', 'develops', 'required', 'support', 'externally', 'meet specific']","['xd', 'coordinates', 'sourced information', 'externally sourced information resources', 'creates information management processes', 'policies', 'information management', 'xd ensures', 'management process', 'implement information management strategies', 'organisation', 'organisational policy', 'activities', 'plans', 'resources', 'leads', 'guidelines', 'defined', 'standards', 'meet specific business objectives', 'xd coordinates internal', 'xd develops organisational policies', 'communicate', 'information required', 'support', 'plans activities', 'Information management']","['xd', 'leads and plans', 'develops', 'coordinates', 'sourced information', 'meet specific', 'activities to communicate', 'policies', 'information management', 'management process', 'required', 'information', 'organisational policy', 'activities', 'plans', 'resources', 'externally', 'management', 'communicate', 'support', 'Information management']",11,44,6,6,27,21
