Skill,Level 1,Level 2,Level 3,Level 4,Level 5,Level 6,Level 7
Strategic planning,,,,,,,
Information systems coordination,,,,,,,0.2156
Information management,,,,,,,
Enterprise and business architecture,,,,,,,
Solution architecture,,,,,,,
Innovation management,,,,,,,
Emerging technology monitoring,,,,,,,
Formal research,,,,,,,
Sustainability,,,,,,,
Financial management,,,,,,,
Investment appraisal,,,,,,,
Benefits management,,,,,,,
Budgeting and forecasting,,,,,,,
Financial analysis,,,,,,,
Cost management,,,,,,,
Demand management,,,,,,,
Measurement,,,,,,,
Information security,,,0.2306,0.2611,0.2458,,0.2102
Information assurance,,,,,,,
Information and data compliance,,,,,,,
Vulnerability research,,,,,,,
Threat intelligence,,,,,,,
Governance,,,,,,,
Risk management,,,,,,,
Artificial intelligence (AI) and data ethics,,,,,,,
Audit,,,,,,,
Quality management,,,,,,,
Quality assurance,,,,,,,
Consultancy,,,,,,,
Specialist advice,,,,,,,
Methods and tools,,,,,,,
Portfolio management,,,,,,,
Programme management,,,,,,,
Project management,,,,,,,
"Portfolio, programme and project support",,,,,,,
Delivery management,,,,,,,
Business situation analysis,,,,,,,
Feasibility assessment,,,,,,,
Requirements definition and management,,,,,,,
Business modelling,,,,,,,
User acceptance testing,,,,,,,
Business process improvement,,,,,,,
Organisational capability development,,,,,,,
Job analysis and design,,,,,,,
Organisation design and implementation,,,,,,,
Organisational change management,,,,,,,
Organisational change enablement,,,,,,,
Product management,,,,,,,
Systems development management,,,,0.2213,,,0.2169
Systems and software lifecycle engineering,,,0.2106,,,0.2711,
Systems design,,0.2227,,,0.2085,0.2733,
Software design,,0.2105,0.2215,,0.2044,0.2374,
Network design,,,,,,,
Infrastructure design,,,,,,,
Hardware design,,,,,,,
Programming/software development,,0.2094,0.2194,0.2395,,,
Systems integration and build,,,0.2285,0.2055,,,
Functional testing,,,,,,,
Non-functional testing,,,,,,,
Process testing,,,,,,,
Software configuration,,,,,,,
Real-time/embedded systems development,,,,,,,
Safety engineering,,,,,,,
Safety assessment,,,,,,,
Radio frequency engineering,,,,,0.2121,,
Animation development,,,,,,,
Data management,,0.254,0.2187,0.2342,0.2287,0.2575,
Data modelling and design,,,,,0.2241,,
Database design,,,,0.2094,0.3307,,
Data analytics,,,,,,,0.209
Data science,,0.2293,0.2653,0.2702,0.244,,
Machine learning,,,,,,,
Business intelligence,,,,0.2121,,,
Data engineering,,0.2035,0.2546,0.2394,0.218,0.216,
Data visualisation,,,,,,,
User research,,,,,,,
Customer experience,,,,,,,
Accessibility and inclusion,,,,,,,
User experience analysis,,,,,,,
User experience design,,,,,,,
User experience evaluation,,,,,,,
Content design and authoring,,,,,,,
Content publishing,,,,,,,
Knowledge management,,,,,,,
Graphic design,,,,,,,
Scientific modelling,,,,,,,
Numerical analysis,,,,,,,
High-performance computing,,,,,,,
Technology service management,,,,,0.2222,,
Application support,,,,,,,
Infrastructure operations,,,0.2353,,,,
System software administration,,0.2956,,0.2283,0.227,,
Network support,,,,0.2289,0.2158,,
Systems installation and removal,,,,,,,
Configuration management,,,,,,,
Release management,,,,,,,
Deployment,,,,,,,
Storage management,,,,,,,
Facilities management,,,,,,,
Service level management,,,,,,,
Service catalogue management,,,,,,,
Availability management,,,,,,,
Continuity management,,,,0.2743,,,
Capacity management,,,,,,,
Incident management,,,,,,,
Problem management,,,,,,,
Change control,,,,,,,
Asset management,,,,,,,
Service acceptance,,,,,,,
Security operations,,,0.2111,,,,
Identity and access management,,,,,,,
Vulnerability assessment,,,,,,,
Digital forensics,,,,,,,
Cybercrime investigation,,,,,,,
Offensive cyber operations,,,,,,,
Penetration testing,,,,,,,
Records management,,,,,,,
Analytical classification and coding,,,,,,,
Database administration,,,,,,,
Performance management,,,,,,,
Employee experience,,,,,,,
Organisational facilitation,,,,,,,
Professional development,,,,,,,
Workforce planning,,,,,,,
Resourcing,,,,,,,
Learning and development management,,,,,,,
Learning design and development,,,,,,,
Learning delivery,,,,,,,
Competency assessment,,,,,,,
Certification scheme operation,,,,,,,
Teaching,,,,,,,
Subject formation,,,,,,,
Sourcing,,,,,,,
Supplier management,,,,,,,
Contract management,,,,,,,
Stakeholder relationship management,,,,,,,
Customer service support,,,,,,,
Business administration,,,,,,,
Bid/proposal management,,,,,,,
Selling,,,,,,,
Sales support,,,,,,,
Marketing management,,,,,,,
Market research,,,,,,,
Brand management,,,,,,,
Customer engagement and loyalty,,,,,,,
Marketing campaign management,,,,,,,
Digital marketing,,,,,,,
