Skill,Level 1,Level 2,Level 3,Level 4,Level 5,Level 6,Level 7
Strategic planning,,,,,,,
Information systems coordination,,,,,,0.255,
Information management,,,,,,0.2306,0.2395
Enterprise and business architecture,,,,,0.2663,,
Solution architecture,,,,,,0.3102,
Innovation management,,,,,0.2245,,
Emerging technology monitoring,,,,,,,
Formal research,,,,,0.3298,0.2987,
Sustainability,,,,,,,
Financial management,,,,0.2241,,,
Investment appraisal,,,,,,,
Benefits management,,,,,,0.3122,
Budgeting and forecasting,,,,,,,
Financial analysis,,,,,0.2565,,
Cost management,,,,,,,
Demand management,,,,,0.2649,,
Measurement,,,,,,,
Information security,,,,0.3415,0.2582,,0.2013
Information assurance,,0.2404,0.2602,0.2013,,,
Information and data compliance,,,,,,,
Vulnerability research,,,,,0.2529,0.2347,
Threat intelligence,,,,,,,
Governance,,,,,,,
Risk management,,0.252,0.2053,,,0.3128,
Artificial intelligence (AI) and data ethics,,,,0.2254,,,
Audit,,,,0.2221,,0.2178,0.2505
Quality management,,0.2061,,,0.2213,,
Quality assurance,,,,0.2041,,0.2258,
Consultancy,,,,,,0.2496,0.3743
Specialist advice,,,,0.2848,0.25,,
Methods and tools,,0.2309,0.245,,0.3287,,
Portfolio management,,,,,,,
Programme management,,,,,,0.3385,0.2336
Project management,,,,0.2316,,,0.2872
"Portfolio, programme and project support",,,0.294,0.2324,,0.2567,
Delivery management,,,0.2455,0.2763,,,
Business situation analysis,,,,,0.2621,,
Feasibility assessment,,,,,0.2353,,
Requirements definition and management,,,0.2256,,0.2891,,
Business modelling,,,,,,,
User acceptance testing,,,,0.2634,0.2397,,
Business process improvement,,,0.2974,,0.3601,0.2149,
Organisational capability development,,,,,0.2573,0.3083,
Job analysis and design,,,,,,,
Organisation design and implementation,,,,,,,
Organisational change management,,0.2069,0.2044,,,,
Organisational change enablement,,,,,,,
Product management,,,,0.2133,0.2739,,
Systems development management,,,,0.2501,0.2565,,0.2187
Systems and software lifecycle engineering,,,0.2364,,,0.2981,
Systems design,,0.2339,,,,0.2228,
Software design,,,0.2321,,,0.293,
Network design,,,,,,,
Infrastructure design,,,,,,,
Hardware design,,,,,,,
Programming/software development,,0.2047,0.2783,0.2093,0.2125,,
Systems integration and build,,,,,0.3399,,
Functional testing,,,,,,,
Non-functional testing,,,,,,,
Process testing,,,,,,,
Software configuration,,,,,,,
Real-time/embedded systems development,,,,,,,
Safety engineering,,,,,0.2105,0.2286,
Safety assessment,,,,,,,
Radio frequency engineering,,,0.241,,,,
Animation development,,,,,0.2519,,
Data management,,0.2974,0.2508,0.2137,,,
Data modelling and design,,,0.2528,0.2717,0.3066,,
Database design,,,,,0.2074,,
Data analytics,,,0.2363,,0.205,,
Data science,,,0.2495,,0.2609,,
Machine learning,,0.2086,,,0.3227,,
Business intelligence,,,,,0.3238,,
Data engineering,,0.2912,0.2153,0.2594,,0.2188,
Data visualisation,,0.2246,,,,,
User research,,,,0.2052,,,
Customer experience,,,,,,,
Accessibility and inclusion,,,,0.2068,,,
User experience analysis,,,,,0.2941,,
User experience design,,,,,,,
User experience evaluation,,,,,0.2817,,
Content design and authoring,,,,,,,
Content publishing,,,,0.2386,,0.2898,
Knowledge management,,,0.2512,,0.2567,0.2233,
Graphic design,,,,,0.223,,
Scientific modelling,,,,,,,
Numerical analysis,,,,,,,
High-performance computing,,,,,,,
Technology service management,,,,,,0.2711,0.2811
Application support,,,,0.2266,0.2708,,
Infrastructure operations,,,0.2263,0.2853,,,
System software administration,,0.2003,,,0.2783,,
Network support,0.2191,,0.3459,0.2975,0.2505,,
Systems installation and removal,,,,,,,
Configuration management,,0.2216,0.2145,0.2649,0.2953,,
Release management,,0.2344,0.2052,,0.2722,,
Deployment,,,0.2761,0.3561,,0.3265,
Storage management,,,0.2299,0.2205,,0.2209,
Facilities management,,,,,0.2171,0.2251,
Service level management,,,,0.2501,0.2093,0.2707,
Service catalogue management,,,,,0.2663,,
Availability management,,,0.2765,0.3083,,0.2581,
Continuity management,,,,,0.2432,,
Capacity management,,,,,,,
Incident management,,,,0.224,0.2935,,
Problem management,,,,,,,
Change control,,,,,0.2714,,
Asset management,,0.2137,0.2488,,0.3113,,
Service acceptance,,,0.2205,0.2498,,,
Security operations,0.2413,0.2342,0.2384,0.3162,,,
Identity and access management,,0.2839,0.2187,,0.2438,,
Vulnerability assessment,,,,,,,
Digital forensics,,,,,0.2423,,
Cybercrime investigation,,,,,0.2231,,
Offensive cyber operations,,0.2615,0.3304,0.3007,0.3314,0.3323,
Penetration testing,,,,,,0.2422,
Records management,,,0.3265,,0.2271,,
Analytical classification and coding,,,,,,,
Database administration,,,0.2108,0.2737,,,
Performance management,,,,,,,
Employee experience,,,,,,,
Organisational facilitation,,,,,,,
Professional development,,,,,,,
Workforce planning,,,,,,,
Resourcing,,,0.2618,0.2297,0.2253,,
Learning and development management,,0.227,,,0.3427,,
Learning design and development,,,,,,,
Learning delivery,,,,,0.2134,,
Competency assessment,,,,,0.278,,
