Skill,Level 1,Level 2,Level 3,Level 4,Level 5,Level 6,Level 7
Strategic planning,,,,,,,
Information systems coordination,,,,,,,
Information management,,,,1.0,,,
Enterprise and business architecture,,,,,,,
Solution architecture,,,,,,,
Innovation management,,,,,1.0,,
Emerging technology monitoring,,,,,,,
Formal research,,,,,,,
Sustainability,,,,,,,
Financial management,,,,,,,
Investment appraisal,,,,,,,
Benefits management,,,,,,,
Budgeting and forecasting,,,,,,,
Financial analysis,,,,,,,
Cost management,,,,,,,
Demand management,,,,,,,
Measurement,,,,,,,
Information security,,1.0,,,,,
Information assurance,,,,,,,
Information and data compliance,,,,,,,
Vulnerability research,,,,,,,
Threat intelligence,,,,,,,
Governance,,,,,,,
Risk management,,,,,,,
Artificial intelligence (AI) and data ethics,,,,,,,
Audit,,,,,,,
Quality management,,,,,,,
Quality assurance,,,,,,,
Consultancy,,,,,,,
Specialist advice,,,,,,,
Methods and tools,,,,,,,
Portfolio management,,,,,,,
Programme management,,,,,,,
Project management,,,,,,,
"Portfolio, programme and project support",,,,,,,
Delivery management,,,,,,,
Business situation analysis,,,,,,,
Feasibility assessment,,,,,,,
Requirements definition and management,,,,,,,
Business modelling,,,,,,,
User acceptance testing,,1.0,,,,,
Business process improvement,,,,1.0,,,
Organisational capability development,,,,,,,
Job analysis and design,,,,,,,
Organisation design and implementation,,,,,,,
Organisational change management,,,,,,,
Organisational change enablement,,,,,,,
Product management,,,,,,,
Systems development management,,,,,,,
Systems and software lifecycle engineering,,,,,1.0,,
Systems design,,,,,,,
Software design,,,,,,,
Network design,,,,1.0,,,
Infrastructure design,,,,,,,
Hardware design,,,,,,,
Programming/software development,,,,,,,
Systems integration and build,,,,,,,
Functional testing,,,,,,,
Non-functional testing,,,,,,,
Process testing,,1.0,,,,,
Software configuration,,,,,,,
Real-time/embedded systems development,,,,,,,
Safety engineering,,,,,,,
Safety assessment,,,,,,,
Radio frequency engineering,,,,,,,
Animation development,,,,,,,
Data management,,,,,,,
Data modelling and design,,,,,,,
Database design,,,,,,,
Data analytics,,,,,,,
Data science,,1.0,,,,,
Machine learning,,,,1.0,,,
Business intelligence,,,,,,,
Data engineering,,,,,,,
Data visualisation,,,,,,,
User research,,,,,,,
Customer experience,,,,,,,
Accessibility and inclusion,,,,,,,
User experience analysis,,1.0,,,,,
User experience design,,,,,,,
User experience evaluation,,,,,,,
Content design and authoring,,,,,,,
Content publishing,,,,,,,
Knowledge management,,,,,,,
Graphic design,,,,,,,
Scientific modelling,,,,,,,
Numerical analysis,,,,,,,
High-performance computing,,,,,,,
Technology service management,,,,,,1.0,
Application support,,,,,,,
Infrastructure operations,,,,,,,
System software administration,,1.0,,,,,
Network support,,,1.0,,,,
Systems installation and removal,,,,,,,
Configuration management,,,,,,,
Release management,,,,,,1.0,
Deployment,,,,,,,
Storage management,,,,,,,
Facilities management,,,,,,,
Service level management,,,,,,,
Service catalogue management,,,,,1.0,,
Availability management,,,,,,,
Continuity management,,,,,,,
Capacity management,,,,,,,
Incident management,,,,,1.0,,
Problem management,,1.0,,,,,
Change control,,,,,,,
Asset management,,,,,,,
Service acceptance,,,,,,,
Security operations,,,,,,,
Identity and access management,,,,,,,
Vulnerability assessment,,,,,,,
Digital forensics,,,,,,,
Cybercrime investigation,,,,,,,
Offensive cyber operations,,,,,,,
Penetration testing,,1.0,,,,,
Records management,,,,,,,
Analytical classification and coding,,,,,,,
Database administration,,,,,,,
Performance management,,,,,,,
Employee experience,,,,,,,
Organisational facilitation,,,,,,,
Professional development,,,,,,,
Workforce planning,,,,,,,
Resourcing,,,,,,,
Learning and development management,,,,,,,
Learning design and development,,,,,,,
Learning delivery,,,,,,,
Competency assessment,,,,,,,
Certification scheme operation,,,,,,,
Teaching,,,,,,,
Subject formation,,,,,,,
Sourcing,,,,,1.0,,
Supplier management,,,,,,1.0,
Contract management,,,,,,,
Stakeholder relationship management,,,,,,,
Customer service support,,,,,,,
Business administration,,,,,,,
Bid/proposal management,,,,,,,
Selling,,,,,,,
Sales support,,,,,,,
Marketing management,,,,,,,
Market research,,,,,,,
Brand management,,,,,,,
Customer engagement and loyalty,,,,,,,
Marketing campaign management,,,,,,,
Digital marketing,,,,,,,
