job_source,keyword,job_title,company,job_description,job_id
Jobstreet,Computer Science,Corporate IT Support,PT Panen Artha Nusa,"Bachelor’s degree in Computer Science, Information Technology or Information Systems. Bachelor's Degree in Accounting or Management are welcome to apply.
2-3 years’ experience working as an IT Support (with an Importer and Distributor Business background are encouraged)
Basic knowledge of finance and accounting (optional, but preferred).
Typing Speed and Accuracy: Proficiency in typing accurately and quickly is essential. 
Organizational Skills: Ability to organize and manage data effectively. 
Data Privacy and Security Awareness: Understanding of data protection policies and procedures. 
Data Entry Proficiency: Strong typing speed and accuracy
Technical Skills: Proficiency in relevant software (e.g., Microsoft Excel, Access, database management systems). 
Analytical Skills: Ability to identify and resolve data discrepancies, conduct data analysis.
Communication and Collaboration: Ability to communicate effectively with cross-functional teams and collaborate with stakeholders. 
Attention to Detail: Meticulous attention to detail to ensure data accuracy and consistency. 
Problem-Solving: Ability to identify and resolve data-related issues, ensuring data integrity and quality. 
Critical Thinking
Data Input and Maintenance: Accurately input, updating, deleting, and maintaining master data records in the company's database systems. 
Virtual Account: Create and input virtual account to the system for customer invoice purposes
Data Validation, Verification and Quality: Ensuring the accuracy and completeness of data by verifying it against source documents or other systems. 
Data Organization: Organizing and managing data files for easy retrieval and access, often within electronic filing systems. Backup system database and Dropbox Backup
Compliance: Adhering to data entry protocols and security standards to maintain data confidentiality and integrity. 
Collaboration: Collaborating with teams to resolve data-related issues and improve data quality and other cross-functional teams to optimize data management practices and resolve data-related issues. 
Reporting: Generating reports and summaries as required by management based on master data. to support various business needs. 
Data Auditing: Conduct regular audits of data to identify and correct discrepancies, ensuring data integrity. 
Process Improvement: Contribute to the development and implementation of data entry procedures and best practices. 
Troubleshooting: Help the company solve and troubleshooting problems related to Software and Hardware",0
Jobstreet,Computer Science,Programmer,PT Microvac Indonesia,"Programmer
Job Summary:
To develop web applications and services on Microsoft .NET platform.
Job Responsibility:
• Code, test and debug on back-end and front-end.
• Active involvement in all phases of software development life cycle including analysis, design, development, testing and support.
• Take ownership of the quality and timeliness of deliveries.
• Maintain accurate and up to date documentation of code and its changes.
• Provide assistance to junior developers.
Primary skills (Must have):
• Good understanding of Object Oriented Programming and design patterns.
• C#, .NET platform, Typescript, Javascript and HTML.
• Good knowledge of RESTful design and services.
• Good knowledge of database design, SQL, and Entity Framework Core.
• Strong analytical and problem solving skills.
• Ability to understand business requirements and translate them into technical requirements.
Secondary skills (Nice to have):
• Angular Framework (Major plus)
• CSS, LESS, SCSS
• Continuous Integration / Continuous Delivery (CI/CD)
• Microservice knowledge, docker, and kubernetes.
Job Type: Full-time",1
Jobstreet,Computer Science,IT Support Intern,PT Panin Dai-ichi Life,"Currently pursuing Bachelor degree with major in Information Technology / Computer Science
Excellent organizational skills
Strong interpersonal skills
Highly adaptable and able to work independently
Excited by new challenges and learning opportunities
Detailed and data oriented
6 months of hands-on work experience starting from the first day of your internship
Training in systems and procedures by experienced members of our team",2
Jobstreet,Computer Science,IT Project Manager (Software),PT Hitachi eBworx Indonesia,"Manages the day-to-day operational and tactical aspects of end-to-end full implementation project.
Create and executes project work plans and revises as appropriate to meet changing needs and requirements.
Minimises exposure and risk on project by effective application & compliance of methodology and enforces project standards.
Implement engagement review and quality assurance procedures in accordance with methodology to ensure profitable and successful execution of implementations as measured by company goals and customer satisfaction.
Adherence to Project Management disciplines such as on-time, on budget & quality delivery. Encourage teamwork, improve staff retention and foster customer relationships and satisfactions.
Manages the team, fostering team work and contributes to their professional development.
Coordinating with project sponsors and business stakeholders in the prioritization and detail of deliveries while at the same time collaborating with other project stakeholders for consistent and focus implementation.
Candidates with lower experience may apply but need to provide compelling justifications.
A university degree or equivalent in Computer Science, Information Management, and/or financial subjects.
Minimum 3 to 4 years of project management experience in customer facing solutions. Software application implementation experience is a merit.
Demonstrated ability to anticipate and manage change in a highly dynamic environment.
Experience in various Java EE frameworks and design patterns.
Competency in Project Management, Analytical Problem Solving, Customer Relationships with experience in the Banking Industry.
Excellent interpersonal and communication skills (English).
Formal project management training or certification (PMP, Agile, etc.) is a merit.
Consulting experience with Financial Industry knowledge is a bonus.
Placement in Indonesia.",3
Jobstreet,Computer Science,IS (Information System) Manager,PT Toray Industries Indonesia,"Developing and implementing IT strategies, planning for budget and infrastructure needs.
Managing IT projects, from planning to execution, ensuring they are completed on time and within budget.
Collaborate with other departments and stakeholders to understand business needs and propose IT solutions.
Leading and motivating IT team members, providing guidance and support, and ensuring effective performance.
Managing and maintaining the company's IT infrastructure, including servers, networks, security and communication systems.
Implementing and maintaining security measures, ensuring compliance with IT regulations and industry standards.
A degree in Information Technology, Computer Science, or a related field.
Strong project management, analytical thinking and problem-solving skills with the ability to analyze business needs and propose IT solutions.
Excellent leadership, communication (verbal/written) and interpersonal skills for cross-team collaboration.
Have knowledge or experience in implementing and maintaining system application (sales, production and accounting business knowledge are a plus). Preferably proficient in using Microsoft .NET, Microsoft SQL Server and Oracle.
Have knowledge or experience in managing and maintaining the company's IT infrastructure, including servers, networks, security and communication systems.",4
Jobstreet,Computer Science,IT PROGRAMMER,PT Indo Taichen Textile Industry,"Handle Full Stack develop to department request
Develop, maintain and support web application existing & new project
Create a web application that is controlled by the database
Bachelor's Degree in Computer Science/Information Technology or equivalent.
At least 1-2 Year of working experience in the related field is required for this position (will be advantage)
Fresh Graduate welcome to apply
Required Skill(s): Pemograman PHP, Framework Laravel/CI4, Flutter, android studio;  database mySQL, DB2/SQL
Required language(s): English
Placement in Tangerang",5
Jobstreet,Computer Science,Junior .NET Developer,PT Perangkat Lunak Indonesia,"Candidate must possess at least one of the following: SMK, Diploma, or Bachelor's Degree in Computer Science/Information Technology or equivalent fields.
Required language(s): Bahasa Indonesia, English
1 year working experience in the related field for this position (fresh graduates are welcomed).
Good communication skill.
Open to learn new software development technologies and platforms.
Write clean and readable code based on business requirements and coding standard.
Participating in technical discussion and meetings.
Ensuring the technological watch in your area of knowledge.
Experienced in web development using ASP.NET MVC (C#) or .NET Core (C#)
Experienced in Database Operations (SQL Queries, Stored Procedures, Views, etc.)
Experienced in front-end web technologies (HTML, CSS, JavaScript)",6
Jobstreet,Computer Science,IT Progammer,PT Allure Alluminio,"Responsible in supporting the full software development of new and existing applications.
Optimise application for maximise speed and scalability.
Maintaining the system, new feature, bug fixing, code refactoring and performance optimisation.
Possess the ability to translate ideas into functioning features
Deliver high quality application and system support
Any other ad-hoc duties as required or assigned
Bachelor degree in Computer Science
Fresh Graduate are welcome
Strong hands-on programming skills
Able to work independently
Good to have knowledge of Pyhthon, Json, SQL, Java
Willing to be placed at Kelapa Gading",7
Jobstreet,Computer Science,IT Quality Assurance,PT. LAKES KONSTELASI DATA,"Design, develop, and implement comprehensive test scenarios and scripts to ensure overall product quality.
Execute both manual and automated testing to identify bugs, system defects, and inconsistencies.
Analyze test outcomes and compile detailed bug reports with actionable recommendations for improvements.
Perform thorough regression testing following system fixes or updates to ensure functionality and stability.
Collaborate closely with development teams to understand technical specifications and business requirements.
Contribute to the design of aesthetically pleasing, responsive, and user-friendly user interfaces (UI).
Conduct usability testing and refine designs based on test results and user feedback.
Candidates must hold a minimum of a Diploma or Bachelor's Degree in Computer Science, Information Technology, or a related field.
Previous experience in quality assurance or software/application testing is highly preferred.
A strong understanding of both manual and automated testing methodologies is advantageous.
Experience with QA tools such as Selenium, Appium, and Postman is a plus.
Demonstrates strong critical thinking, analytical, and problem-solving abilities.
Familiarity with UI/UX design principles and usability testing is a plus.
Fluency in both Indonesian and English is required.
A proactive and responsible individual with a strong sense of ownership.
Must possess a personal vehicle and a valid driver's license.
Applicants should be no older than 30 years of age.",8
Jobstreet,Computer Science,Bootcamp IT Consultant / Programmer (Fresh Graduate),PT Indocyber Global Teknologi,"Minimum S1 in Computer Science/Information Technology/ Mathematics/Physics/Telecommunication
Fresh graduates / Entry level applicants are encouraged to apply
Minimum 3.00 GPA
Age maximum 25 years old
Required skill(s): basic programming, algorithm, logic
Understand relational databases Microsoft SQL Server and its query language
Have a high interest in software engineering as Developer
Fast learner and highly logical thinker
Good communication and eagerness to learn
Training will be held at Grogol / Daan Mogot area (West Jakarta)
30 Full-Time position(s) available",9
