Model,Cluster,TP,FP,FN,Precision,Recall,F1_score
skills_skillner_tfidf,CS,230,101,206,0.6948640483383686,0.5275229357798165,0.5997392438070405
skills_skillner_keybert_tfidf,CS,159,68,277,0.7004405286343612,0.3646788990825688,0.4796380090497738
skills_ner_bert_tfidf,CS,58,41,378,0.5858585858585859,0.13302752293577982,0.21682242990654207
skills_ner_bert_keybert_tfidf,CS,32,19,404,0.6274509803921569,0.07339449541284404,0.13141683778234087
skills_skillner_qe_tfidf,CS,179,86,257,0.6754716981132075,0.4105504587155963,0.5106990014265335
skills_skillner_qe_keybert_tfidf,CS,143,61,293,0.7009803921568627,0.32798165137614677,0.4468749999999999
skills_skillner_rake,CS,114,41,322,0.7354838709677419,0.26146788990825687,0.38578680203045684
skills_skillner_yake,CS,1,0,435,1.0,0.0022935779816513763,0.004576659038901603
skills_ner_bert_rake,CS,176,112,260,0.6111111111111112,0.4036697247706422,0.48618784530386744
skills_ner_bert_yake,CS,1,0,435,1.0,0.0022935779816513763,0.004576659038901603
