Skill,Level,SFIA_Skill_Level,Level_Description,Level_Description_cleaned,skills_skillner,skills_skillner_qe,skills_ner_bert,keybert_skills,rake_skills,yake_skills
Strategic planning,4,Strategic planning 4,"Contributes to the collection and analysis of information to support strategy development. _x000D_
Assists in the preparation of reports and insights for strategic planning._x000D_
Supports the communication of strategic plans and related change initiatives to relevant stakeholders. _x000D_
Helps monitor progress against strategic objectives and provides feedback.",contributes collection analysis information support strategy development _xd_ assists preparation reports insights strategic planning_xd_ supports communication strategic plans related change initiatives relevant stakeholders _xd_ helps monitor progress strategic objectives provides feedback,"['collection', 'communication strategic', 'xd', 'strategic plans', 'monitor progress', 'preparation reports']","['collection', 'assemblage', 'assembling', 'aggregation', 'collecting', 'accumulation', 'compendium', 'ingathering', 'communication strategic', 'appeal', 'solicitation', 'xd', 'strategic plans', 'monitor progress', 'preparation reports']","['analysis', 'communication']","['insights strategic planning_xd_', 'stakeholders _xd_ helps', 'assists preparation reports', 'contributes collection', 'supports communication']",['contributes collection analysis information support strategy development _xd_ assists preparation reports insights strategic planning_xd_ supports communication strategic plans related change initiatives relevant stakeholders _xd_ helps monitor progress strategic objectives provides feedback'],"['initiatives relevant stakeholders', 'contributes collection analysis', 'assists preparation reports', 'support strategy development', 'collection analysis information', 'preparation reports insights', 'plans related change', 'related change initiatives', 'change initiatives relevant', 'insights strategic planning', 'analysis information support', 'information support strategy', 'reports insights strategic', 'communication strategic plans', 'strategic plans related']"
Strategic planning,5,Strategic planning 5,"Collates information and creates reports and insights to support strategy management processes._x000D_
Ensures all stakeholders are aware of the strategic management approach and timetables. Provides support and guidance to help stakeholders adhere to the approach._x000D_
Develops and communicates plans to drive forward the strategy and related change planning._x000D_
Contributes to the development of policies, standards and guidelines for strategy development and planning.",collates information creates reports insights support strategy management processes_xd_ ensures stakeholders aware strategic management approach timetables provides support guidance help stakeholders adhere approach_xd_ develops communicates plans drive forward strategy related change planning_xd_ contributes development policies standards guidelines strategy development planning,"['management', 'communicates plans', 'develops communicates', 'development planning', 'strategic management', 'development policies']","['management', 'communicates plans', 'direction', 'develops communicates', 'development planning', 'strategic management', 'development policies']",[],"['collates information', 'guidance help stakeholders', 'reports insights support', 'strategy management processes_xd_', 'develops']",['collates information creates reports insights support strategy management processes_xd_ ensures stakeholders aware strategic management approach timetables provides support guidance help stakeholders adhere approach_xd_ develops communicates plans drive forward strategy related change planning_xd_ contributes development policies standards guidelines strategy development planning'],"['collates information creates', 'develops communicates plans', 'related change planning', 'ensures stakeholders aware', 'contributes development policies', 'information creates reports', 'creates reports insights', 'communicates plans drive', 'plans drive forward', 'policies standards guidelines', 'reports insights support', 'aware strategic management', 'stakeholders aware strategic', 'development policies standards', 'strategy management processes']"
Strategic planning,6,Strategic planning 6,"Sets policies, standards and guidelines for how the organisation conducts strategy development and planning._x000D_
Leads and manages the creation or review of a strategy that meets the requirements of the business. _x000D_
Develops, communicates, implements and reviews the processes which embed strategic management in the operational management of the organisation.",sets policies standards guidelines organisation conducts strategy development planning_xd_ leads manages creation review strategy meets requirements business _xd_ develops communicates implements reviews processes embed strategic management operational management organisation,"['requirements business', 'operational management', 'leads manages', 'develops communicates', 'xd', 'strategic management']","['requirements business', 'operational management', 'leads manages', 'develops communicates', 'xd', 'strategic management']",['strategic management'],"['guidelines organisation conducts', 'strategy development planning_xd_', 'operational management organisation', 'leads manages creation', 'sets policies']",['sets policies standards guidelines organisation conducts strategy development planning_xd_ leads manages creation review strategy meets requirements business _xd_ develops communicates implements reviews processes embed strategic management operational management organisation'],"['sets policies standards', 'leads manages creation', 'meets requirements business', 'develops communicates implements', 'strategy development planning', 'policies standards guidelines', 'processes embed strategic', 'standards guidelines organisation', 'guidelines organisation conducts', 'conducts strategy development', 'manages creation review', 'strategy meets requirements', 'communicates implements reviews', 'implements reviews processes', 'reviews processes embed']"
Strategic planning,7,Strategic planning 7,"Leads the definition, implementation and communication of the organisation’s strategic management framework. _x000D_
Directs the creation and review of a strategy and plans to support the strategic requirements of the business.",leads definition implementation communication organisations strategic management framework _xd_ directs creation review strategy plans support strategic requirements business,"['requirements business', 'communication', 'plans', 'support business', 'xd', 'strategic management']","['project', 'contrive', 'strategic management', 'communicating', 'be after', 'program', 'requirements business', 'programme', 'communication', 'design', 'support business', 'plan', 'xd', 'architectural plan', 'plans']",['communication'],"['leads definition implementation', 'communication organisations strategic', 'management framework _xd_', 'directs creation review', 'plans support']",['leads definition implementation communication organisations strategic management framework _xd_ directs creation review strategy plans support strategic requirements business'],"['leads definition implementation', 'directs creation review', 'strategic management framework', 'strategic requirements business', 'definition implementation communication', 'implementation communication organisations', 'creation review strategy', 'review strategy plans', 'strategy plans support', 'organisations strategic management', 'support strategic requirements', 'communication organisations strategic', 'plans support strategic', 'leads definition', 'management framework']"
Information systems coordination,6,Information systems coordination 6,"Maintains awareness of the global needs of the organisation. _x000D_
Promotes the benefits that a common approach to technology deployment will bring to the entire organisation._x000D_
Coordinates and collaborates with others on the promotion, acquisition, development and implementation of information systems and services.",maintains awareness global needs organisation _xd_ promotes benefits common approach technology deployment bring entire organisation_xd_ coordinates collaborates others promotion acquisition development implementation information systems services,"['maintains', 'collaborates', 'coordinates', 'information system', 'xd']","['maintains', 'maintain', 'sustain', 'assert', 'wield', 'align', 'co-ordinate', 'ordinate', 'conserve', 'collaborate', 'coordinates', 'exert', 'keep up', 'keep', 'hold', 'defend', 'observe', 'uphold', 'get together', 'join forces', 'cooperate', 'collaborates', 'preserve', 'organise', 'coordinate', 'information system', 'xd', 'organize', 'asseverate']",[],"['organisation _xd_ promotes', 'awareness global needs', 'information systems services', 'acquisition development implementation', 'coordinates collaborates']",['maintains awareness global needs organisation _xd_ promotes benefits common approach technology deployment bring entire organisation_xd_ coordinates collaborates others promotion acquisition development implementation information systems services'],"['information systems services', 'maintains awareness global', 'promotes benefits common', 'bring entire organisation', 'benefits common approach', 'common approach technology', 'approach technology deployment', 'technology deployment bring', 'deployment bring entire', 'promotion acquisition development', 'acquisition development implementation', 'development implementation information', 'implementation information systems', 'maintains awareness', 'promotes benefits']"
Information systems coordination,7,Information systems coordination 7,"Establishes the organisation's strategy for managing information and communicates the policies, standards, procedures and methods necessary to implement the strategy. _x000D_
Coordinates all aspects of management of the lifecycle of information systems. _x000D_
Represents the interests of the entire organisation to general management and external bodies on matters relating to information strategy.",establishes organisations strategy managing information communicates policies standards procedures methods necessary implement strategy _xd_ coordinates aspects management lifecycle information systems _xd_ represents interests entire organisation general management external bodies matters relating information strategy,"['management', 'management lifecycle', 'coordinates', 'standards procedures', 'managing information', 'information system', 'xd', 'communicates']","['management', 'pass along', 'pass on', 'align', 'co-ordinate', 'ordinate', 'pass', 'coordinates', 'standards procedures', 'communicate', 'convey', 'commune', 'intercommunicate', 'direction', 'management lifecycle', 'transmit', 'managing information', 'organise', 'coordinate', 'information system', 'xd', 'organize', 'communicates', 'put across']",[],"['establishes organisations strategy', 'information systems _xd_', 'communicates policies standards', 'management lifecycle information', '_xd_ coordinates aspects']",['establishes organisations strategy managing information communicates policies standards procedures methods necessary implement strategy _xd_ coordinates aspects management lifecycle information systems _xd_ represents interests entire organisation general management external bodies matters relating information strategy'],"['represents interests entire', 'coordinates aspects management', 'communicates policies standards', 'policies standards procedures', 'standards procedures methods', 'external bodies matters', 'bodies matters relating', 'lifecycle information systems', 'aspects management lifecycle', 'interests entire organisation', 'entire organisation general', 'general management external', 'management external bodies', 'establishes organisations strategy', 'matters relating information']"
Information management,3,Information management 3,"Supports teams and individuals to identify and organise information assets and repositories in line with policy and practices._x000D_
Conducts routine searches for non-sensitive information needed to support organisational decision making._x000D_
Supports users to find and access information resources based on their requirements and approved access.",supports teams individuals identify organise information assets repositories line policy practices_xd_ conducts routine searches nonsensitive information needed support organisational decision making_xd_ supports users find access information resources based requirements approved access,"['information based', 'decision', 'access']","['access code', 'get at', 'access', 'determination', 'admittance', 'memory access', 'approach', 'decisiveness', 'information based', 'admission', 'entree', 'decision', 'conclusion', 'accession']",[],"['support organisational', 'policy practices_xd_ conducts', 'access information resources', 'conducts routine searches', 'repositories line']",['supports teams individuals identify organise information assets repositories line policy practices_xd_ conducts routine searches nonsensitive information needed support organisational decision making_xd_ supports users find access information resources based requirements approved access'],"['conducts routine searches', 'line policy practices', 'organisational decision making', 'teams individuals identify', 'individuals identify organise', 'assets repositories line', 'repositories line policy', 'routine searches nonsensitive', 'resources based requirements', 'based requirements approved', 'users find access', 'requirements approved access', 'supports teams individuals', 'identify organise information', 'organise information assets']"
Information management,4,Information management 4,"Enables the organisation to organise, control and discover information assets._x000D_
Supports the organisation to identify, catalogue and categorise information types and information repositories in line with information management strategies and practices._x000D_
Enables users to find information through appropriate use of metadata and search tools._x000D_
Provides advice and guidance to enable good information management practices to be adopted across the organisation.",enables organisation organise control discover information assets_xd_ supports organisation identify catalogue categorise information types information repositories line information management strategies practices_xd_ enables users find information appropriate use metadata search tools_xd_ provides advice guidance enable good information management practices adopted across organisation,"['catalogue', 'control', 'metadata', 'information management', 'adopted', 'information information']","['control', 'information management', 'ascendency', 'dominance', 'contain', 'curb', 'ascertain', 'borrow', 'adopted', 'ascendence', 'insure', 'controller', 'mastery', 'control condition', 'restraint', 'catalog', 'espouse', 'adopt', 'embrace', 'assume', 'keep in line', 'operate', 'check', 'master', 'take', 'dramatize', 'adoptive', 'moderate', 'follow', 'assure', 'manipulate', 'ascendance', 'catalogue', 'hold in', 'hold', 'ascendancy', 'ensure', 'verify', 'take in', 'acquire', 'take up', 'metadata', 'see', 'take over', 'take on', 'see to it', 'sweep up', 'command', 'dramatise', 'information information']",['information management'],"['management strategies practices_xd_', 'search tools_xd_ provides', 'supports organisation identify', 'catalogue categorise information', 'information assets_xd_']",['enables organisation organise control discover information assets_xd_ supports organisation identify catalogue categorise information types information repositories line information management strategies practices_xd_ enables users find information appropriate use metadata search tools_xd_ provides advice guidance enable good information management practices adopted across organisation'],"['metadata search tools', 'organise control discover', 'identify catalogue categorise', 'supports organisation identify', 'management strategies practices', 'management practices adopted', 'discover information assets', 'organisation organise control', 'organisation identify catalogue', 'enables users find', 'advice guidance enable', 'guidance enable good', 'information management strategies', 'line information management', 'good information management']"
Information management,5,Information management 5,"Ensures implementation of information and records management policies and standard practice.  Communicates the benefits and value of information management. _x000D_
Plans effective information storage, sharing and publishing within the organisation. Develops organisational taxonomy for information assets. _x000D_
Provides expert advice and guidance to enable the organisation to get maximum value from its information assets. _x000D_
Assesses issues that might prevent the organisation from making maximum use of its information assets. Contributes to the development of policy, standards and procedures for compliance with relevant legislation.",ensures implementation information records management policies standard practice communicates benefits value information management _xd_ plans effective information storage sharing publishing within organisation develops organisational taxonomy information assets _xd_ provides expert advice guidance enable organisation get maximum value information assets _xd_ assesses issues might prevent organisation making maximum use information assets contributes development policy standards procedures compliance relevant legislation,"['record management', 'legislation', 'information management', 'storage', 'standard practice', 'taxonomy', 'standards procedures', 'development policy', 'xd', 'plans', 'communicates']","['contrive', 'record management', 'repositing', 'entrepot', 'pass on', 'program', 'information management', 'programme', 'communicate', 'convey', 'development policy', 'statute law', 'project', 'legislation', 'reposition', 'memory', 'transmit', 'storage', 'standard practice', 'taxonomy', 'communicates', 'xd', 'put across', 'lawmaking', 'be after', 'pass along', 'store', 'depot', 'storehouse', 'standards procedures', 'memory board', 'legislating', 'plans', 'commune', 'intercommunicate', 'computer storage', 'design', 'warehousing', 'plan', 'pass', 'architectural plan', 'computer memory']",[],"['information management _xd_', 'records management policies', 'standards procedures compliance', 'guidance enable organisation', 'contributes development policy']",['ensures implementation information records management policies standard practice communicates benefits value information management _xd_ plans effective information storage sharing publishing within organisation develops organisational taxonomy information assets _xd_ provides expert advice guidance enable organisation get maximum value information assets _xd_ assesses issues might prevent organisation making maximum use information assets contributes development policy standards procedures compliance relevant legislation'],"['compliance relevant legislation', 'assets contributes development', 'practice communicates benefits', 'storage sharing publishing', 'develops organisational taxonomy', 'expert advice guidance', 'advice guidance enable', 'contributes development policy', 'procedures compliance relevant', 'ensures implementation information', 'plans effective information', 'records management policies', 'policies standard practice', 'standard practice communicates', 'development policy standards']"
Information management,6,Information management 6,"Leads and plans activities to communicate and implement information management strategies and policies.  _x000D_
Develops organisational policies, standards and guidelines for information management. _x000D_
Ensures the information required to support the organisation is defined. Creates information management processes.  _x000D_
Coordinates internal and externally sourced information resources to meet specific business objectives.",leads plans activities communicate implement information management strategies policies _xd_ develops organisational policies standards guidelines information management _xd_ ensures information required support organisation defined creates information management processes _xd_ coordinates internal externally sourced information resources meet specific business objectives,"['organisational policy', 'management process', 'information management', 'sourced information', 'activities', 'coordinates', 'communicate', 'xd', 'plans', 'resources']","['contrive', 'resource', 'pass on', 'program', 'align', 'information management', 'ordinate', 'programme', 'coordinates', 'communicate', 'convey', 'resourcefulness', 'resources', 'project', 'transmit', 'action', 'bodily process', 'bodily function', 'organise', 'coordinate', 'xd', 'body process', 'organize', 'put across', 'pass along', 'be after', 'co-ordinate', 'sourced information', 'activities', 'plans', 'commune', 'imagination', 'intercommunicate', 'natural action', 'activeness', 'organisational policy', 'management process', 'design', 'activity', 'natural process', 'plan', 'pass', 'architectural plan']",['information management'],"['leads plans activities', 'information management _xd_', 'develops organisational policies', 'standards guidelines information', 'activities communicate implement']",['leads plans activities communicate implement information management strategies policies _xd_ develops organisational policies standards guidelines information management _xd_ ensures information required support organisation defined creates information management processes _xd_ coordinates internal externally sourced information resources meet specific business objectives'],"['leads plans activities', 'coordinates internal externally', 'specific business objectives', 'develops organisational policies', 'plans activities communicate', 'activities communicate implement', 'required support organisation', 'support organisation defined', 'organisation defined creates', 'internal externally sourced', 'resources meet specific', 'meet specific business', 'information management processes', 'ensures information required', 'management strategies policies']"
